case,fault_type,service,window_id,window_start_seconds,requests,spans,median_latency,p95_latency,error_rate
re2ob_checkoutservice_delay_1,delay,checkoutservice,0,0,45,106,4057.5,85202.0,0.0
re2ob_checkoutservice_delay_1,delay,currencyservice,0,0,332,1162,140.0,257.0,0.0
re2ob_checkoutservice_delay_1,delay,emailservice,0,0,19,19,52.0,357.9999999999988,0.0
re2ob_checkoutservice_delay_1,delay,frontendservice,0,0,381,3989,4122.0,75439.0,0.0
re2ob_checkoutservice_delay_1,delay,paymentservice,0,0,13,13,164.0,492.19999999999993,0.0
re2ob_checkoutservice_delay_1,delay,productcatalogservice,0,0,342,1888,12.0,27.0,0.0
re2ob_checkoutservice_delay_1,delay,recommendationservice,0,0,259,506,3482.5,5300.0,0.0
re2ob_checkoutservice_delay_1,delay,checkoutservice,1,30,108,284,4066.5,82265.79999999993,0.0
re2ob_checkoutservice_delay_1,delay,currencyservice,1,30,412,1148,146.0,251.0,0.0
re2ob_checkoutservice_delay_1,delay,emailservice,1,30,32,32,207.0,409.14999999999986,0.0
re2ob_checkoutservice_delay_1,delay,frontendservice,1,30,412,4342,3850.0,67545.5,0.0
re2ob_checkoutservice_delay_1,delay,paymentservice,1,30,26,26,197.0,326.25,0.0
re2ob_checkoutservice_delay_1,delay,productcatalogservice,1,30,386,2251,12.0,24.0,0.0
re2ob_checkoutservice_delay_1,delay,recommendationservice,1,30,306,600,3619.0,4605.25,0.0
re2ob_checkoutservice_delay_1,delay,checkoutservice,2,60,91,238,4134.5,92228.49999999964,0.0
re2ob_checkoutservice_delay_1,delay,currencyservice,2,60,399,1194,141.0,245.3499999999999,0.0
re2ob_checkoutservice_delay_1,delay,emailservice,2,60,29,29,206.0,314.79999999999995,0.0
re2ob_checkoutservice_delay_1,delay,frontendservice,2,60,423,4435,3958.0,75776.20000000014,0.0
re2ob_checkoutservice_delay_1,delay,paymentservice,2,60,23,23,188.0,369.19999999999993,0.0
re2ob_checkoutservice_delay_1,delay,productcatalogservice,2,60,393,2248,12.0,26.0,0.0
re2ob_checkoutservice_delay_1,delay,recommendationservice,2,60,305,598,3547.0,4652.6,0.0
re2ob_checkoutservice_delay_1,delay,checkoutservice,3,90,64,164,4134.5,90209.7499999999,0.0
re2ob_checkoutservice_delay_1,delay,currencyservice,3,90,365,1133,144.0,263.39999999999986,0.0
re2ob_checkoutservice_delay_1,delay,emailservice,3,90,24,24,142.0,337.25,0.0
re2ob_checkoutservice_delay_1,delay,frontendservice,3,90,397,4199,4126.0,75397.7,0.0
re2ob_checkoutservice_delay_1,delay,paymentservice,3,90,18,18,175.0,289.94999999999965,0.0
re2ob_checkoutservice_delay_1,delay,productcatalogservice,3,90,368,2091,12.0,25.5,0.0
re2ob_checkoutservice_delay_1,delay,recommendationservice,3,90,290,568,3581.5,5206.949999999998,0.0
re2ob_checkoutservice_delay_1,delay,checkoutservice,4,120,76,202,4256.0,92021.9499999999,0.0
re2ob_checkoutservice_delay_1,delay,currencyservice,4,120,388,1175,142.0,237.0,0.0
re2ob_checkoutservice_delay_1,delay,emailservice,4,120,28,28,209.0,422.24999999999994,0.0
re2ob_checkoutservice_delay_1,delay,frontendservice,4,120,436,4413,3861.0,66134.59999999999,0.0
re2ob_checkoutservice_delay_1,delay,paymentservice,4,120,22,22,185.5,230.75,0.0
re2ob_checkoutservice_delay_1,delay,productcatalogservice,4,120,397,2206,12.0,27.5,0.0
re2ob_checkoutservice_delay_1,delay,recommendationservice,4,120,301,590,3494.0,4481.449999999999,0.0
re2ob_checkoutservice_delay_1,delay,checkoutservice,5,150,70,188,4038.5,72646.85000000002,0.0
re2ob_checkoutservice_delay_1,delay,currencyservice,5,150,370,1105,142.0,269.5999999999999,0.0
re2ob_checkoutservice_delay_1,delay,emailservice,5,150,27,27,210.0,400.4,0.0
re2ob_checkoutservice_delay_1,delay,frontendservice,5,150,402,4219,3799.0,63750.69999999999,0.0
re2ob_checkoutservice_delay_1,delay,paymentservice,5,150,21,21,176.0,261.0,0.0
re2ob_checkoutservice_delay_1,delay,productcatalogservice,5,150,370,2139,12.0,25.09999999999991,0.0
re2ob_checkoutservice_delay_1,delay,recommendationservice,5,150,297,582,3524.0,4613.0,0.0
re2ob_checkoutservice_delay_1,delay,checkoutservice,6,180,98,272,3903.0,67859.49999999999,0.0
re2ob_checkoutservice_delay_1,delay,currencyservice,6,180,418,1229,142.0,276.19999999999936,0.0
re2ob_checkoutservice_delay_1,delay,emailservice,6,180,34,34,206.5,462.79999999999995,0.0
re2ob_checkoutservice_delay_1,delay,frontendservice,6,180,443,4615,3918.0,71536.60000000002,0.0
re2ob_checkoutservice_delay_1,delay,paymentservice,6,180,28,28,182.0,427.79999999999995,0.0
re2ob_checkoutservice_delay_1,delay,productcatalogservice,6,180,415,2348,12.0,22.0,0.0
re2ob_checkoutservice_delay_1,delay,recommendationservice,6,180,319,626,3486.0,4613.25,0.0
re2ob_checkoutservice_delay_1,delay,checkoutservice,7,210,77,206,3832.5,73764.75,0.0
re2ob_checkoutservice_delay_1,delay,currencyservice,7,210,384,1161,140.0,247.0,0.0
re2ob_checkoutservice_delay_1,delay,emailservice,7,210,28,28,193.0,421.09999999999985,0.0
re2ob_checkoutservice_delay_1,delay,frontendservice,7,210,414,4405,3718.0,63975.20000000006,0.0
re2ob_checkoutservice_delay_1,delay,paymentservice,7,210,22,22,188.5,331.45,0.0
re2ob_checkoutservice_delay_1,delay,productcatalogservice,7,210,390,2240,12.0,24.0,0.0
re2ob_checkoutservice_delay_1,delay,recommendationservice,7,210,305,598,3493.0,4841.299999999999,0.0
re2ob_checkoutservice_delay_1,delay,checkoutservice,8,240,95,250,4048.5,87555.74999999999,0.0
re2ob_checkoutservice_delay_1,delay,currencyservice,8,240,409,1281,138.0,228.0,0.0
re2ob_checkoutservice_delay_1,delay,emailservice,8,240,30,30,221.0,530.3999999999999,0.0
re2ob_checkoutservice_delay_1,delay,frontendservice,8,240,432,4563,4014.0,81795.69999999998,0.0
re2ob_checkoutservice_delay_1,delay,paymentservice,8,240,24,24,189.5,543.9999999999997,0.0
re2ob_checkoutservice_delay_1,delay,productcatalogservice,8,240,403,2269,12.0,24.0,0.0
re2ob_checkoutservice_delay_1,delay,recommendationservice,8,240,304,596,3491.0,4338.5,0.0
re2ob_checkoutservice_delay_1,delay,checkoutservice,9,270,54,136,4018.5,64729.25,0.0
re2ob_checkoutservice_delay_1,delay,currencyservice,9,270,369,1324,140.0,247.0,0.0
re2ob_checkoutservice_delay_1,delay,emailservice,9,270,22,22,70.0,421.44999999999993,0.0
re2ob_checkoutservice_delay_1,delay,frontendservice,9,270,422,4471,4029.0,73667.5,0.0
re2ob_checkoutservice_delay_1,delay,paymentservice,9,270,16,16,182.0,236.75,0.0
re2ob_checkoutservice_delay_1,delay,productcatalogservice,9,270,383,2108,12.0,23.0,0.0
re2ob_checkoutservice_delay_1,delay,recommendationservice,9,270,284,556,3546.0,4651.0,0.0
re2ob_checkoutservice_delay_1,delay,checkoutservice,10,300,72,184,3970.5,69216.94999999995,0.0
re2ob_checkoutservice_delay_1,delay,currencyservice,10,300,371,1126,142.0,243.75,0.0
re2ob_checkoutservice_delay_1,delay,emailservice,10,300,25,25,208.0,285.0,0.0
re2ob_checkoutservice_delay_1,delay,frontendservice,10,300,396,4265,3806.0,57200.79999999992,0.0
re2ob_checkoutservice_delay_1,delay,paymentservice,10,300,19,19,191.0,974.4999999999986,0.0
re2ob_checkoutservice_delay_1,delay,productcatalogservice,10,300,369,2183,13.0,26.0,0.0
re2ob_checkoutservice_delay_1,delay,recommendationservice,10,300,298,584,3514.0,4360.95,0.0
re2ob_checkoutservice_delay_1,delay,checkoutservice,11,330,77,198,4081.0,70151.24999999981,0.0
re2ob_checkoutservice_delay_1,delay,currencyservice,11,330,382,1163,141.0,235.89999999999986,0.0
re2ob_checkoutservice_delay_1,delay,emailservice,11,330,26,26,200.5,344.0,0.0
re2ob_checkoutservice_delay_1,delay,frontendservice,11,330,404,4341,3907.0,63429.0,0.0
re2ob_checkoutservice_delay_1,delay,paymentservice,11,330,20,20,179.0,257.15000000000003,0.0
re2ob_checkoutservice_delay_1,delay,productcatalogservice,11,330,377,2204,13.0,26.0,0.0
re2ob_checkoutservice_delay_1,delay,recommendationservice,11,330,300,588,3570.0,4833.55,0.0
re2ob_checkoutservice_delay_1,delay,checkoutservice,12,360,78,200,4027.0,70556.59999999979,0.0
re2ob_checkoutservice_delay_1,delay,currencyservice,12,360,363,1166,138.5,225.75,0.0
re2ob_checkoutservice_delay_1,delay,emailservice,12,360,26,26,200.5,389.5,0.0
re2ob_checkoutservice_delay_1,delay,frontendservice,12,360,378,4020,4047.0,72012.29999999999,0.0
re2ob_checkoutservice_delay_1,delay,paymentservice,12,360,20,20,187.0,474.9000000000002,0.0
re2ob_checkoutservice_delay_1,delay,productcatalogservice,12,360,349,1956,14.0,28.25,0.0
re2ob_checkoutservice_delay_1,delay,recommendationservice,12,360,268,524,3620.0,4589.85,0.0
re2ob_checkoutservice_delay_1,delay,checkoutservice,13,390,77,206,4018.5,70920.75,0.0
re2ob_checkoutservice_delay_1,delay,currencyservice,13,390,369,1137,142.0,230.20000000000005,0.0
re2ob_checkoutservice_delay_1,delay,emailservice,13,390,28,28,205.0,301.25,0.0
re2ob_checkoutservice_delay_1,delay,frontendservice,13,390,400,4157,3787.0,58953.59999999999,0.0
re2ob_checkoutservice_delay_1,delay,paymentservice,13,390,22,22,199.0,258.85,0.0
re2ob_checkoutservice_delay_1,delay,productcatalogservice,13,390,364,2066,13.0,25.0,0.0
re2ob_checkoutservice_delay_1,delay,recommendationservice,13,390,285,558,3574.5,4481.299999999999,0.0
re2ob_checkoutservice_delay_1,delay,checkoutservice,14,420,79,202,3938.5,71823.1999999999,0.0
re2ob_checkoutservice_delay_1,delay,currencyservice,14,420,386,1241,143.0,245.0,0.0
re2ob_checkoutservice_delay_1,delay,emailservice,14,420,26,26,202.0,315.25,0.0
re2ob_checkoutservice_delay_1,delay,frontendservice,14,420,417,4396,3975.0,70599.5,0.0
re2ob_checkoutservice_delay_1,delay,paymentservice,14,420,20,20,189.5,270.05000000000007,0.0
re2ob_checkoutservice_delay_1,delay,productcatalogservice,14,420,384,2165,13.0,24.0,0.0
re2ob_checkoutservice_delay_1,delay,recommendationservice,14,420,293,574,3588.5,4642.7,0.0
re2ob_checkoutservice_delay_1,delay,checkoutservice,15,450,64,164,3989.5,95860.94999999994,0.0
re2ob_checkoutservice_delay_1,delay,currencyservice,15,450,355,1219,141.0,251.0,0.0
re2ob_checkoutservice_delay_1,delay,emailservice,15,450,24,24,136.5,314.7,0.0
re2ob_checkoutservice_delay_1,delay,frontendservice,15,450,405,4141,4061.0,76195.0,0.0
re2ob_checkoutservice_delay_1,delay,paymentservice,15,450,18,18,187.0,366.05,0.0
re2ob_checkoutservice_delay_1,delay,productcatalogservice,15,450,360,1958,13.0,23.0,0.0
re2ob_checkoutservice_delay_1,delay,recommendationservice,15,450,267,522,3526.5,4760.05,0.0
re2ob_checkoutservice_delay_1,delay,checkoutservice,16,480,101,274,4030.0,69798.59999999982,0.0
re2ob_checkoutservice_delay_1,delay,currencyservice,16,480,418,1226,144.0,248.5,0.0
re2ob_checkoutservice_delay_1,delay,emailservice,16,480,33,33,207.0,410.59999999999985,0.0
re2ob_checkoutservice_delay_1,delay,frontendservice,16,480,438,4588,3800.0,63271.25,0.0
re2ob_checkoutservice_delay_1,delay,paymentservice,16,480,27,27,177.0,322.79999999999995,0.0
re2ob_checkoutservice_delay_1,delay,productcatalogservice,16,480,408,2338,12.0,24.0,0.0
re2ob_checkoutservice_delay_1,delay,recommendationservice,16,480,317,622,3472.0,4385.4,0.0
re2ob_checkoutservice_delay_1,delay,checkoutservice,17,510,74,192,4030.5,68227.59999999996,0.0
re2ob_checkoutservice_delay_1,delay,currencyservice,17,510,378,1165,143.0,250.0,0.0
re2ob_checkoutservice_delay_1,delay,emailservice,17,510,26,26,201.0,484.5,0.0
re2ob_checkoutservice_delay_1,delay,frontendservice,17,510,416,4406,3867.0,66205.0,0.0
re2ob_checkoutservice_delay_1,delay,paymentservice,17,510,20,20,190.0,429.8,0.0
re2ob_checkoutservice_delay_1,delay,productcatalogservice,17,510,389,2238,12.0,23.0,0.0
re2ob_checkoutservice_delay_1,delay,recommendationservice,17,510,302,592,3489.0,4520.699999999998,0.0
re2ob_checkoutservice_delay_1,delay,checkoutservice,18,540,101,266,4136.5,77516.5,0.0
re2ob_checkoutservice_delay_1,delay,currencyservice,18,540,400,1244,142.0,253.69999999999982,0.0
re2ob_checkoutservice_delay_1,delay,emailservice,18,540,31,31,207.0,277.5,0.0
re2ob_checkoutservice_delay_1,delay,frontendservice,18,540,419,4357,3858.0,68406.79999999999,0.0
re2ob_checkoutservice_delay_1,delay,paymentservice,18,540,25,25,196.0,314.2,0.0
re2ob_checkoutservice_delay_1,delay,productcatalogservice,18,540,380,2159,13.0,27.0,0.0
re2ob_checkoutservice_delay_1,delay,recommendationservice,18,540,290,568,3521.0,4879.299999999999,0.0
re2ob_checkoutservice_delay_1,delay,checkoutservice,19,570,67,174,3884.5,67661.79999999999,0.0
re2ob_checkoutservice_delay_1,delay,currencyservice,19,570,380,1174,141.0,238.69999999999982,0.0
re2ob_checkoutservice_delay_1,delay,emailservice,19,570,25,25,197.0,267.79999999999995,0.0
re2ob_checkoutservice_delay_1,delay,frontendservice,19,570,422,4483,3872.0,65254.29999999997,0.0
re2ob_checkoutservice_delay_1,delay,paymentservice,19,570,19,19,197.0,459.99999999999886,0.0
re2ob_checkoutservice_delay_1,delay,productcatalogservice,19,570,394,2275,12.0,23.0,0.0
re2ob_checkoutservice_delay_1,delay,recommendationservice,19,570,308,604,3556.0,4724.100000000001,0.0
re2ob_checkoutservice_delay_1,delay,checkoutservice,20,600,94,244,3970.0,95945.79999999989,0.0
re2ob_checkoutservice_delay_1,delay,currencyservice,20,600,404,1280,137.0,236.14999999999986,0.0
re2ob_checkoutservice_delay_1,delay,emailservice,20,600,29,29,210.0,377.99999999999994,0.0
re2ob_checkoutservice_delay_1,delay,frontendservice,20,600,435,4545,3951.0,72093.40000000002,0.0
re2ob_checkoutservice_delay_1,delay,paymentservice,20,600,23,23,183.0,293.79999999999995,0.0
re2ob_checkoutservice_delay_1,delay,productcatalogservice,20,600,399,2258,12.0,23.0,0.0
re2ob_checkoutservice_delay_1,delay,recommendationservice,20,600,300,588,3473.0,4828.4,0.0
re2ob_checkoutservice_delay_1,delay,checkoutservice,21,630,75,194,4016.5,77535.59999999996,0.0
re2ob_checkoutservice_delay_1,delay,currencyservice,21,630,375,1189,142.0,226.5999999999999,0.0
re2ob_checkoutservice_delay_1,delay,emailservice,21,630,26,26,205.0,428.75,0.0
re2ob_checkoutservice_delay_1,delay,frontendservice,21,630,403,4278,3812.5,66454.99999999999,0.0
re2ob_checkoutservice_delay_1,delay,paymentservice,21,630,20,20,188.5,440.45000000000033,0.0
re2ob_checkoutservice_delay_1,delay,productcatalogservice,21,630,371,2124,12.0,24.0,0.0
re2ob_checkoutservice_delay_1,delay,recommendationservice,21,630,290,568,3517.5,4423.549999999999,0.0
re2ob_checkoutservice_delay_1,delay,checkoutservice,22,660,60,152,3987.0,92654.69999999982,0.0
re2ob_checkoutservice_delay_1,delay,currencyservice,22,660,356,1131,143.0,250.5,0.0
re2ob_checkoutservice_delay_1,delay,emailservice,22,660,23,23,54.0,345.0999999999999,0.0
re2ob_checkoutservice_delay_1,delay,frontendservice,22,660,387,4204,3858.0,68244.64999999995,0.0
re2ob_checkoutservice_delay_1,delay,paymentservice,22,660,17,17,175.0,595.5999999999995,0.0
re2ob_checkoutservice_delay_1,delay,productcatalogservice,22,660,362,2115,12.0,24.0,0.0
re2ob_checkoutservice_delay_1,delay,recommendationservice,22,660,289,566,3499.5,4560.0,0.0
re2ob_checkoutservice_delay_1,delay,checkoutservice,23,690,72,188,3924.0,68256.10000000002,0.0
re2ob_checkoutservice_delay_1,delay,currencyservice,23,690,373,1189,141.0,239.79999999999973,0.0
re2ob_checkoutservice_delay_1,delay,emailservice,23,690,26,26,204.5,464.75,0.0
re2ob_checkoutservice_delay_1,delay,frontendservice,23,690,408,4293,3714.0,58705.9999999999,0.0
re2ob_checkoutservice_delay_1,delay,paymentservice,23,690,20,20,178.5,531.9000000000003,0.0
re2ob_checkoutservice_delay_1,delay,productcatalogservice,23,690,376,2121,12.0,23.0,0.0
re2ob_checkoutservice_delay_1,delay,recommendationservice,23,690,289,566,3479.5,4306.75,0.0
re2ob_checkoutservice_delay_2,delay,checkoutservice,0,0,60,148,4058.0,65536.45000000003,0.0
re2ob_checkoutservice_delay_2,delay,currencyservice,0,0,363,1227,138.0,238.10000000000014,0.0
re2ob_checkoutservice_delay_2,delay,emailservice,0,0,22,22,64.5,381.84999999999997,0.0
re2ob_checkoutservice_delay_2,delay,frontendservice,0,0,411,4291,3918.0,64371.5,0.0
re2ob_checkoutservice_delay_2,delay,paymentservice,0,0,16,16,174.5,235.25,0.0
re2ob_checkoutservice_delay_2,delay,productcatalogservice,0,0,373,2069,12.0,22.0,0.0
