selection_step,selected_incident_type,marginal_gain,cumulative_F
1,currencyservice::cpu,253.0,253.0
2,currencyservice::delay,65.59999999999997,318.59999999999997
3,currencyservice::disk,25.12000000000006,343.72
4,currencyservice::loss,14.62399999999991,358.34399999999994
5,currencyservice::mem,10.604800000000068,368.9488
6,productcatalogservice::delay,8.264959999999974,377.21376
7,productcatalogservice::disk,6.568191999999954,383.78195199999993
8,productcatalogservice::loss,5.245798400000012,389.02775039999995
9,productcatalogservice::mem,4.194887680000022,393.22263807999997
10,recommendationservice::delay,3.35555993600002,396.578198016
11,recommendationservice::loss,2.6843779072000302,399.2625759232
12,recommendationservice::mem,2.1474883174399224,401.41006424063994
13,productcatalogservice::socket,1.717987848192081,403.128052088832
14,productcatalogservice::cpu,1.374389701836833,404.50244179066885
15,recommendationservice::disk,1.0995116749618319,405.6019534656307
16,checkoutservice::mem,0.8796093169008827,406.48156278253157
17,recommendationservice::cpu,0.7036874475962804,407.18525023012785
18,currencyservice::socket,0.5629499550806827,407.74820018520853
19,checkoutservice::delay,0.4503599633640647,408.1985601485726
20,recommendationservice::socket,0.3602879703813642,408.55884811895396
21,checkoutservice::disk,0.28823037625789993,408.84707849521186
22,checkoutservice::cpu,0.2305843009680757,409.07766279617994
23,checkoutservice::loss,0.18446744076982213,409.26213023694976
24,checkoutservice::socket,0.1475739526112534,409.409704189561
25,emailservice::delay,0.11805916208811595,409.5277633516491
26,emailservice::cpu,0.0944473296701176,409.62221068131925
27,emailservice::disk,0.07555786373615092,409.6977685450554
28,emailservice::loss,0.06044629098897758,409.7582148360444
29,emailservice::mem,0.04835703279110248,409.8065718688355
30,emailservice::socket,0.038685626232904724,409.8452574950684
