case,service,normal_spans,faulty_spans,normal_median,faulty_median,median_ratio,normal_p95,faulty_p95,p95_ratio,normal_error_rate,faulty_error_rate,error_rate_change
re2ob_checkoutservice_cpu_1,checkoutservice,4676,4562,4000.5,4901.5,1.2252218472690914,215128.5,240295.6499999999,1.116986591734707,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,currencyservice,27525,27507,98.0,96.0,0.9795918367346939,183.0,178.0,0.9726775956284153,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,emailservice,621,624,196.0,196.0,1.0,420.0,544.4000000000001,1.2961904761904763,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,frontendservice,99979,99540,3781.0,3711.0,0.9814863792647448,195827.19999999998,194927.14999999997,0.9954038560526831,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,paymentservice,477,480,186.0,181.0,0.9731182795698925,515.0,410.0,0.7961165048543689,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,productcatalogservice,50036,49536,12.0,11.0,0.9166666666666666,24.0,25.0,1.0416666666666667,0.0,0.0,0.0
re2ob_checkoutservice_cpu_1,recommendationservice,13258,13176,3472.0,3455.0,0.9951036866359447,5030.449999999999,4984.75,0.99091532566669,0.0,0.0,0.0
re2ob_checkoutservice_cpu_2,checkoutservice,4740,223,3914.5,4228.0,1.0800868565589474,72847.50000000001,140123.69999999987,1.9235210542571788,0.0,0.0,0.0
re2ob_checkoutservice_cpu_2,currencyservice,26000,1575,125.0,128.0,1.024,201.0,218.29999999999995,1.0860696517412933,0.0,0.0,0.0
re2ob_checkoutservice_cpu_2,emailservice,622,30,187.0,184.5,0.9866310160427807,391.0,557.4499999999992,1.4257033248081823,0.0,0.0,0.0
re2ob_checkoutservice_cpu_2,frontendservice,96101,5561,3587.0,3745.0,1.044047950933928,57305.0,61185.0,1.0677078788936394,0.0,0.0,0.0
re2ob_checkoutservice_cpu_2,paymentservice,489,24,251.0,239.0,0.952191235059761,777.5999999999995,367.4,0.47247942386831304,0.0,0.0,0.0
re2ob_checkoutservice_cpu_2,productcatalogservice,48178,2761,13.0,13.0,1.0,25.0,25.0,1.0,0.0,0.0,0.0
re2ob_checkoutservice_cpu_2,recommendationservice,12984,672,3101.0,3098.0,0.999032570138665,4636.0,5540.649999999999,1.1951358930112164,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,checkoutservice,4432,4394,3977.0,4683.5,1.1776464671863214,70807.84999999999,191755.59999999992,2.7081121655296685,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,currencyservice,28694,28725,131.0,137.0,1.0458015267175573,211.0,221.0,1.04739336492891,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,emailservice,607,601,206.0,203.0,0.9854368932038835,466.69999999999993,459.0,0.983501178487251,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,frontendservice,103524,104994,3402.0,3582.0,1.052910052910053,53176.399999999965,58278.09999999995,1.0959391760254547,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,paymentservice,463,457,184.0,192.0,1.0434782608695652,507.39999999999986,480.59999999999997,0.9471817106819079,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,productcatalogservice,51270,52440,14.0,14.0,1.0,30.0,31.0,1.0333333333333334,0.0,0.0,0.0
re2ob_checkoutservice_cpu_3,recommendationservice,13668,13942,3522.0,3609.0,1.024701873935264,4778.5999999999985,4950.899999999998,1.0360565856108481,0.0,0.0,0.0
