case,fault_type,faulty_service,impaired_service,impairment_score,business_capability
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,frontendservice,11.735626294163184,Advertisement Retrieval
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,frontendservice,11.735626294163184,Cart Management
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,frontendservice,11.735626294163184,Currency Conversion
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,frontendservice,11.735626294163184,Order Placement
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,frontendservice,11.735626294163184,Product Browsing
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,frontendservice,11.735626294163184,Product Recommendations
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,frontendservice,11.735626294163184,Shipping
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,checkoutservice,9.100242351989555,Cart Management
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,checkoutservice,9.100242351989555,Currency Conversion
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,checkoutservice,9.100242351989555,Order Confirmation
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,checkoutservice,9.100242351989555,Order Placement
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,checkoutservice,9.100242351989555,Payment Processing
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,checkoutservice,9.100242351989555,Product Browsing
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,checkoutservice,9.100242351989555,Shipping
re2ob_checkoutservice_cpu_2,cpu,checkoutservice,checkoutservice,4.327842648779733,Cart Management
re2ob_checkoutservice_cpu_2,cpu,checkoutservice,checkoutservice,4.327842648779733,Currency Conversion
re2ob_checkoutservice_cpu_2,cpu,checkoutservice,checkoutservice,4.327842648779733,Order Confirmation
re2ob_checkoutservice_cpu_2,cpu,checkoutservice,checkoutservice,4.327842648779733,Order Placement
re2ob_checkoutservice_cpu_2,cpu,checkoutservice,checkoutservice,4.327842648779733,Payment Processing
re2ob_checkoutservice_cpu_2,cpu,checkoutservice,checkoutservice,4.327842648779733,Product Browsing
re2ob_checkoutservice_cpu_2,cpu,checkoutservice,checkoutservice,4.327842648779733,Shipping
re2ob_checkoutservice_cpu_2,cpu,checkoutservice,recommendationservice,3.0210086121820527,Product Browsing
re2ob_checkoutservice_cpu_2,cpu,checkoutservice,recommendationservice,3.0210086121820527,Product Recommendations
re2ob_checkoutservice_cpu_3,cpu,checkoutservice,checkoutservice,9.336372091702344,Cart Management
re2ob_checkoutservice_cpu_3,cpu,checkoutservice,checkoutservice,9.336372091702344,Currency Conversion
re2ob_checkoutservice_cpu_3,cpu,checkoutservice,checkoutservice,9.336372091702344,Order Confirmation
re2ob_checkoutservice_cpu_3,cpu,checkoutservice,checkoutservice,9.336372091702344,Order Placement
re2ob_checkoutservice_cpu_3,cpu,checkoutservice,checkoutservice,9.336372091702344,Payment Processing
re2ob_checkoutservice_cpu_3,cpu,checkoutservice,checkoutservice,9.336372091702344,Product Browsing
re2ob_checkoutservice_cpu_3,cpu,checkoutservice,checkoutservice,9.336372091702344,Shipping
re2ob_checkoutservice_delay_1,delay,checkoutservice,checkoutservice,2760.986628564822,Cart Management
re2ob_checkoutservice_delay_1,delay,checkoutservice,checkoutservice,2760.986628564822,Currency Conversion
re2ob_checkoutservice_delay_1,delay,checkoutservice,checkoutservice,2760.986628564822,Order Confirmation
re2ob_checkoutservice_delay_1,delay,checkoutservice,checkoutservice,2760.986628564822,Order Placement
re2ob_checkoutservice_delay_1,delay,checkoutservice,checkoutservice,2760.986628564822,Payment Processing
re2ob_checkoutservice_delay_1,delay,checkoutservice,checkoutservice,2760.986628564822,Product Browsing
re2ob_checkoutservice_delay_1,delay,checkoutservice,checkoutservice,2760.986628564822,Shipping
re2ob_checkoutservice_delay_1,delay,checkoutservice,currencyservice,4.2514069125197,Currency Conversion
re2ob_checkoutservice_delay_2,delay,checkoutservice,checkoutservice,2760.250194776413,Cart Management
re2ob_checkoutservice_delay_2,delay,checkoutservice,checkoutservice,2760.250194776413,Currency Conversion
re2ob_checkoutservice_delay_2,delay,checkoutservice,checkoutservice,2760.250194776413,Order Confirmation
re2ob_checkoutservice_delay_2,delay,checkoutservice,checkoutservice,2760.250194776413,Order Placement
re2ob_checkoutservice_delay_2,delay,checkoutservice,checkoutservice,2760.250194776413,Payment Processing
re2ob_checkoutservice_delay_2,delay,checkoutservice,checkoutservice,2760.250194776413,Product Browsing
re2ob_checkoutservice_delay_2,delay,checkoutservice,checkoutservice,2760.250194776413,Shipping
re2ob_checkoutservice_delay_3,delay,checkoutservice,checkoutservice,2758.371256232157,Cart Management
re2ob_checkoutservice_delay_3,delay,checkoutservice,checkoutservice,2758.371256232157,Currency Conversion
re2ob_checkoutservice_delay_3,delay,checkoutservice,checkoutservice,2758.371256232157,Order Confirmation
re2ob_checkoutservice_delay_3,delay,checkoutservice,checkoutservice,2758.371256232157,Order Placement
re2ob_checkoutservice_delay_3,delay,checkoutservice,checkoutservice,2758.371256232157,Payment Processing
re2ob_checkoutservice_delay_3,delay,checkoutservice,checkoutservice,2758.371256232157,Product Browsing
re2ob_checkoutservice_delay_3,delay,checkoutservice,checkoutservice,2758.371256232157,Shipping
