metric,threshold,root_detected,root_total,root_recall,downstream_false_positives,downstream_total,downstream_false_positive_rate,total_positive
median_latency,1.05,5,6,0.8333333333333334,9,36,0.25,14
median_latency,1.1,5,6,0.8333333333333334,4,36,0.1111111111111111,9
median_latency,1.15,4,6,0.6666666666666666,3,36,0.08333333333333333,7
median_latency,1.2,3,6,0.5,3,36,0.08333333333333333,6
median_latency,1.25,3,6,0.5,2,36,0.05555555555555555,5
median_latency,1.5,3,6,0.5,2,36,0.05555555555555555,5
median_latency,2.0,3,6,0.5,2,36,0.05555555555555555,5
p95_latency,1.1,5,6,0.8333333333333334,16,36,0.4444444444444444,21
p95_latency,1.2,5,6,0.8333333333333334,7,36,0.19444444444444445,12
p95_latency,1.3,5,6,0.8333333333333334,5,36,0.1388888888888889,10
p95_latency,1.5,5,6,0.8333333333333334,4,36,0.1111111111111111,9
p95_latency,2.0,4,6,0.6666666666666666,2,36,0.05555555555555555,6
p95_latency,2.5,4,6,0.6666666666666666,0,36,0.0,4
p95_latency,3.0,3,6,0.5,0,36,0.0,3
