metric,baseline,n_scenarios,blast_mean,baseline_mean,wilcoxon_stat,p_value_raw,cliffs_delta,higher_is_better,p_value_holm,statistically_significant_win,practically_significant,blast_significantly_better
ndcg_5,B1_random,90,0.9539500677302318,0.7527944025732899,40.0,3.2185359296957056e-15,0.7192592592592593,True,2.252975150786994e-14,True,True,True
ndcg_5,B2_severity,90,0.9539500677302318,0.9950452950112727,196.0,8.594793108021836e-11,-0.6808641975308642,True,2.578437932406551e-10,False,True,False
ndcg_5,B3_itil,90,0.9539500677302318,0.9994123739981149,51.0,4.002249572619041e-13,-0.7485185185185186,True,1.6008998290476163e-12,False,True,False
ndcg_5,B4_pagerank,90,0.9539500677302318,0.8225600290675987,150.0,3.059869531769737e-13,0.5727160493827161,True,1.5299347658848684e-12,True,True,True
ndcg_5,B6_ppr,90,0.9539500677302318,0.7623854108723702,89.0,2.5824589069282297e-14,0.6770370370370371,True,1.549475344156938e-13,True,True,True
ndcg_5,B7_classifier,90,0.9539500677302318,0.9928892287412365,115.0,3.9194799832314433e-10,-0.48876543209876544,True,4.420212800818808e-10,False,True,False
ndcg_5,B9_independent,90,0.9539500677302318,0.9155696887972122,62.0,2.210106400409404e-10,0.2769135802469136,True,4.420212800818808e-10,True,True,True
cbl,B1_random,90,1097.969464622095,1497.0295701538073,27.0,3.0373003164551303e-15,-0.3118518518518518,False,2.1261102215185913e-14,True,True,True
cbl,B2_severity,90,1097.969464622095,964.3025379886355,90.0,1.795059148489607e-12,0.14456790123456797,False,5.385177445468821e-12,False,False,False
cbl,B3_itil,90,1097.969464622095,955.9487202232148,52.0,4.1614283022278067e-13,0.15074074074074084,False,1.6645713208911227e-12,False,True,False
cbl,B4_pagerank,90,1097.969464622095,1347.1098147537691,118.0,1.0499771696147706e-13,-0.23086419753086418,False,5.249885848073853e-13,True,True,True
cbl,B6_ppr,90,1097.969464622095,1440.882447062356,68.0,1.2610210090507021e-14,-0.28222222222222226,False,7.566126054304213e-14,True,True,True
cbl,B7_classifier,90,1097.969464622095,995.8982540050864,141.0,1.1482425397221816e-09,0.11641975308641972,False,2.296485079444363e-09,False,False,False
cbl,B9_independent,90,1097.969464622095,1124.9887834431963,463.0,0.0008762161373589518,-0.023456790123456805,False,0.0008762161373589518,True,False,False
