case,fault_type,faulty_service,service,window_seconds,pre_requests,post_requests,request_volume_ratio,pre_spans,post_spans,span_volume_ratio,pre_median_latency,post_median_latency,median_latency_ratio,pre_p95_latency,post_p95_latency,p95_latency_ratio,pre_error_rate,post_error_rate,error_rate_change
re2ob_checkoutservice_delay_1,delay,checkoutservice,checkoutservice,30,72,73,1.0138888888888888,188,195,1.0372340425531914,3924.0,204596.0,52.13965341488277,68256.10000000002,2014328.0999999943,29.51132719273433,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,delay,checkoutservice,currencyservice,30,373,357,0.9571045576407506,1189,1093,0.9192598822539949,141.0,147.0,1.0425531914893618,239.79999999999973,289.59999999999945,1.2076730608840691,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,delay,checkoutservice,emailservice,30,26,27,1.0384615384615385,26,27,1.0384615384615385,204.5,210.0,1.0268948655256724,464.75,449.4,0.9669714900484131,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,delay,checkoutservice,frontendservice,30,408,384,0.9411764705882353,4293,4083,0.9510831586303284,3714.0,4074.0,1.0969305331179322,58705.9999999999,64694.99999999993,1.1020168296255926,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,delay,checkoutservice,paymentservice,30,20,21,1.05,20,21,1.05,178.5,185.0,1.0364145658263306,531.9000000000003,227.0,0.426771949614589,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,delay,checkoutservice,productcatalogservice,30,376,359,0.9547872340425532,2121,2060,0.9712399811409712,12.0,13.0,1.0833333333333333,23.0,26.0,1.1304347826086956,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,delay,checkoutservice,recommendationservice,30,289,282,0.9757785467128027,566,552,0.9752650176678446,3479.5,3489.0,1.0027302773386981,4306.75,4263.199999999999,0.9898879665641143,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,delay,checkoutservice,checkoutservice,30,78,34,0.4358974358974359,196,76,0.3877551020408163,3968.5,204542.5,51.54151442610558,80253.75,1904145.75,23.72656417924396,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,delay,checkoutservice,currencyservice,30,386,322,0.8341968911917098,1351,1038,0.768319763138416,140.0,142.0,1.0142857142857142,241.5,240.14999999999998,0.9944099378881986,0.0,0.0,0.0
re2ob_checkoutservice_delay_2,delay,checkoutservice,emailservice,30,25,17,0.68,25,17,0.68,204.0,47.0,0.23039215686274508,420.39999999999975,348.9999999999999,0.8301617507136063,0.0,0.0,0.0
