case,fault_type,faulty_service,service,window_seconds,pre_requests,post_requests,request_volume_ratio,pre_spans,post_spans,span_volume_ratio,pre_median_latency,post_median_latency,median_latency_ratio,pre_p95_latency,post_p95_latency,p95_latency_ratio,pre_error_rate,post_error_rate,error_rate_change,baseline_windows,median_latency_baseline_median,median_latency_baseline_mad,median_latency_robust_sigma,p95_latency_baseline_median,p95_latency_baseline_mad,p95_latency_robust_sigma,error_rate_baseline_median,error_rate_baseline_mad,error_rate_robust_sigma,median_latency_robust_z,p95_latency_robust_z,error_rate_robust_z,median_latency_ratio_detector,p95_latency_ratio_detector,median_latency_impaired,p95_latency_impaired,error_impaired,impaired,impairment_score,impaired_signal_count
re2ob_checkoutservice_delay_1,delay,checkoutservice,checkoutservice,30,72,73,1.0138888888888888,188,195,1.0372340425531914,3924.0,204596.0,52.13965341488277,68256.10000000002,2014328.0999999945,29.51132719273433,0.0,0.0,0.0,72,4017.5,49.0,72.64739999999999,74924.65000000001,4457.700000000099,6608.986020000147,0.0,0.0,0.0,2760.986628564822,293.4494707858304,0.0,52.13965341488277,29.51132719273433,True,True,False,True,2760.986628564822,2
re2ob_checkoutservice_delay_1,delay,checkoutservice,currencyservice,30,373,357,0.9571045576407506,1189,1093,0.9192598822539948,141.0,147.0,1.0425531914893618,239.79999999999973,289.59999999999945,1.2076730608840691,0.0,0.0,0.0,72,141.0,1.0,1.4826,244.375,7.1749999999999545,10.637654999999931,0.0,0.0,0.0,4.046944556859572,4.2514069125197,0.0,1.0425531914893618,1.2076730608840691,True,True,False,True,4.2514069125197,2
re2ob_checkoutservice_delay_1,delay,checkoutservice,emailservice,30,26,27,1.0384615384615383,26,27,1.0384615384615383,204.5,210.0,1.0268948655256724,464.75,449.4,0.9669714900484132,0.0,0.0,0.0,72,199.0,11.0,16.3086,379.09999999999997,48.17500000000001,71.42425500000002,0.0,0.0,0.0,0.6744907594765952,0.9842594788003038,0.0,1.0268948655256724,0.9669714900484131,False,False,False,False,0.9842594788003038,0
re2ob_checkoutservice_delay_1,delay,checkoutservice,frontendservice,30,408,384,0.9411764705882352,4293,4083,0.9510831586303284,3714.0,4074.0,1.0969305331179322,58705.9999999999,64694.99999999993,1.1020168296255926,0.0,0.0,0.0,72,3860.5,73.0,108.2298,68198.94999999998,3651.30000000001,5413.417380000014,0.0,0.0,0.0,1.9726544814829188,-0.6472713544951241,0.0,1.0969305331179322,1.1020168296255926,False,False,False,False,1.9726544814829188,0
re2ob_checkoutservice_delay_1,delay,checkoutservice,paymentservice,30,20,21,1.05,20,21,1.05,178.5,185.0,1.0364145658263306,531.9000000000003,227.0,0.426771949614589,0.0,0.0,0.0,72,182.5,6.75,10.00755,330.3499999999997,70.42499999999967,104.4121049999995,0.0,0.0,0.0,0.24981139239873895,-0.9898277599134715,0.0,1.0364145658263306,0.426771949614589,False,False,False,False,0.24981139239873895,0
re2ob_checkoutservice_delay_1,delay,checkoutservice,productcatalogservice,30,376,359,0.9547872340425532,2121,2060,0.9712399811409712,12.0,13.0,1.0833333333333333,23.0,26.0,1.1304347826086956,0.0,0.0,0.0,72,12.0,0.0,0.0,24.0,1.0,1.4826,0.0,0.0,0.0,0.0,1.3489815189531904,0.0,1.0833333333333333,1.1304347826086956,False,False,False,False,1.3489815189531904,0
re2ob_checkoutservice_delay_1,delay,checkoutservice,recommendationservice,30,289,282,0.9757785467128028,566,552,0.9752650176678446,3479.5,3489.0,1.002730277338698,4306.75,4263.199999999999,0.9898879665641144,0.0,0.0,0.0,72,3492.0,31.0,45.9606,4548.799999999999,132.05000000000018,195.77733000000026,0.0,0.0,0.0,-0.06527329930418663,-1.458800158322723,0.0,1.0027302773386981,0.9898879665641143,False,False,False,False,0.0,0
re2ob_checkoutservice_delay_2,delay,checkoutservice,checkoutservice,30,78,34,0.4358974358974359,196,76,0.3877551020408163,3968.5,204542.5,51.54151442610558,80253.75,1904145.75,23.72656417924396,0.0,0.0,0.0,72,4017.5,49.0,72.64739999999999,74924.65000000001,4457.700000000099,6608.986020000147,0.0,0.0,0.0,2760.2501947764135,276.77787401341175,0.0,51.54151442610558,23.72656417924396,True,True,False,True,2760.2501947764135,2
re2ob_checkoutservice_delay_2,delay,checkoutservice,currencyservice,30,386,322,0.8341968911917098,1351,1038,0.768319763138416,140.0,142.0,1.0142857142857142,241.5,240.15,0.9944099378881986,0.0,0.0,0.0,72,141.0,1.0,1.4826,244.375,7.1749999999999545,10.637654999999931,0.0,0.0,0.0,0.6744907594765952,-0.39717400122489604,0.0,1.0142857142857142,0.9944099378881988,False,False,False,False,0.6744907594765952,0
re2ob_checkoutservice_delay_2,delay,checkoutservice,emailservice,30,25,17,0.68,25,17,0.68,204.0,47.0,0.230392156862745,420.39999999999975,348.9999999999999,0.8301617507136063,0.0,0.0,0.0,72,199.0,11.0,16.3086,379.09999999999997,48.17500000000001,71.42425500000002,0.0,0.0,0.0,-9.320235949131135,-0.42142546674095616,0.0,0.23039215686274508,0.8301617507136063,False,False,False,False,0.0,0
