service,fault_type,capability_id,capability,n_reps,max_magnitude,mean_magnitude,value_per_min,weighted_max_magnitude
checkoutservice,cpu,order_placement,Order Placement,3,0.8905325147475638,0.29684417158252124,100.0,89.05325147475638
checkoutservice,cpu,payment_processing,Payment Processing,3,0.0,0.0,100.0,0.0
checkoutservice,cpu,currency_conversion,Currency Conversion,3,0.8905325147475638,0.29684417158252124,60.0,53.431950884853826
checkoutservice,cpu,cart_management,Cart Management,3,0.1520836403645709,0.0506945467881903,50.0,7.604182018228545
checkoutservice,cpu,shipping,Shipping,3,0.0,0.0,40.0,0.0
checkoutservice,cpu,order_confirmation,Order Confirmation,3,0.0,0.0,25.0,0.0
checkoutservice,cpu,product_browsing,Product Browsing,3,0.8905325147475638,0.29684417158252124,20.0,17.810650294951277
checkoutservice,cpu,product_recommendations,Product Recommendations,3,0.8905325147475638,0.29684417158252124,10.0,8.905325147475638
checkoutservice,cpu,advertisement_retrieval,Advertisement Retrieval,3,0.1520836403645709,0.0506945467881903,5.0,0.7604182018228545
checkoutservice,delay,order_placement,Order Placement,3,1.0,0.9987096973345064,100.0,100.0
checkoutservice,delay,payment_processing,Payment Processing,3,0.0,0.0,100.0,0.0
checkoutservice,delay,currency_conversion,Currency Conversion,3,1.0,0.999543318454354,60.0,60.0
checkoutservice,delay,cart_management,Cart Management,3,0.0,0.0,50.0,0.0
checkoutservice,delay,shipping,Shipping,3,0.0,0.0,40.0,0.0
checkoutservice,delay,order_confirmation,Order Confirmation,3,0.0,0.0,25.0,0.0
checkoutservice,delay,product_browsing,Product Browsing,3,1.0,0.9987096973345064,20.0,20.0
checkoutservice,delay,product_recommendations,Product Recommendations,3,1.0,0.9987096973345064,10.0,10.0
checkoutservice,delay,advertisement_retrieval,Advertisement Retrieval,3,0.0,0.0,5.0,0.0
checkoutservice,disk,order_placement,Order Placement,3,0.6721059391790438,0.5032780724977893,100.0,67.21059391790438
checkoutservice,disk,payment_processing,Payment Processing,3,0.0,0.0,100.0,0.0
checkoutservice,disk,currency_conversion,Currency Conversion,3,0.6721059391790438,0.5032780724977893,60.0,40.32635635074263
checkoutservice,disk,cart_management,Cart Management,3,0.0,0.0,50.0,0.0
checkoutservice,disk,shipping,Shipping,3,0.0,0.0,40.0,0.0
checkoutservice,disk,order_confirmation,Order Confirmation,3,0.0,0.0,25.0,0.0
checkoutservice,disk,product_browsing,Product Browsing,3,0.6721059391790438,0.5032780724977893,20.0,13.442118783580877
checkoutservice,disk,product_recommendations,Product Recommendations,3,0.6721059391790438,0.5032780724977893,10.0,6.721059391790439
checkoutservice,disk,advertisement_retrieval,Advertisement Retrieval,3,0.0,0.0,5.0,0.0
checkoutservice,loss,order_placement,Order Placement,3,0.9950125760474666,0.9759928361189042,100.0,99.50125760474666
checkoutservice,loss,payment_processing,Payment Processing,3,0.0,0.0,100.0,0.0
checkoutservice,loss,currency_conversion,Currency Conversion,3,0.9950125760474666,0.9759928361189042,60.0,59.700754562848
checkoutservice,loss,cart_management,Cart Management,3,0.0,0.0,50.0,0.0
checkoutservice,loss,shipping,Shipping,3,0.0,0.0,40.0,0.0
checkoutservice,loss,order_confirmation,Order Confirmation,3,0.0,0.0,25.0,0.0
checkoutservice,loss,product_browsing,Product Browsing,3,0.9950125760474666,0.9759928361189042,20.0,19.900251520949332
checkoutservice,loss,product_recommendations,Product Recommendations,3,0.9950125760474666,0.9759928361189042,10.0,9.950125760474666
checkoutservice,loss,advertisement_retrieval,Advertisement Retrieval,3,0.0,0.0,5.0,0.0
checkoutservice,mem,order_placement,Order Placement,3,0.9419452887537992,0.77870118137757,100.0,94.19452887537993
checkoutservice,mem,payment_processing,Payment Processing,3,0.0,0.0,100.0,0.0
checkoutservice,mem,currency_conversion,Currency Conversion,3,0.9419452887537992,0.77870118137757,60.0,56.51671732522795
checkoutservice,mem,cart_management,Cart Management,3,0.177199518873576,0.059066506291192,50.0,8.8599759436788
checkoutservice,mem,shipping,Shipping,3,0.0,0.0,40.0,0.0
checkoutservice,mem,order_confirmation,Order Confirmation,3,0.0,0.0,25.0,0.0
checkoutservice,mem,product_browsing,Product Browsing,3,0.9419452887537992,0.77870118137757,20.0,18.838905775075986
checkoutservice,mem,product_recommendations,Product Recommendations,3,0.9419452887537992,0.77870118137757,10.0,9.419452887537993
