incident_a,incident_b,intersection_size,union_size,jaccard_overlap,overlapping_capabilities
re2ob_checkoutservice_cpu_1,re2ob_checkoutservice_cpu_2,8,9,0.8888888888888888,Cart Management;Currency Conversion;Order Confirmation;Order Placement;Payment Processing;Product Browsing;Product Recommendations;Shipping
re2ob_checkoutservice_cpu_1,re2ob_checkoutservice_cpu_3,7,9,0.7777777777777778,Cart Management;Currency Conversion;Order Confirmation;Order Placement;Payment Processing;Product Browsing;Shipping
re2ob_checkoutservice_cpu_1,re2ob_checkoutservice_delay_1,7,9,0.7777777777777778,Cart Management;Currency Conversion;Order Confirmation;Order Placement;Payment Processing;Product Browsing;Shipping
re2ob_checkoutservice_cpu_1,re2ob_checkoutservice_delay_2,7,9,0.7777777777777778,Cart Management;Currency Conversion;Order Confirmation;Order Placement;Payment Processing;Product Browsing;Shipping
re2ob_checkoutservice_cpu_1,re2ob_checkoutservice_delay_3,7,9,0.7777777777777778,Cart Management;Currency Conversion;Order Confirmation;Order Placement;Payment Processing;Product Browsing;Shipping
re2ob_checkoutservice_cpu_2,re2ob_checkoutservice_cpu_3,7,8,0.875,Cart Management;Currency Conversion;Order Confirmation;Order Placement;Payment Processing;Product Browsing;Shipping
re2ob_checkoutservice_cpu_2,re2ob_checkoutservice_delay_1,7,8,0.875,Cart Management;Currency Conversion;Order Confirmation;Order Placement;Payment Processing;Product Browsing;Shipping
re2ob_checkoutservice_cpu_2,re2ob_checkoutservice_delay_2,7,8,0.875,Cart Management;Currency Conversion;Order Confirmation;Order Placement;Payment Processing;Product Browsing;Shipping
re2ob_checkoutservice_cpu_2,re2ob_checkoutservice_delay_3,7,8,0.875,Cart Management;Currency Conversion;Order Confirmation;Order Placement;Payment Processing;Product Browsing;Shipping
re2ob_checkoutservice_cpu_3,re2ob_checkoutservice_delay_1,7,7,1.0,Cart Management;Currency Conversion;Order Confirmation;Order Placement;Payment Processing;Product Browsing;Shipping
re2ob_checkoutservice_cpu_3,re2ob_checkoutservice_delay_2,7,7,1.0,Cart Management;Currency Conversion;Order Confirmation;Order Placement;Payment Processing;Product Browsing;Shipping
re2ob_checkoutservice_cpu_3,re2ob_checkoutservice_delay_3,7,7,1.0,Cart Management;Currency Conversion;Order Confirmation;Order Placement;Payment Processing;Product Browsing;Shipping
re2ob_checkoutservice_delay_1,re2ob_checkoutservice_delay_2,7,7,1.0,Cart Management;Currency Conversion;Order Confirmation;Order Placement;Payment Processing;Product Browsing;Shipping
re2ob_checkoutservice_delay_1,re2ob_checkoutservice_delay_3,7,7,1.0,Cart Management;Currency Conversion;Order Confirmation;Order Placement;Payment Processing;Product Browsing;Shipping
re2ob_checkoutservice_delay_2,re2ob_checkoutservice_delay_3,7,7,1.0,Cart Management;Currency Conversion;Order Confirmation;Order Placement;Payment Processing;Product Browsing;Shipping
