service,fault_type,capability_id,capability,n_reps,n_impaired_reps,raw_probability,posterior_alpha,posterior_beta,p_smoothed
checkoutservice,cpu,order_placement,Order Placement,3,1,0.3333333333333333,2.0,3.0,0.4
checkoutservice,cpu,payment_processing,Payment Processing,3,0,0.0,1.0,4.0,0.2
checkoutservice,cpu,currency_conversion,Currency Conversion,3,1,0.3333333333333333,2.0,3.0,0.4
checkoutservice,cpu,cart_management,Cart Management,3,1,0.3333333333333333,2.0,3.0,0.4
checkoutservice,cpu,shipping,Shipping,3,0,0.0,1.0,4.0,0.2
checkoutservice,cpu,order_confirmation,Order Confirmation,3,0,0.0,1.0,4.0,0.2
checkoutservice,cpu,product_browsing,Product Browsing,3,1,0.3333333333333333,2.0,3.0,0.4
checkoutservice,cpu,product_recommendations,Product Recommendations,3,1,0.3333333333333333,2.0,3.0,0.4
checkoutservice,cpu,advertisement_retrieval,Advertisement Retrieval,3,1,0.3333333333333333,2.0,3.0,0.4
checkoutservice,delay,order_placement,Order Placement,3,3,1.0,4.0,1.0,0.8
checkoutservice,delay,payment_processing,Payment Processing,3,0,0.0,1.0,4.0,0.2
checkoutservice,delay,currency_conversion,Currency Conversion,3,3,1.0,4.0,1.0,0.8
checkoutservice,delay,cart_management,Cart Management,3,0,0.0,1.0,4.0,0.2
checkoutservice,delay,shipping,Shipping,3,0,0.0,1.0,4.0,0.2
checkoutservice,delay,order_confirmation,Order Confirmation,3,0,0.0,1.0,4.0,0.2
checkoutservice,delay,product_browsing,Product Browsing,3,3,1.0,4.0,1.0,0.8
checkoutservice,delay,product_recommendations,Product Recommendations,3,3,1.0,4.0,1.0,0.8
checkoutservice,delay,advertisement_retrieval,Advertisement Retrieval,3,0,0.0,1.0,4.0,0.2
checkoutservice,disk,order_placement,Order Placement,3,3,1.0,4.0,1.0,0.8
checkoutservice,disk,payment_processing,Payment Processing,3,0,0.0,1.0,4.0,0.2
checkoutservice,disk,currency_conversion,Currency Conversion,3,3,1.0,4.0,1.0,0.8
checkoutservice,disk,cart_management,Cart Management,3,0,0.0,1.0,4.0,0.2
checkoutservice,disk,shipping,Shipping,3,0,0.0,1.0,4.0,0.2
checkoutservice,disk,order_confirmation,Order Confirmation,3,0,0.0,1.0,4.0,0.2
checkoutservice,disk,product_browsing,Product Browsing,3,3,1.0,4.0,1.0,0.8
checkoutservice,disk,product_recommendations,Product Recommendations,3,3,1.0,4.0,1.0,0.8
checkoutservice,disk,advertisement_retrieval,Advertisement Retrieval,3,0,0.0,1.0,4.0,0.2
checkoutservice,loss,order_placement,Order Placement,3,3,1.0,4.0,1.0,0.8
checkoutservice,loss,payment_processing,Payment Processing,3,0,0.0,1.0,4.0,0.2
checkoutservice,loss,currency_conversion,Currency Conversion,3,3,1.0,4.0,1.0,0.8
checkoutservice,loss,cart_management,Cart Management,3,0,0.0,1.0,4.0,0.2
checkoutservice,loss,shipping,Shipping,3,0,0.0,1.0,4.0,0.2
checkoutservice,loss,order_confirmation,Order Confirmation,3,0,0.0,1.0,4.0,0.2
checkoutservice,loss,product_browsing,Product Browsing,3,3,1.0,4.0,1.0,0.8
checkoutservice,loss,product_recommendations,Product Recommendations,3,3,1.0,4.0,1.0,0.8
checkoutservice,loss,advertisement_retrieval,Advertisement Retrieval,3,0,0.0,1.0,4.0,0.2
checkoutservice,mem,order_placement,Order Placement,3,3,1.0,4.0,1.0,0.8
checkoutservice,mem,payment_processing,Payment Processing,3,0,0.0,1.0,4.0,0.2
checkoutservice,mem,currency_conversion,Currency Conversion,3,3,1.0,4.0,1.0,0.8
checkoutservice,mem,cart_management,Cart Management,3,1,0.3333333333333333,2.0,3.0,0.4
checkoutservice,mem,shipping,Shipping,3,0,0.0,1.0,4.0,0.2
checkoutservice,mem,order_confirmation,Order Confirmation,3,0,0.0,1.0,4.0,0.2
checkoutservice,mem,product_browsing,Product Browsing,3,3,1.0,4.0,1.0,0.8
checkoutservice,mem,product_recommendations,Product Recommendations,3,3,1.0,4.0,1.0,0.8
checkoutservice,mem,advertisement_retrieval,Advertisement Retrieval,3,1,0.3333333333333333,2.0,3.0,0.4
checkoutservice,socket,order_placement,Order Placement,3,3,1.0,4.0,1.0,0.8
checkoutservice,socket,payment_processing,Payment Processing,3,0,0.0,1.0,4.0,0.2
checkoutservice,socket,currency_conversion,Currency Conversion,3,3,1.0,4.0,1.0,0.8
checkoutservice,socket,cart_management,Cart Management,3,0,0.0,1.0,4.0,0.2
checkoutservice,socket,shipping,Shipping,3,0,0.0,1.0,4.0,0.2
checkoutservice,socket,order_confirmation,Order Confirmation,3,0,0.0,1.0,4.0,0.2
checkoutservice,socket,product_browsing,Product Browsing,3,3,1.0,4.0,1.0,0.8
checkoutservice,socket,product_recommendations,Product Recommendations,3,3,1.0,4.0,1.0,0.8
checkoutservice,socket,advertisement_retrieval,Advertisement Retrieval,3,0,0.0,1.0,4.0,0.2
currencyservice,cpu,order_placement,Order Placement,3,3,1.0,4.0,1.0,0.8
currencyservice,cpu,payment_processing,Payment Processing,3,0,0.0,1.0,4.0,0.2
currencyservice,cpu,currency_conversion,Currency Conversion,3,3,1.0,4.0,1.0,0.8
currencyservice,cpu,cart_management,Cart Management,3,3,1.0,4.0,1.0,0.8
currencyservice,cpu,shipping,Shipping,3,3,1.0,4.0,1.0,0.8
currencyservice,cpu,order_confirmation,Order Confirmation,3,0,0.0,1.0,4.0,0.2
currencyservice,cpu,product_browsing,Product Browsing,3,3,1.0,4.0,1.0,0.8
currencyservice,cpu,product_recommendations,Product Recommendations,3,3,1.0,4.0,1.0,0.8
currencyservice,cpu,advertisement_retrieval,Advertisement Retrieval,3,3,1.0,4.0,1.0,0.8
currencyservice,delay,order_placement,Order Placement,3,3,1.0,4.0,1.0,0.8
currencyservice,delay,payment_processing,Payment Processing,3,0,0.0,1.0,4.0,0.2
currencyservice,delay,currency_conversion,Currency Conversion,3,3,1.0,4.0,1.0,0.8
currencyservice,delay,cart_management,Cart Management,3,3,1.0,4.0,1.0,0.8
currencyservice,delay,shipping,Shipping,3,3,1.0,4.0,1.0,0.8
currencyservice,delay,order_confirmation,Order Confirmation,3,0,0.0,1.0,4.0,0.2
currencyservice,delay,product_browsing,Product Browsing,3,3,1.0,4.0,1.0,0.8
currencyservice,delay,product_recommendations,Product Recommendations,3,3,1.0,4.0,1.0,0.8
currencyservice,delay,advertisement_retrieval,Advertisement Retrieval,3,3,1.0,4.0,1.0,0.8
currencyservice,disk,order_placement,Order Placement,3,3,1.0,4.0,1.0,0.8
currencyservice,disk,payment_processing,Payment Processing,3,0,0.0,1.0,4.0,0.2
currencyservice,disk,currency_conversion,Currency Conversion,3,3,1.0,4.0,1.0,0.8
currencyservice,disk,cart_management,Cart Management,3,3,1.0,4.0,1.0,0.8
currencyservice,disk,shipping,Shipping,3,3,1.0,4.0,1.0,0.8
currencyservice,disk,order_confirmation,Order Confirmation,3,0,0.0,1.0,4.0,0.2
currencyservice,disk,product_browsing,Product Browsing,3,3,1.0,4.0,1.0,0.8
currencyservice,disk,product_recommendations,Product Recommendations,3,3,1.0,4.0,1.0,0.8
currencyservice,disk,advertisement_retrieval,Advertisement Retrieval,3,3,1.0,4.0,1.0,0.8
currencyservice,loss,order_placement,Order Placement,3,3,1.0,4.0,1.0,0.8
currencyservice,loss,payment_processing,Payment Processing,3,0,0.0,1.0,4.0,0.2
currencyservice,loss,currency_conversion,Currency Conversion,3,3,1.0,4.0,1.0,0.8
currencyservice,loss,cart_management,Cart Management,3,3,1.0,4.0,1.0,0.8
currencyservice,loss,shipping,Shipping,3,3,1.0,4.0,1.0,0.8
currencyservice,loss,order_confirmation,Order Confirmation,3,0,0.0,1.0,4.0,0.2
