case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2ob_checkoutservice_loss_2,loss,checkoutservice,frontend::AddItem+GetProduct,Add To Cart,AddItem+GetProduct,1032,1014,8125.5,16217.39999999995,76487.78999999988,8178.0,12928.4,45472.350000000006,0.7971931382342446,1.4333333333333333,1.408337245381237,0.01065891472868217,0.0029585798816568047,-0.007700334847025366,0.0,0.0,0.0,0.847725718234428,0.02042241946088108,0.02042241946088108,False,False,1.0,False
re2ob_checkoutservice_loss_2,loss,checkoutservice,frontend::Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Product Detail View,Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,4336,4355,43613.0,123715.0,551358.7499999953,43754.0,121584.10000000002,600650.0000000006,0.9827757345511864,6.022222222222222,6.048627912855313,0.01014760147601476,0.011251435132032146,0.0011038336560173865,0.0,0.0,0.0,1.0,0.004715229557576972,0.004715229557576972,False,False,1.0,False
re2ob_checkoutservice_loss_2,loss,checkoutservice,frontend::Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,Home Page View,Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,1011,963,139522.0,319698.0,785048.5999999993,135802.0,308160.2,641680.8799999999,0.9639103153601212,1.4041666666666666,1.337503715288098,0.010880316518298714,0.006230529595015576,-0.004649786923283138,0.0,0.0,0.0,0.7673822119985354,-0.022653203135191036,0.0,False,False,1.0,False
re2ob_checkoutservice_loss_2,loss,checkoutservice,frontend::Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,Cart View,Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,2038,2010,83720.0,255618.79999999984,429228.169999998,80674.0,244680.94999999998,468059.07000000164,0.9572103069101339,2.8305555555555557,2.7916744213178366,0.010304219823356232,0.012437810945273632,0.0021335911219174004,0.0,0.0,0.0,0.2395712174785961,-0.02823810291037454,0.0,False,False,1.0,False
re2ob_checkoutservice_loss_2,loss,checkoutservice,frontend::Convert+GetCart+GetSupportedCurrencies+ListProducts,frontend::Convert+GetCart+GetSupportedCurrencies+ListProducts,Convert+GetCart+GetSupportedCurrencies+ListProducts,0,1,,,,114930.0,114930.0,114930.0,,0.0,0.001388892746924297,,,,,0.0,,,,0.0,True,False,,False
re2ob_checkoutservice_loss_2,loss,checkoutservice,frontend::GetCart+GetProduct+GetSupportedCurrencies,frontend::GetCart+GetProduct+GetSupportedCurrencies,GetCart+GetProduct+GetSupportedCurrencies,0,1,,,,45432.0,45432.0,45432.0,,0.0,0.001388892746924297,,,,,0.0,,,,0.0,True,False,,False
re2ob_checkoutservice_loss_2,loss,checkoutservice,frontend::GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,Place Order,GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,318,335,144228.5,283778.0499999999,994941.2899999983,1438380.0,5182136.8,9697193.76,18.261231973367927,0.44166666666666665,0.4652790702196395,0.012578616352201259,0.7283582089552239,0.7157795926030226,0.0,0.0,0.0,7.472521343648237e-101,0.9659063174692575,0.9659063174692575,False,False,5.230764940553766e-100,True
re2ob_checkoutservice_loss_2,loss,checkoutservice,frontend::PlaceOrder,frontend::PlaceOrder,PlaceOrder,0,1,,,,1675283.0,1675283.0,1675283.0,,0.0,0.001388892746924297,,,,,0.0,,,,0.0,True,False,,False
re2ob_checkoutservice_loss_2,loss,checkoutservice,frontend::empty,frontend::empty,,791,778,353.0,1142.0,2300.000000000001,348.0,1170.6999999999996,3080.2300000000073,1.025131348511383,1.0986111111111112,1.080558557107103,0.010113780025284451,0.016709511568123392,0.006595731542838941,0.0,0.0,0.0,1.0,-0.014364687568045431,0.0,False,False,1.0,False
re2ob_checkoutservice_loss_2,loss,checkoutservice,orphaned::hipstershop.CurrencyService/Convert,hipstershop.CurrencyService/Convert (orphaned root),Convert,1144,1192,5448.5,71982.7,80233.32999999993,10925.0,558712.6500000051,1482742.3999999997,7.761762895806981,1.5888888888888888,1.655560154333762,0.01048951048951049,0.3011744966442953,0.29068498615478483,0.0,0.0,0.0,8.93831173236974e-50,0.3556401652039236,0.3556401652039236,False,False,5.3629870394218444e-49,True
