case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2ob_currencyservice_cpu_2,cpu,currencyservice,frontend::AddItem+GetProduct,Add To Cart,AddItem+GetProduct,1012,992,8164.5,14029.249999999958,57715.52999999999,8165.5,13920.09999999998,60991.02000000004,0.9922198264340589,1.4055965521216591,1.3777777777777778,0.010869565217391304,0.015120967741935484,0.00425140252454418,0.0,0.0,0.0,1.0,-0.01040139296187681,0.0,False,False,1.0,False
re2ob_currencyservice_cpu_2,cpu,currencyservice,frontend::Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Product Detail View,Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,4304,4197,44464.5,115948.79999999999,181962.39000000033,124202.0,254170.39999999976,693467.3999999998,2.1920916818457785,5.97795213471504,5.829166666666667,0.010223048327137546,0.23135573028353587,0.22113268195639832,0.0,0.0,0.0,0.0,0.7629521396501129,0.7629521396501129,False,False,0.0,True
re2ob_currencyservice_cpu_2,cpu,currencyservice,frontend::Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,Home Page View,Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,1036,953,141780.5,300073.75,406948.65000000066,435202.0,808355.2,1272088.4400000002,2.693855093956069,1.438930857705572,1.323611111111111,0.010617760617760617,0.5624344176285414,0.5518166570107808,0.0,0.0,0.0,3.927433491500042e-294,0.9505767197267723,0.9505767197267723,False,False,1.963716745750021e-293,True
re2ob_currencyservice_cpu_2,cpu,currencyservice,frontend::Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,Cart View,Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,2028,2012,87609.0,246720.39999999997,335533.63000000006,252428.5,561257.7,934275.2399999995,2.274873500529344,2.816748821840637,2.7944444444444443,0.010355029585798817,0.27186878727634195,0.26151375769054314,0.0,0.0,0.0,0.0,0.7922957815238745,0.7922957815238745,False,False,0.0,True
re2ob_currencyservice_cpu_2,cpu,currencyservice,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies,Convert+GetCart+GetProduct+GetSupportedCurrencies,0,1,,,,129276.0,129276.0,129276.0,,0.0,0.001388888888888889,,,,,0.0,,,,0.0,True,False,,False
re2ob_currencyservice_cpu_2,cpu,currencyservice,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,0,1,,,,80252.0,80252.0,80252.0,,0.0,0.001388888888888889,,,,,0.0,,,,0.0,True,False,,False
re2ob_currencyservice_cpu_2,cpu,currencyservice,frontend::Convert+GetCart+GetSupportedCurrencies+ListProducts,frontend::Convert+GetCart+GetSupportedCurrencies+ListProducts,Convert+GetCart+GetSupportedCurrencies+ListProducts,0,1,,,,314136.0,314136.0,314136.0,,0.0,0.001388888888888889,,,,,0.0,,,,0.0,True,False,,False
re2ob_currencyservice_cpu_2,cpu,currencyservice,frontend::GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,Place Order,GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,314,318,145195.5,277752.49999999994,298977.75,287522.5,586049.2,1276831.8399999987,2.1099691271905745,0.4361238313895266,0.44166666666666665,0.012738853503184714,0.29245283018867924,0.2797139766854945,0.0,0.0,0.0,1.7389083564597226e-70,0.817720225934383,0.817720225934383,False,False,5.216725069379168e-70,True
re2ob_currencyservice_cpu_2,cpu,currencyservice,frontend::empty,frontend::empty,,851,811,355.0,1202.0,2011.5,373.0,1150.5,1889.699999999999,0.9571547420965059,1.1819789188295768,1.1263888888888889,0.010575793184488837,0.008631319358816275,-0.001944473825672562,0.0,0.0,0.0,0.148271191842247,0.05061137908401081,0.05061137908401081,False,False,0.296542383684494,False
re2ob_currencyservice_cpu_2,cpu,currencyservice,orphaned::hipstershop.CurrencyService/Convert,hipstershop.CurrencyService/Convert (orphaned root),Convert,1125,1115,5313.0,72292.0,80092.6,73200.0,94114.2,101529.37999999999,1.3018618934321917,1.5625455742459153,1.5486111111111112,0.010666666666666666,0.3721973094170404,0.3615306427503737,0.0,0.0,0.0,5.145512570212896e-108,0.5395380169407076,0.5395380169407076,False,False,2.0582050280851584e-107,True
