case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2ob_currencyservice_disk_2,disk,currencyservice,frontend::AddItem+GetProduct,Add To Cart,AddItem+GetProduct,1028,944,8160.5,13001.649999999998,54459.36000000002,8263.5,17709.84999999997,793359.6499999999,1.3621232689697056,1.4277777777777778,1.3111111111111111,0.010700389105058366,0.02754237288135593,0.016841983776297566,0.0,0.0,0.0,0.04724320805645126,0.05891912055661819,0.05891912055661819,False,False,0.09448641611290252,False
re2ob_currencyservice_disk_2,disk,currencyservice,frontend::Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Product Detail View,Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,4391,4205,44581.0,118146.5,289639.50000000076,166652.0,396863.6,905176.4800000014,3.3590804636616403,6.098611111111111,5.840277777777778,0.01002049647005238,0.1079667063020214,0.09794620983196903,0.0,0.0,0.0,0.0,0.8085542501132601,0.8085542501132601,False,False,0.0,True
re2ob_currencyservice_disk_2,disk,currencyservice,frontend::Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,Home Page View,Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,964,955,137251.5,320180.59999999986,770775.2400000001,636111.0,1352780.3999999997,1786669.24,4.225054235016113,1.3388888888888888,1.3263888888888888,0.01037344398340249,0.3633507853403141,0.3529773413569116,0.0,0.0,0.0,6.168180848782977e-265,0.9173698159935695,0.9173698159935695,False,False,3.084090424391489e-264,True
re2ob_currencyservice_disk_2,disk,currencyservice,frontend::Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,Cart View,Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,2026,1896,81864.5,235491.25,391579.25,261837.5,752243.75,1124995.5499999989,3.1943596630448052,2.813888888888889,2.6333333333333333,0.010365251727541954,0.26635021097046413,0.2559849592429222,0.0,0.0,0.0,0.0,0.8017820027407416,0.8017820027407416,False,False,0.0,True
re2ob_currencyservice_disk_2,disk,currencyservice,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies,Convert+GetCart+GetProduct+GetSupportedCurrencies,0,1,,,,179642.0,179642.0,179642.0,,0.0,0.001388888888888889,,,,,0.0,,,,0.0,True,False,,False
re2ob_currencyservice_disk_2,disk,currencyservice,frontend::GetCart+GetProduct+GetSupportedCurrencies,frontend::GetCart+GetProduct+GetSupportedCurrencies,GetCart+GetProduct+GetSupportedCurrencies,0,1,,,,226120.0,226120.0,226120.0,,0.0,0.001388888888888889,,,,,0.0,,,,0.0,True,False,,False
re2ob_currencyservice_disk_2,disk,currencyservice,frontend::GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,Place Order,GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,344,317,141054.5,272112.3999999999,346541.37999999954,298406.0,784559.4,1181466.8799999976,2.883218111339286,0.4777777777777778,0.44027777777777777,0.011627906976744186,0.42586750788643535,0.41423960090969114,0.0,0.0,0.0,2.0499800247763143e-77,0.8394651896412588,0.8394651896412588,False,False,6.149940074328943e-77,True
re2ob_currencyservice_disk_2,disk,currencyservice,frontend::PlaceOrder,frontend::PlaceOrder,PlaceOrder,0,1,,,,397893.0,397893.0,397893.0,,0.0,0.001388888888888889,,,,,0.0,,,,0.0,True,False,,False
re2ob_currencyservice_disk_2,disk,currencyservice,frontend::empty,frontend::empty,,793,788,340.0,1043.8,1490.4800000000043,359.0,1459.8999999999999,3239.0799999999995,1.3986395861276106,1.101388888888889,1.0944444444444446,0.01008827238335435,0.04568527918781726,0.035597006804462906,0.0,0.0,0.0,0.369075713359841,0.03854795450035531,0.03854795450035531,False,False,0.369075713359841,False
re2ob_currencyservice_disk_2,disk,currencyservice,orphaned::hipstershop.CurrencyService/Convert,hipstershop.CurrencyService/Convert (orphaned root),Convert,1178,1083,5284.5,71331.59999999998,77794.29,82744.0,169639.99999999997,195160.12,2.3781886288825715,1.636111111111111,1.5041666666666667,0.010186757215619695,0.5817174515235457,0.571530694307926,0.0,0.0,0.0,1.559661794775364e-190,0.7163478797968919,0.7163478797968919,False,False,6.238647179101456e-190,True
