case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2ob_currencyservice_mem_3,mem,currencyservice,frontend::AddItem+GetProduct,Add To Cart,AddItem+GetProduct,1020,876,8252.5,15494.799999999977,591565.7599999662,8761.5,54962.0,613836.25,3.547125487260247,1.4166666666666667,1.216756233444962,0.010784313725490196,0.012557077625570776,0.0017727639000805796,0.0,0.0,0.0,1.701695966933237e-13,0.1985137433969022,0.1985137433969022,False,False,3.403391933866474e-13,True
re2ob_currencyservice_mem_3,mem,currencyservice,frontend::Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Product Detail View,Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,4415,3885,44634.0,120795.90000000004,425739.7599999939,383073.0,1089931.0,1283362.759999999,9.022913857175613,6.131944444444445,5.396230555860362,0.010192525481313703,0.4702702702702703,0.4600777447889566,0.0,0.0,0.0,0.0,0.9550693421135097,0.9550693421135097,False,False,0.0,True
re2ob_currencyservice_mem_3,mem,currencyservice,frontend::Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,Home Page View,Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,993,917,136007.0,309696.99999999994,495006.24000000226,1398989.0,2637964.5999999996,3205450.960000001,8.517888775157655,1.3791666666666667,1.2737048699418152,0.010070493454179255,0.9443838604143948,0.9343133669602156,0.0,0.0,0.0,8.765154994458885e-304,0.985855184766649,0.985855184766649,False,False,4.3825774972294426e-303,True
re2ob_currencyservice_mem_3,mem,currencyservice,frontend::Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,Cart View,Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,2025,1783,83450.0,249207.19999999992,399560.83999999997,484718.0,1561608.5999999999,1998392.7800000003,6.2663061099358295,2.8125,2.476571192046081,0.01037037037037037,0.5659001682557487,0.5555297978853784,0.0,0.0,0.0,0.0,0.9271758653400082,0.9271758653400082,False,False,0.0,True
re2ob_currencyservice_mem_3,mem,currencyservice,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies,Convert+GetCart+GetProduct+GetSupportedCurrencies,0,1,,,,1138180.0,1138180.0,1138180.0,,0.0,0.0013889911340695912,,,,,0.0,,,,0.0,True,False,,False
re2ob_currencyservice_mem_3,mem,currencyservice,frontend::GetProduct+GetSupportedCurrencies,frontend::GetProduct+GetSupportedCurrencies,GetProduct+GetSupportedCurrencies,0,3,,,,426194.0,752399.0,781395.0,,0.0,0.004166973402208773,,,,,0.0,,,,0.0,True,False,,False
re2ob_currencyservice_mem_3,mem,currencyservice,frontend::GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,Place Order,GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,357,288,139469.0,279322.0,428276.5199999998,402178.0,1685961.0999999999,2507277.3099999996,6.03590515605645,0.49583333333333335,0.40002944661204226,0.011204481792717087,0.4930555555555556,0.4818510737628385,0.0,0.0,0.0,3.4315392516675805e-89,0.9179505135387489,0.9179505135387489,False,False,1.0294617755002742e-88,True
re2ob_currencyservice_mem_3,mem,currencyservice,frontend::GetSupportedCurrencies,frontend::GetSupportedCurrencies,GetSupportedCurrencies,0,3,,,,1732753.0,1771318.9,1774746.98,,0.0,0.004166973402208773,,,,,0.0,,,,0.0,True,False,,False
re2ob_currencyservice_mem_3,mem,currencyservice,frontend::empty,frontend::empty,,784,772,346.0,1130.3999999999996,1804.3799999999994,378.0,1374.2499999999982,3102.1799999999985,1.2157200990799706,1.0888888888888888,1.0723011555017243,0.01020408163265306,0.027202072538860103,0.016997990906207044,0.0,0.0,0.0,0.07224854356856074,0.061364928095590576,0.061364928095590576,False,False,0.07224854356856074,False
re2ob_currencyservice_mem_3,mem,currencyservice,orphaned::hipstershop.CurrencyService/Convert,hipstershop.CurrencyService/Convert (orphaned root),Convert,1190,1001,5266.5,72931.74999999999,80164.86999999995,85945.0,891573.0,992705.0,12.224758078614597,1.6527777777777777,1.3903801252036607,0.010084033613445379,0.6313686313686314,0.6212845977551861,0.0,0.0,0.0,6.500954979967999e-211,0.768173842963759,0.768173842963759,False,False,2.6003819919871997e-210,True
