case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2ob_productcatalogservice_loss_3,loss,productcatalogservice,frontend::AddItem+GetProduct,Add To Cart,AddItem+GetProduct,1048,655,8679.5,13692.599999999999,47161.469999999994,29023.0,919505.6999999951,1533712.6600000001,67.15347706060173,1.4555575771633016,0.910060967137768,0.01049618320610687,0.4488549618320611,0.43835877862595424,0.0,0.0,0.0,9.714332788771097e-204,0.8767641745819008,0.8767641745819008,False,False,4.857166394385548e-203,True
re2ob_productcatalogservice_loss_3,loss,productcatalogservice,frontend::Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Product Detail View,Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,4340,2732,47946.5,128955.50000000003,350315.3099999951,1526540.5,14501889.199999994,22660432.480000004,112.45653888356829,6.027786149702986,3.7958573469013466,0.010138248847926268,0.91800878477306,0.9078705359251338,0.0,0.0,0.0,0.0,0.9860893422215624,0.9860893422215624,False,False,0.0,True
re2ob_productcatalogservice_loss_3,loss,productcatalogservice,frontend::Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,Home Page View,Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,1067,628,158943.0,331335.29999999993,498752.5799999996,457651.0,7266408.5,14547276.510000011,21.93068019012765,1.481946502703476,0.8725470036068982,0.010309278350515464,0.4681528662420382,0.45784358789152274,0.0,0.0,0.0,1.7357544262712943e-124,0.6901381335848471,0.6901381335848471,False,False,6.943017705085177e-124,True
re2ob_productcatalogservice_loss_3,loss,productcatalogservice,frontend::Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,Cart View,Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,2066,1276,90428.0,245745.0,351181.55,1176745.5,8201593.0,17697993.0,33.374404362245414,2.8694484297894856,1.772882128347774,0.01016456921587609,0.890282131661442,0.8801175624455659,0.0,0.001567398119122257,0.001567398119122257,0.0,0.9551451777851283,0.9567125759042505,False,False,0.0,True
re2ob_productcatalogservice_loss_3,loss,productcatalogservice,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,0,9,,,,2197279.0,2618165.0,2619694.6,,0.0,0.012504654510289941,,,,,0.0,,,,0.0,True,False,,False
re2ob_productcatalogservice_loss_3,loss,productcatalogservice,frontend::Convert+GetCart+GetQuote+GetSupportedCurrencies+ListRecommendations,frontend::Convert+GetCart+GetQuote+GetSupportedCurrencies+ListRecommendations,Convert+GetCart+GetQuote+GetSupportedCurrencies+ListRecommendations,0,9,,,,11224866.0,17290264.4,17639350.48,,0.0,0.012504654510289941,,,,,0.3333333333333333,,,,0.0,True,False,,False
re2ob_productcatalogservice_loss_3,loss,productcatalogservice,frontend::GetCart+GetSupportedCurrencies+ListRecommendations,frontend::GetCart+GetSupportedCurrencies+ListRecommendations,GetCart+GetSupportedCurrencies+ListRecommendations,0,1,,,,1305655.0,1305655.0,1305655.0,,0.0,0.0013894060566988825,,,,,0.0,,,,0.0,True,False,,False
re2ob_productcatalogservice_loss_3,loss,productcatalogservice,frontend::GetProduct,frontend::GetProduct,GetProduct,0,43,,,,1649.0,5560.5999999999985,761027.0399999978,,0.0,0.05974446043805194,,,,,0.0,,,,0.0,True,False,,False
re2ob_productcatalogservice_loss_3,loss,productcatalogservice,frontend::GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,Place Order,GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,339,216,148838.0,296059.6,385862.62,1171044.0,6475490.5,8463091.599999994,21.872253086878455,0.47083398726942677,0.3001117082469586,0.011799410029498525,0.9027777777777778,0.8909783677482792,0.0,0.0,0.0,3.3624444651198455e-82,0.9680159510542992,0.9680159510542992,False,False,1.0087333395359536e-81,True
re2ob_productcatalogservice_loss_3,loss,productcatalogservice,frontend::GetSupportedCurrencies+ListProducts,frontend::GetSupportedCurrencies+ListProducts,GetSupportedCurrencies+ListProducts,0,13,,,,7328.0,1324345.1999999988,1717224.2399999993,,0.0,0.01806227873708547,,,,,0.0,,,,0.0,True,False,,False
re2ob_productcatalogservice_loss_3,loss,productcatalogservice,frontend::GetSupportedCurrencies+ListRecommendations+PlaceOrder,frontend::GetSupportedCurrencies+ListRecommendations+PlaceOrder,GetSupportedCurrencies+ListRecommendations+PlaceOrder,0,4,,,,270389.5,330233.64999999997,338034.73,,0.0,0.00555762422679553,,,,,0.0,,,,0.0,True,False,,False
re2ob_productcatalogservice_loss_3,loss,productcatalogservice,frontend::PlaceOrder,frontend::PlaceOrder,PlaceOrder,0,4,,,,12804.0,69779.24999999997,77486.24999999999,,0.0,0.00555762422679553,,,,,0.0,,,,0.0,True,False,,False
re2ob_productcatalogservice_loss_3,loss,productcatalogservice,frontend::empty,frontend::empty,,867,571,347.0,1190.9999999999993,2293.4000000000005,353.0,1136.0,2573.0999999999967,0.9538203190596143,1.2041683391226932,0.7933508583750618,0.010380622837370242,0.017513134851138354,0.007132512013768112,0.0,0.0,0.0,1.0,0.020866284084458897,0.020866284084458897,False,False,1.0,False
re2ob_productcatalogservice_loss_3,loss,productcatalogservice,orphaned::hipstershop.CurrencyService/Convert,hipstershop.CurrencyService/Convert (orphaned root),Convert,1192,752,5298.0,73811.3,80178.47999999998,6147.0,74557.54999999997,86252.98000000001,1.01011024057292,1.6555578549414651,1.0448333546375597,0.010067114093959731,0.023936170212765957,0.013869056118806226,0.0,0.0,0.0,0.0023767958318657483,0.08718138654862195,0.08718138654862195,False,False,0.004753591663731497,False
