case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2ob_recommendationservice_loss_3,loss,recommendationservice,frontend::AddItem+GetProduct,Add To Cart,AddItem+GetProduct,1013,889,6766.0,9547.0,12800.16,7344.0,43325.79999999885,91244.32,4.538158583848209,1.4069991610784864,1.2347325116598193,0.01085883514313919,0.12373453318335208,0.11287569804021289,0.0,0.0,0.0,4.8604957965318335e-30,0.303809753297126,0.303809753297126,False,False,1.9441983186127334e-29,True
re2ob_recommendationservice_loss_3,loss,recommendationservice,frontend::Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Product Detail View,Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,4434,3744,35092.5,99530.69999999998,445067.2400000009,249827.0,3306985.049999999,44302283.69000007,33.2257790812282,6.158572833387965,5.200043333694447,0.010148849797023005,0.36164529914529914,0.3514964493482761,0.0,0.0,0.0,0.0,0.5777164678340254,0.5777164678340254,False,False,0.0,True
re2ob_recommendationservice_loss_3,loss,recommendationservice,frontend::Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,Home Page View,Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,972,857,93007.0,226864.5999999996,669482.4199999997,87079.0,217463.99999999988,408397.9199999993,0.9585629490012998,1.3500525020417462,1.190287696841918,0.0102880658436214,0.002333722287047841,-0.007954343556573557,0.0,0.0,0.0,0.41404900721586224,-0.03414629461563212,0.0,False,False,0.41404900721586224,False
re2ob_recommendationservice_loss_3,loss,recommendationservice,frontend::Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,Cart View,Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,2013,1675,51194.0,165820.19999999998,275539.5599999987,252406.0,2919811.9999999995,10820438.419999994,17.60830103931849,2.7959420644136164,2.326408275624519,0.010432190760059613,0.4513432835820895,0.4409110928220299,0.0,0.0,0.0,1.604736668443512e-250,0.6459852748181596,0.6459852748181596,False,False,9.628420010661072e-250,True
re2ob_recommendationservice_loss_3,loss,recommendationservice,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,0,3,,,,2749912.0,3140836.9,3175585.78,,0.0,0.004166701389178243,,,,,0.0,,,,0.0,True,False,,False
re2ob_recommendationservice_loss_3,loss,recommendationservice,frontend::Convert+GetCart+GetQuote+GetSupportedCurrencies+ListRecommendations,frontend::Convert+GetCart+GetQuote+GetSupportedCurrencies+ListRecommendations,Convert+GetCart+GetQuote+GetSupportedCurrencies+ListRecommendations,0,46,,,,21931.0,245704.0,1209600.9999999977,,0.0,0.06388942130073307,,,,,0.0,,,,0.0,True,False,,False
re2ob_recommendationservice_loss_3,loss,recommendationservice,frontend::Convert+GetCart+GetSupportedCurrencies+ListProducts,frontend::Convert+GetCart+GetSupportedCurrencies+ListProducts,Convert+GetCart+GetSupportedCurrencies+ListProducts,0,1,,,,94875.0,94875.0,94875.0,,0.0,0.0013889004630594144,,,,,0.0,,,,0.0,True,False,,False
re2ob_recommendationservice_loss_3,loss,recommendationservice,frontend::GetCart+GetSupportedCurrencies+ListRecommendations,frontend::GetCart+GetSupportedCurrencies+ListRecommendations,GetCart+GetSupportedCurrencies+ListRecommendations,0,1,,,,2587214.0,2587214.0,2587214.0,,0.0,0.0013889004630594144,,,,,0.0,,,,0.0,True,False,,False
re2ob_recommendationservice_loss_3,loss,recommendationservice,frontend::GetProduct+GetSupportedCurrencies,frontend::GetProduct+GetSupportedCurrencies,GetProduct+GetSupportedCurrencies,0,1,,,,2209296.0,2209296.0,2209296.0,,0.0,0.0013889004630594144,,,,,0.0,,,,0.0,True,False,,False
re2ob_recommendationservice_loss_3,loss,recommendationservice,frontend::GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,Place Order,GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,353,241,105007.0,197752.8,271177.24,293503.0,1590301.0,3018726.799999997,8.041863376902882,0.4902968448773008,0.3347250115973189,0.0113314447592068,0.5477178423236515,0.5363863975644447,0.0,0.0,0.0,8.142664369365436e-50,0.7187591832896454,0.7187591832896454,False,False,4.071332184682718e-49,True
