case,journey_type_id,journey_label,signature_str,n_traces
re2ob_checkoutservice_delay_3,frontend::AddItem+GetProduct,Add To Cart,AddItem+GetProduct,2037
re2ob_checkoutservice_delay_3,frontend::Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Product Detail View,Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,8667
re2ob_checkoutservice_delay_3,frontend::Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,Home Page View,Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,2016
re2ob_checkoutservice_delay_3,frontend::Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,Cart View,Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,4003
re2ob_checkoutservice_delay_3,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,1
re2ob_checkoutservice_delay_3,frontend::GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,Place Order,GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,658
re2ob_checkoutservice_delay_3,frontend::GetSupportedCurrencies,frontend::GetSupportedCurrencies,GetSupportedCurrencies,1
re2ob_checkoutservice_delay_3,frontend::PlaceOrder,frontend::PlaceOrder,PlaceOrder,1
re2ob_checkoutservice_delay_3,frontend::empty,frontend::empty,(empty),1621
re2ob_checkoutservice_delay_3,orphaned::hipstershop.CurrencyService/Convert,hipstershop.CurrencyService/Convert (orphaned root),Convert,2332
