case,journey_type_id,journey_label,signature_str,n_traces
re2ob_currencyservice_loss_3,frontend::AddItem+GetProduct,Add To Cart,AddItem+GetProduct,1750
re2ob_currencyservice_loss_3,frontend::Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Product Detail View,Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,7602
re2ob_currencyservice_loss_3,frontend::Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,Home Page View,Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,1714
re2ob_currencyservice_loss_3,frontend::Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,Cart View,Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,3539
re2ob_currencyservice_loss_3,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies,Convert+GetCart+GetProduct+GetSupportedCurrencies,9
re2ob_currencyservice_loss_3,frontend::Convert+GetCart+GetSupportedCurrencies+ListProducts,frontend::Convert+GetCart+GetSupportedCurrencies+ListProducts,Convert+GetCart+GetSupportedCurrencies+ListProducts,5
re2ob_currencyservice_loss_3,frontend::GetProduct+GetSupportedCurrencies,frontend::GetProduct+GetSupportedCurrencies,GetProduct+GetSupportedCurrencies,6
re2ob_currencyservice_loss_3,frontend::GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,Place Order,GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,575
re2ob_currencyservice_loss_3,frontend::GetSupportedCurrencies,frontend::GetSupportedCurrencies,GetSupportedCurrencies,4
re2ob_currencyservice_loss_3,frontend::PlaceOrder,frontend::PlaceOrder,PlaceOrder,1
re2ob_currencyservice_loss_3,frontend::empty,frontend::empty,(empty),1428
re2ob_currencyservice_loss_3,orphaned::hipstershop.CurrencyService/Convert,hipstershop.CurrencyService/Convert (orphaned root),Convert,2012
