case,journey_type_id,journey_label,signature_str,n_traces
re2ob_emailservice_mem_3,frontend::AddItem,frontend::AddItem,AddItem,40
re2ob_emailservice_mem_3,frontend::AddItem+GetProduct,Add To Cart,AddItem+GetProduct,1862
re2ob_emailservice_mem_3,frontend::Convert,frontend::Convert,Convert,1
re2ob_emailservice_mem_3,frontend::Convert+GetAds+GetCart,frontend::Convert+GetAds+GetCart,Convert+GetAds+GetCart,5
re2ob_emailservice_mem_3,frontend::Convert+GetAds+GetCart+GetProduct,frontend::Convert+GetAds+GetCart+GetProduct,Convert+GetAds+GetCart+GetProduct,21
re2ob_emailservice_mem_3,frontend::Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies,frontend::Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies,Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies,108
re2ob_emailservice_mem_3,frontend::Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Product Detail View,Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,7875
re2ob_emailservice_mem_3,frontend::Convert+GetAds+GetCart+GetProduct+ListRecommendations,frontend::Convert+GetAds+GetCart+GetProduct+ListRecommendations,Convert+GetAds+GetCart+GetProduct+ListRecommendations,88
re2ob_emailservice_mem_3,frontend::Convert+GetAds+GetCart+GetSupportedCurrencies,frontend::Convert+GetAds+GetCart+GetSupportedCurrencies,Convert+GetAds+GetCart+GetSupportedCurrencies,26
re2ob_emailservice_mem_3,frontend::Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,Home Page View,Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,1753
re2ob_emailservice_mem_3,frontend::Convert+GetAds+GetCart+ListProducts,frontend::Convert+GetAds+GetCart+ListProducts,Convert+GetAds+GetCart+ListProducts,31
re2ob_emailservice_mem_3,frontend::Convert+GetAds+GetProduct,frontend::Convert+GetAds+GetProduct,Convert+GetAds+GetProduct,3
re2ob_emailservice_mem_3,frontend::Convert+GetAds+GetProduct+GetSupportedCurrencies,frontend::Convert+GetAds+GetProduct+GetSupportedCurrencies,Convert+GetAds+GetProduct+GetSupportedCurrencies,21
re2ob_emailservice_mem_3,frontend::Convert+GetAds+GetProduct+GetSupportedCurrencies+ListRecommendations,frontend::Convert+GetAds+GetProduct+GetSupportedCurrencies+ListRecommendations,Convert+GetAds+GetProduct+GetSupportedCurrencies+ListRecommendations,82
re2ob_emailservice_mem_3,frontend::Convert+GetAds+GetProduct+ListRecommendations,frontend::Convert+GetAds+GetProduct+ListRecommendations,Convert+GetAds+GetProduct+ListRecommendations,21
re2ob_emailservice_mem_3,frontend::Convert+GetAds+GetSupportedCurrencies,frontend::Convert+GetAds+GetSupportedCurrencies,Convert+GetAds+GetSupportedCurrencies,7
re2ob_emailservice_mem_3,frontend::Convert+GetAds+GetSupportedCurrencies+ListProducts,frontend::Convert+GetAds+GetSupportedCurrencies+ListProducts,Convert+GetAds+GetSupportedCurrencies+ListProducts,30
re2ob_emailservice_mem_3,frontend::Convert+GetAds+ListProducts,frontend::Convert+GetAds+ListProducts,Convert+GetAds+ListProducts,2
re2ob_emailservice_mem_3,frontend::Convert+GetCart+GetProduct,frontend::Convert+GetCart+GetProduct,Convert+GetCart+GetProduct,5
re2ob_emailservice_mem_3,frontend::Convert+GetCart+GetProduct+GetQuote,frontend::Convert+GetCart+GetProduct+GetQuote,Convert+GetCart+GetProduct+GetQuote,6
re2ob_emailservice_mem_3,frontend::Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies,frontend::Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies,Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies,43
re2ob_emailservice_mem_3,frontend::Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,Cart View,Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,3576
re2ob_emailservice_mem_3,frontend::Convert+GetCart+GetProduct+GetQuote+ListRecommendations,frontend::Convert+GetCart+GetProduct+GetQuote+ListRecommendations,Convert+GetCart+GetProduct+GetQuote+ListRecommendations,56
re2ob_emailservice_mem_3,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies,Convert+GetCart+GetProduct+GetSupportedCurrencies,29
re2ob_emailservice_mem_3,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,169
re2ob_emailservice_mem_3,frontend::Convert+GetCart+GetProduct+ListRecommendations,frontend::Convert+GetCart+GetProduct+ListRecommendations,Convert+GetCart+GetProduct+ListRecommendations,37
re2ob_emailservice_mem_3,frontend::Convert+GetCart+GetSupportedCurrencies,frontend::Convert+GetCart+GetSupportedCurrencies,Convert+GetCart+GetSupportedCurrencies,5
re2ob_emailservice_mem_3,frontend::Convert+GetCart+GetSupportedCurrencies+ListProducts,frontend::Convert+GetCart+GetSupportedCurrencies+ListProducts,Convert+GetCart+GetSupportedCurrencies+ListProducts,26
