case,window_seconds,service,pre_spans,post_spans,pre_median,post_median,median_ratio,pre_p95,post_p95,p95_ratio,pre_error_rate,post_error_rate,error_rate_change
re2ob_checkoutservice_delay_1,10,checkoutservice,76,53,3991.5,204600.0,51.25892521608418,54093.25,1855504.0,34.30195079792765,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,10,currencyservice,350,346,142.0,143.0,1.0070422535211268,223.30000000000007,249.0,1.115091804746977,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,10,emailservice,10,7,208.0,60.0,0.28846153846153844,655.9999999999995,459.5,0.7004573170731713,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,10,frontendservice,1301,1329,3712.0,3868.0,1.0420258620689655,55468.0,56073.599999999955,1.0109180067786825,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,10,paymentservice,8,5,174.0,168.0,0.9655172413793104,250.09999999999997,184.0,0.7357057177129149,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,10,productcatalogservice,661,681,12.0,12.0,1.0,21.0,23.0,1.0952380952380953,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,10,recommendationservice,180,182,3548.5,3411.0,0.9612512329153163,4437.099999999998,4254.299999999999,0.9588019201730864,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,30,checkoutservice,188,195,3924.0,204596.0,52.13965341488277,68256.10000000002,2014328.0999999943,29.51132719273433,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,30,currencyservice,1189,1093,141.0,147.0,1.0425531914893618,239.79999999999973,289.59999999999945,1.2076730608840691,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,30,emailservice,26,27,204.5,210.0,1.0268948655256724,464.75,449.4,0.9669714900484131,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,30,frontendservice,4293,4083,3714.0,4074.0,1.0969305331179322,58705.9999999999,64694.99999999993,1.1020168296255926,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,30,paymentservice,20,21,178.5,185.0,1.0364145658263306,531.9000000000003,227.0,0.426771949614589,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,30,productcatalogservice,2121,2060,12.0,13.0,1.0833333333333333,23.0,26.0,1.1304347826086956,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,30,recommendationservice,566,552,3479.5,3489.0,1.0027302773386981,4306.75,4263.199999999999,0.9898879665641143,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,60,checkoutservice,340,395,3969.0,204457.0,51.51347946586042,82397.30000000003,1886567.1999999983,22.895983242169315,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,60,currencyservice,2320,2351,142.5,144.0,1.0105263157894737,248.0,270.0,1.0887096774193548,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,60,emailservice,49,53,203.0,195.0,0.9605911330049262,446.79999999999984,442.4,0.9901521933751122,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,60,frontendservice,8497,8683,3784.0,4033.0,1.0658033826638478,64410.79999999997,69466.99999999997,1.0784992578884287,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,60,paymentservice,37,41,177.0,185.0,1.0451977401129944,609.5999999999977,625.0,1.0252624671916049,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,60,productcatalogservice,4236,4367,12.0,13.0,1.0833333333333333,23.25,25.0,1.075268817204301,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,60,recommendationservice,1132,1164,3491.0,3513.0,1.0063019192208535,4455.35,4501.299999999998,1.0103134433882854,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,120,checkoutservice,778,845,3981.0,204453.0,51.35719668425019,82735.89999999992,1874331.5999999999,22.654393074832107,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,120,currencyservice,4789,4755,141.0,142.0,1.0070921985815602,241.59999999999945,265.0,1.0968543046357642,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,120,emailservice,104,110,204.5,210.0,1.0268948655256724,429.25,408.29999999999995,0.9511939429237041,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,120,frontendservice,17320,17321,3829.0,3967.0,1.0360407417080177,67637.09999999998,68392.0,1.011161034402717,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,120,paymentservice,80,86,183.0,185.5,1.0136612021857923,524.9999999999989,534.75,1.0185714285714307,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,120,productcatalogservice,8618,8680,12.0,13.0,1.0833333333333333,23.0,25.0,1.0869565217391304,0.0,0.0,0.0
re2ob_checkoutservice_delay_1,120,recommendationservice,2288,2300,3491.5,3517.0,1.0073034512387227,4488.750000000002,4464.15,0.9945196324143688,0.0,0.0,0.0
