window,serviceName,spans
-720.0,checkoutservice,84
-720.0,currencyservice,405
-720.0,emailservice,10
-720.0,frontendservice,1561
-720.0,paymentservice,8
-720.0,productcatalogservice,810
-720.0,recommendationservice,214
-710.0,checkoutservice,72
-710.0,currencyservice,384
-710.0,emailservice,9
-710.0,frontendservice,1437
-710.0,paymentservice,7
-710.0,productcatalogservice,732
-710.0,recommendationservice,196
-700.0,checkoutservice,26
-700.0,currencyservice,396
-700.0,emailservice,6
-700.0,frontendservice,1559
-700.0,paymentservice,4
-700.0,productcatalogservice,775
-700.0,recommendationservice,212
-690.0,checkoutservice,70
-690.0,currencyservice,430
-690.0,emailservice,9
-690.0,frontendservice,1408
-690.0,paymentservice,7
-690.0,productcatalogservice,670
-690.0,recommendationservice,176
-680.0,checkoutservice,102
-680.0,currencyservice,348
-680.0,emailservice,11
-680.0,frontendservice,1410
-680.0,paymentservice,9
-680.0,productcatalogservice,765
-680.0,recommendationservice,206
-670.0,checkoutservice,78
-670.0,currencyservice,434
-670.0,emailservice,10
-670.0,frontendservice,1682
-670.0,paymentservice,8
-670.0,productcatalogservice,857
-670.0,recommendationservice,232
-660.0,checkoutservice,86
-660.0,currencyservice,450
-660.0,emailservice,10
-660.0,frontendservice,1490
-660.0,paymentservice,8
-660.0,productcatalogservice,715
-660.0,recommendationservice,188
-650.0,checkoutservice,46
-650.0,currencyservice,430
-650.0,emailservice,7
-650.0,frontendservice,1455
-650.0,paymentservice,5
-650.0,productcatalogservice,685
-650.0,recommendationservice,180
-640.0,checkoutservice,4
-640.0,currencyservice,363
-640.0,emailservice,4
-640.0,frontendservice,1297
-640.0,paymentservice,2
-640.0,productcatalogservice,614
-640.0,recommendationservice,166
-630.0,checkoutservice,138
-630.0,currencyservice,469
-630.0,emailservice,13
-630.0,frontendservice,1696
-630.0,paymentservice,12
-630.0,productcatalogservice,867
-630.0,recommendationservice,228
-620.0,checkoutservice,34
-620.0,currencyservice,344
-620.0,emailservice,7
-620.0,frontendservice,1378
-620.0,paymentservice,4
-620.0,productcatalogservice,711
-620.0,recommendationservice,192
-610.0,checkoutservice,86
-610.0,currencyservice,350
-610.0,emailservice,11
-610.0,frontendservice,1436
-610.0,paymentservice,9
