service,method,operation,business_capability,mapping_source
checkoutservice,EmptyCart,hipstershop.CartService/EmptyCart,Cart Management,candidate_semantic_mapping
checkoutservice,GetCart,hipstershop.CartService/GetCart,Cart Management,candidate_semantic_mapping
checkoutservice,PlaceOrder,hipstershop.CheckoutService/PlaceOrder,Order Placement,candidate_semantic_mapping
checkoutservice,Convert,hipstershop.CurrencyService/Convert,Currency Conversion,candidate_semantic_mapping
checkoutservice,SendOrderConfirmation,hipstershop.EmailService/SendOrderConfirmation,Order Confirmation,candidate_semantic_mapping
checkoutservice,Charge,hipstershop.PaymentService/Charge,Payment Processing,candidate_semantic_mapping
checkoutservice,GetProduct,hipstershop.ProductCatalogService/GetProduct,Product Browsing,candidate_semantic_mapping
checkoutservice,GetQuote,hipstershop.ShippingService/GetQuote,Shipping,candidate_semantic_mapping
checkoutservice,ShipOrder,hipstershop.ShippingService/ShipOrder,Shipping,candidate_semantic_mapping
currencyservice,Convert,grpc.hipstershop.CurrencyService/Convert,Currency Conversion,candidate_semantic_mapping
currencyservice,GetSupportedCurrencies,grpc.hipstershop.CurrencyService/GetSupportedCurrencies,Currency Conversion,candidate_semantic_mapping
emailservice,SendOrderConfirmation,/hipstershop.EmailService/SendOrderConfirmation,Order Confirmation,candidate_semantic_mapping
frontendservice,GetAds,hipstershop.AdService/GetAds,Advertisement Retrieval,candidate_semantic_mapping
frontendservice,AddItem,hipstershop.CartService/AddItem,Cart Management,candidate_semantic_mapping
frontendservice,GetCart,hipstershop.CartService/GetCart,Cart Management,candidate_semantic_mapping
frontendservice,PlaceOrder,hipstershop.CheckoutService/PlaceOrder,Order Placement,candidate_semantic_mapping
frontendservice,Convert,hipstershop.CurrencyService/Convert,Currency Conversion,candidate_semantic_mapping
frontendservice,GetSupportedCurrencies,hipstershop.CurrencyService/GetSupportedCurrencies,Currency Conversion,candidate_semantic_mapping
frontendservice,GetProduct,hipstershop.ProductCatalogService/GetProduct,Product Browsing,candidate_semantic_mapping
frontendservice,ListProducts,hipstershop.ProductCatalogService/ListProducts,Product Browsing,candidate_semantic_mapping
frontendservice,ListRecommendations,hipstershop.RecommendationService/ListRecommendations,Product Recommendations,candidate_semantic_mapping
frontendservice,GetQuote,hipstershop.ShippingService/GetQuote,Shipping,candidate_semantic_mapping
paymentservice,Charge,grpc.hipstershop.PaymentService/Charge,Payment Processing,candidate_semantic_mapping
productcatalogservice,GetProduct,hipstershop.ProductCatalogService/GetProduct,Product Browsing,candidate_semantic_mapping
productcatalogservice,ListProducts,hipstershop.ProductCatalogService/ListProducts,Product Browsing,candidate_semantic_mapping
recommendationservice,ListProducts,/hipstershop.ProductCatalogService/ListProducts,Product Browsing,candidate_semantic_mapping
recommendationservice,ListRecommendations,/hipstershop.RecommendationService/ListRecommendations,Product Recommendations,candidate_semantic_mapping
