fault_type,business_capability,incidents,impaired_incidents,mean_impact,max_impact,empirical_impact_probability
cpu,Advertisement Retrieval,3,1,3.911875431387728,11.735626294163184,0.3333333333333333
cpu,Cart Management,3,3,8.466613678215088,11.735626294163184,1.0
cpu,Currency Conversion,3,3,8.466613678215088,11.735626294163184,1.0
cpu,Order Confirmation,3,3,7.58815236415721,9.336372091702344,1.0
cpu,Order Placement,3,3,8.466613678215088,11.735626294163184,1.0
cpu,Payment Processing,3,3,7.58815236415721,9.336372091702344,1.0
cpu,Product Browsing,3,3,8.466613678215088,11.735626294163184,1.0
cpu,Product Recommendations,3,2,4.918878302115079,11.735626294163184,0.6666666666666666
cpu,Shipping,3,3,8.466613678215088,11.735626294163184,1.0
delay,Advertisement Retrieval,3,0,0.0,0.0,0.0
delay,Cart Management,3,3,2759.8693598577975,2760.986628564822,1.0
delay,Currency Conversion,3,3,2759.8693598577975,2760.986628564822,1.0
delay,Order Confirmation,3,3,2759.8693598577975,2760.986628564822,1.0
delay,Order Placement,3,3,2759.8693598577975,2760.986628564822,1.0
delay,Payment Processing,3,3,2759.8693598577975,2760.986628564822,1.0
delay,Product Browsing,3,3,2759.8693598577975,2760.986628564822,1.0
delay,Product Recommendations,3,0,0.0,0.0,0.0
delay,Shipping,3,3,2759.8693598577975,2760.986628564822,1.0
