case,service,fault_type,capability_id,capability,magnitude,value_per_min,weighted_magnitude
re2ob_checkoutservice_cpu_1,checkoutservice,cpu,order_placement,Order Placement,0.0,100.0,0.0
re2ob_checkoutservice_cpu_1,checkoutservice,cpu,payment_processing,Payment Processing,0.0,100.0,0.0
re2ob_checkoutservice_cpu_1,checkoutservice,cpu,currency_conversion,Currency Conversion,0.0,60.0,0.0
re2ob_checkoutservice_cpu_1,checkoutservice,cpu,cart_management,Cart Management,0.0,50.0,0.0
re2ob_checkoutservice_cpu_1,checkoutservice,cpu,shipping,Shipping,0.0,40.0,0.0
re2ob_checkoutservice_cpu_1,checkoutservice,cpu,order_confirmation,Order Confirmation,0.0,25.0,0.0
re2ob_checkoutservice_cpu_1,checkoutservice,cpu,product_browsing,Product Browsing,0.0,20.0,0.0
re2ob_checkoutservice_cpu_1,checkoutservice,cpu,product_recommendations,Product Recommendations,0.0,10.0,0.0
re2ob_checkoutservice_cpu_1,checkoutservice,cpu,advertisement_retrieval,Advertisement Retrieval,0.0,5.0,0.0
re2ob_checkoutservice_cpu_2,checkoutservice,cpu,order_placement,Order Placement,0.0,100.0,0.0
re2ob_checkoutservice_cpu_2,checkoutservice,cpu,payment_processing,Payment Processing,0.0,100.0,0.0
re2ob_checkoutservice_cpu_2,checkoutservice,cpu,currency_conversion,Currency Conversion,0.0,60.0,0.0
re2ob_checkoutservice_cpu_2,checkoutservice,cpu,cart_management,Cart Management,0.0,50.0,0.0
re2ob_checkoutservice_cpu_2,checkoutservice,cpu,shipping,Shipping,0.0,40.0,0.0
re2ob_checkoutservice_cpu_2,checkoutservice,cpu,order_confirmation,Order Confirmation,0.0,25.0,0.0
re2ob_checkoutservice_cpu_2,checkoutservice,cpu,product_browsing,Product Browsing,0.0,20.0,0.0
re2ob_checkoutservice_cpu_2,checkoutservice,cpu,product_recommendations,Product Recommendations,0.0,10.0,0.0
re2ob_checkoutservice_cpu_2,checkoutservice,cpu,advertisement_retrieval,Advertisement Retrieval,0.0,5.0,0.0
re2ob_checkoutservice_cpu_3,checkoutservice,cpu,order_placement,Order Placement,0.8905325147475638,100.0,89.05325147475638
re2ob_checkoutservice_cpu_3,checkoutservice,cpu,payment_processing,Payment Processing,0.0,100.0,0.0
re2ob_checkoutservice_cpu_3,checkoutservice,cpu,currency_conversion,Currency Conversion,0.8905325147475638,60.0,53.431950884853826
re2ob_checkoutservice_cpu_3,checkoutservice,cpu,cart_management,Cart Management,0.1520836403645709,50.0,7.604182018228545
re2ob_checkoutservice_cpu_3,checkoutservice,cpu,shipping,Shipping,0.0,40.0,0.0
re2ob_checkoutservice_cpu_3,checkoutservice,cpu,order_confirmation,Order Confirmation,0.0,25.0,0.0
re2ob_checkoutservice_cpu_3,checkoutservice,cpu,product_browsing,Product Browsing,0.8905325147475638,20.0,17.810650294951277
re2ob_checkoutservice_cpu_3,checkoutservice,cpu,product_recommendations,Product Recommendations,0.8905325147475638,10.0,8.905325147475638
re2ob_checkoutservice_cpu_3,checkoutservice,cpu,advertisement_retrieval,Advertisement Retrieval,0.1520836403645709,5.0,0.7604182018228545
re2ob_checkoutservice_delay_1,checkoutservice,delay,order_placement,Order Placement,1.0,100.0,100.0
re2ob_checkoutservice_delay_1,checkoutservice,delay,payment_processing,Payment Processing,0.0,100.0,0.0
re2ob_checkoutservice_delay_1,checkoutservice,delay,currency_conversion,Currency Conversion,1.0,60.0,60.0
re2ob_checkoutservice_delay_1,checkoutservice,delay,cart_management,Cart Management,0.0,50.0,0.0
re2ob_checkoutservice_delay_1,checkoutservice,delay,shipping,Shipping,0.0,40.0,0.0
re2ob_checkoutservice_delay_1,checkoutservice,delay,order_confirmation,Order Confirmation,0.0,25.0,0.0
re2ob_checkoutservice_delay_1,checkoutservice,delay,product_browsing,Product Browsing,1.0,20.0,20.0
re2ob_checkoutservice_delay_1,checkoutservice,delay,product_recommendations,Product Recommendations,1.0,10.0,10.0
re2ob_checkoutservice_delay_1,checkoutservice,delay,advertisement_retrieval,Advertisement Retrieval,0.0,5.0,0.0
re2ob_checkoutservice_delay_2,checkoutservice,delay,order_placement,Order Placement,1.0,100.0,100.0
re2ob_checkoutservice_delay_2,checkoutservice,delay,payment_processing,Payment Processing,0.0,100.0,0.0
re2ob_checkoutservice_delay_2,checkoutservice,delay,currency_conversion,Currency Conversion,1.0,60.0,60.0
re2ob_checkoutservice_delay_2,checkoutservice,delay,cart_management,Cart Management,0.0,50.0,0.0
re2ob_checkoutservice_delay_2,checkoutservice,delay,shipping,Shipping,0.0,40.0,0.0
re2ob_checkoutservice_delay_2,checkoutservice,delay,order_confirmation,Order Confirmation,0.0,25.0,0.0
re2ob_checkoutservice_delay_2,checkoutservice,delay,product_browsing,Product Browsing,1.0,20.0,20.0
re2ob_checkoutservice_delay_2,checkoutservice,delay,product_recommendations,Product Recommendations,1.0,10.0,10.0
re2ob_checkoutservice_delay_2,checkoutservice,delay,advertisement_retrieval,Advertisement Retrieval,0.0,5.0,0.0
re2ob_checkoutservice_delay_3,checkoutservice,delay,order_placement,Order Placement,0.9961290920035192,100.0,99.61290920035192
re2ob_checkoutservice_delay_3,checkoutservice,delay,payment_processing,Payment Processing,0.0,100.0,0.0
re2ob_checkoutservice_delay_3,checkoutservice,delay,currency_conversion,Currency Conversion,0.9986299553630618,60.0,59.91779732178371
re2ob_checkoutservice_delay_3,checkoutservice,delay,cart_management,Cart Management,0.0,50.0,0.0
re2ob_checkoutservice_delay_3,checkoutservice,delay,shipping,Shipping,0.0,40.0,0.0
re2ob_checkoutservice_delay_3,checkoutservice,delay,order_confirmation,Order Confirmation,0.0,25.0,0.0
re2ob_checkoutservice_delay_3,checkoutservice,delay,product_browsing,Product Browsing,0.9961290920035192,20.0,19.922581840070382
re2ob_checkoutservice_delay_3,checkoutservice,delay,product_recommendations,Product Recommendations,0.9961290920035192,10.0,9.961290920035191
re2ob_checkoutservice_delay_3,checkoutservice,delay,advertisement_retrieval,Advertisement Retrieval,0.0,5.0,0.0
re2ob_checkoutservice_disk_1,checkoutservice,disk,order_placement,Order Placement,0.232654949121184,100.0,23.2654949121184
re2ob_checkoutservice_disk_1,checkoutservice,disk,payment_processing,Payment Processing,0.0,100.0,0.0
re2ob_checkoutservice_disk_1,checkoutservice,disk,currency_conversion,Currency Conversion,0.232654949121184,60.0,13.95929694727104
re2ob_checkoutservice_disk_1,checkoutservice,disk,cart_management,Cart Management,0.0,50.0,0.0
re2ob_checkoutservice_disk_1,checkoutservice,disk,shipping,Shipping,0.0,40.0,0.0
re2ob_checkoutservice_disk_1,checkoutservice,disk,order_confirmation,Order Confirmation,0.0,25.0,0.0
re2ob_checkoutservice_disk_1,checkoutservice,disk,product_browsing,Product Browsing,0.232654949121184,20.0,4.65309898242368
re2ob_checkoutservice_disk_1,checkoutservice,disk,product_recommendations,Product Recommendations,0.232654949121184,10.0,2.32654949121184
re2ob_checkoutservice_disk_1,checkoutservice,disk,advertisement_retrieval,Advertisement Retrieval,0.0,5.0,0.0
re2ob_checkoutservice_disk_2,checkoutservice,disk,order_placement,Order Placement,0.60507332919314,100.0,60.507332919314
re2ob_checkoutservice_disk_2,checkoutservice,disk,payment_processing,Payment Processing,0.0,100.0,0.0
re2ob_checkoutservice_disk_2,checkoutservice,disk,currency_conversion,Currency Conversion,0.60507332919314,60.0,36.304399751588406
re2ob_checkoutservice_disk_2,checkoutservice,disk,cart_management,Cart Management,0.0,50.0,0.0
re2ob_checkoutservice_disk_2,checkoutservice,disk,shipping,Shipping,0.0,40.0,0.0
re2ob_checkoutservice_disk_2,checkoutservice,disk,order_confirmation,Order Confirmation,0.0,25.0,0.0
re2ob_checkoutservice_disk_2,checkoutservice,disk,product_browsing,Product Browsing,0.60507332919314,20.0,12.101466583862802
re2ob_checkoutservice_disk_2,checkoutservice,disk,product_recommendations,Product Recommendations,0.60507332919314,10.0,6.050733291931401
re2ob_checkoutservice_disk_2,checkoutservice,disk,advertisement_retrieval,Advertisement Retrieval,0.0,5.0,0.0
re2ob_checkoutservice_disk_3,checkoutservice,disk,order_placement,Order Placement,0.6721059391790438,100.0,67.21059391790438
re2ob_checkoutservice_disk_3,checkoutservice,disk,payment_processing,Payment Processing,0.0,100.0,0.0
re2ob_checkoutservice_disk_3,checkoutservice,disk,currency_conversion,Currency Conversion,0.6721059391790438,60.0,40.32635635074263
re2ob_checkoutservice_disk_3,checkoutservice,disk,cart_management,Cart Management,0.0,50.0,0.0
re2ob_checkoutservice_disk_3,checkoutservice,disk,shipping,Shipping,0.0,40.0,0.0
re2ob_checkoutservice_disk_3,checkoutservice,disk,order_confirmation,Order Confirmation,0.0,25.0,0.0
re2ob_checkoutservice_disk_3,checkoutservice,disk,product_browsing,Product Browsing,0.6721059391790438,20.0,13.442118783580877
re2ob_checkoutservice_disk_3,checkoutservice,disk,product_recommendations,Product Recommendations,0.6721059391790438,10.0,6.721059391790439
re2ob_checkoutservice_disk_3,checkoutservice,disk,advertisement_retrieval,Advertisement Retrieval,0.0,5.0,0.0
re2ob_checkoutservice_loss_1,checkoutservice,loss,order_placement,Order Placement,0.9950125760474666,100.0,99.50125760474666
re2ob_checkoutservice_loss_1,checkoutservice,loss,payment_processing,Payment Processing,0.0,100.0,0.0
re2ob_checkoutservice_loss_1,checkoutservice,loss,currency_conversion,Currency Conversion,0.9950125760474666,60.0,59.700754562848
