case,service,normal_spans,faulty_spans,normal_median,faulty_median,median_ratio,normal_p95,faulty_p95,p95_ratio,normal_error_rate,faulty_error_rate
re2ob_checkoutservice_delay_1,checkoutservice,4884,4792,4010.5,204423.0,50.97194863483356,78261.54999999996,1879237.5999999999,24.012271671082427,0.0,0.0
re2ob_checkoutservice_delay_1,currencyservice,28562,28099,142.0,142.0,1.0,247.0,258.0,1.0445344129554657,0.0,0.0
re2ob_checkoutservice_delay_1,emailservice,647,642,204.0,202.5,0.9926470588235294,428.7999999999997,420.94999999999993,0.9816930970149258,0.0,0.0
re2ob_checkoutservice_delay_1,frontendservice,104125,102148,3900.0,3894.0,0.9984615384615385,69029.79999999976,68344.29999999999,0.990069506213262,0.0,0.0
re2ob_checkoutservice_delay_1,paymentservice,503,498,186.0,188.0,1.010752688172043,424.4999999999999,361.44999999999993,0.8514723203769141,0.0,0.0
re2ob_checkoutservice_delay_1,productcatalogservice,51948,50963,12.0,12.0,1.0,25.0,25.0,1.0,0.0,0.0
re2ob_checkoutservice_delay_1,recommendationservice,13844,13574,3528.0,3507.0,0.9940476190476191,4613.0,4509.699999999997,0.9776067634944715,0.0,0.0
re2ob_checkoutservice_delay_2,checkoutservice,4430,4340,4009.0,204426.0,50.99176852082814,77279.25000000001,1910102.2,24.716883251325545,0.0,0.0
re2ob_checkoutservice_delay_2,currencyservice,28806,28193,140.0,141.0,1.0071428571428571,245.0,241.0,0.9836734693877551,0.0,0.0
re2ob_checkoutservice_delay_2,emailservice,602,592,200.5,199.5,0.9950124688279302,417.0,415.3499999999998,0.9960431654676254,0.0,0.0
re2ob_checkoutservice_delay_2,frontendservice,104264,101148,3877.0,3854.0,0.9940675780242455,68170.54999999997,68133.29999999999,0.9994535763610535,0.0,0.0
re2ob_checkoutservice_delay_2,paymentservice,458,449,176.0,181.0,1.0284090909090908,377.5999999999999,396.5999999999996,1.0503177966101687,0.0,0.0
re2ob_checkoutservice_delay_2,productcatalogservice,51951,50169,12.0,12.0,1.0,24.0,24.0,1.0,0.0,0.0
re2ob_checkoutservice_delay_2,recommendationservice,13770,13282,3483.0,3488.0,1.001435544071203,4549.549999999999,4477.0,0.9840533679155082,0.0,0.0
re2ob_checkoutservice_delay_3,checkoutservice,4410,4780,4000.5,204378.5,51.088238970128735,76216.20000000004,1901936.8000000003,24.954495238545075,0.0,0.0
re2ob_checkoutservice_delay_3,currencyservice,29071,28110,141.0,142.0,1.0070921985815602,243.0,244.0,1.0041152263374487,0.0,0.0
re2ob_checkoutservice_delay_3,emailservice,601,633,199.0,205.0,1.0301507537688441,395.0,460.79999999999984,1.1665822784810123,0.0,0.0
re2ob_checkoutservice_delay_3,frontendservice,104442,102017,3872.0,3862.0,0.9974173553719008,68816.24999999996,67157.79999999999,0.9759003142426393,0.0,0.0
re2ob_checkoutservice_delay_3,paymentservice,457,489,182.0,180.0,0.989010989010989,384.79999999999995,400.59999999999894,1.0410602910602884,0.0,0.0
re2ob_checkoutservice_delay_3,productcatalogservice,51779,50884,12.0,12.0,1.0,24.0,24.0,1.0,0.0,0.0
re2ob_checkoutservice_delay_3,recommendationservice,13706,13528,3467.0,3470.0,1.0008653014133257,4520.5,4437.65,0.9816723813737418,0.0,0.0
