rule,median_threshold,p95_threshold,root_recall,downstream_false_positive_rate,root_detected,root_total,downstream_false_positives,downstream_total
median_OR_p95,1.05,1.1,1.0,0.5,6,6,18,36
median_OR_p95,1.05,1.2,1.0,0.3333333333333333,6,6,12,36
median_OR_p95,1.05,1.3,1.0,0.2777777777777778,6,6,10,36
median_OR_p95,1.05,1.5,1.0,0.2777777777777778,6,6,10,36
median_OR_p95,1.05,2.0,0.8333333333333334,0.2777777777777778,5,6,10,36
median_OR_p95,1.05,2.5,0.8333333333333334,0.25,5,6,9,36
median_OR_p95,1.05,3.0,0.8333333333333334,0.25,5,6,9,36
median_OR_p95,1.1,1.1,1.0,0.4444444444444444,6,6,16,36
median_OR_p95,1.1,1.2,1.0,0.19444444444444445,6,6,7,36
median_OR_p95,1.1,1.3,1.0,0.1388888888888889,6,6,5,36
median_OR_p95,1.1,1.5,1.0,0.1388888888888889,6,6,5,36
median_OR_p95,1.1,2.0,0.8333333333333334,0.1388888888888889,5,6,5,36
median_OR_p95,1.1,2.5,0.8333333333333334,0.1111111111111111,5,6,4,36
median_OR_p95,1.1,3.0,0.8333333333333334,0.1111111111111111,5,6,4,36
median_OR_p95,1.15,1.1,0.8333333333333334,0.4444444444444444,5,6,16,36
median_OR_p95,1.15,1.2,0.8333333333333334,0.19444444444444445,5,6,7,36
median_OR_p95,1.15,1.3,0.8333333333333334,0.1388888888888889,5,6,5,36
median_OR_p95,1.15,1.5,0.8333333333333334,0.1111111111111111,5,6,4,36
median_OR_p95,1.15,2.0,0.6666666666666666,0.1111111111111111,4,6,4,36
median_OR_p95,1.15,2.5,0.6666666666666666,0.08333333333333333,4,6,3,36
median_OR_p95,1.15,3.0,0.6666666666666666,0.08333333333333333,4,6,3,36
median_OR_p95,1.2,1.1,0.8333333333333334,0.4444444444444444,5,6,16,36
median_OR_p95,1.2,1.2,0.8333333333333334,0.19444444444444445,5,6,7,36
median_OR_p95,1.2,1.3,0.8333333333333334,0.1388888888888889,5,6,5,36
median_OR_p95,1.2,1.5,0.8333333333333334,0.1111111111111111,5,6,4,36
median_OR_p95,1.2,2.0,0.6666666666666666,0.1111111111111111,4,6,4,36
median_OR_p95,1.2,2.5,0.6666666666666666,0.08333333333333333,4,6,3,36
median_OR_p95,1.2,3.0,0.5,0.08333333333333333,3,6,3,36
median_OR_p95,1.25,1.1,0.8333333333333334,0.4444444444444444,5,6,16,36
median_OR_p95,1.25,1.2,0.8333333333333334,0.19444444444444445,5,6,7,36
median_OR_p95,1.25,1.3,0.8333333333333334,0.1388888888888889,5,6,5,36
median_OR_p95,1.25,1.5,0.8333333333333334,0.1111111111111111,5,6,4,36
median_OR_p95,1.25,2.0,0.6666666666666666,0.1111111111111111,4,6,4,36
median_OR_p95,1.25,2.5,0.6666666666666666,0.05555555555555555,4,6,2,36
median_OR_p95,1.25,3.0,0.5,0.05555555555555555,3,6,2,36
median_OR_p95,1.5,1.1,0.8333333333333334,0.4444444444444444,5,6,16,36
median_OR_p95,1.5,1.2,0.8333333333333334,0.19444444444444445,5,6,7,36
median_OR_p95,1.5,1.3,0.8333333333333334,0.1388888888888889,5,6,5,36
median_OR_p95,1.5,1.5,0.8333333333333334,0.1111111111111111,5,6,4,36
median_OR_p95,1.5,2.0,0.6666666666666666,0.1111111111111111,4,6,4,36
median_OR_p95,1.5,2.5,0.6666666666666666,0.05555555555555555,4,6,2,36
median_OR_p95,1.5,3.0,0.5,0.05555555555555555,3,6,2,36
median_OR_p95,2.0,1.1,0.8333333333333334,0.4444444444444444,5,6,16,36
median_OR_p95,2.0,1.2,0.8333333333333334,0.19444444444444445,5,6,7,36
median_OR_p95,2.0,1.3,0.8333333333333334,0.1388888888888889,5,6,5,36
median_OR_p95,2.0,1.5,0.8333333333333334,0.1111111111111111,5,6,4,36
median_OR_p95,2.0,2.0,0.6666666666666666,0.1111111111111111,4,6,4,36
median_OR_p95,2.0,2.5,0.6666666666666666,0.05555555555555555,4,6,2,36
median_OR_p95,2.0,3.0,0.5,0.05555555555555555,3,6,2,36
