method,cbl_mean,cbl_std,aulc_normalized_mean,aulc_normalized_std,kendalls_tau_mean,kendalls_tau_std,mrr_mean,mrr_std,precision_at_3_mean,precision_at_3_std,map_mean,map_std,ndcg_1_mean,ndcg_1_std,ndcg_3_mean,ndcg_3_std,ndcg_5_mean,ndcg_5_std
B10_pairwise,966.2592528049561,510.3507083821399,-36.112954107126164,291.84958665332766,0.23111111111111113,0.38361214055247034,0.9398148148148148,0.17355960534357934,0.662962962962963,0.2934764906222068,1.0,0.0,0.9951195560449433,0.022823593395475378,0.9949165034637443,0.010183313583538784,0.9971012555069882,0.005619604713836011
B11_closeness,1575.2413049902061,944.3291583815821,5.73602488820614,32.86500208608369,-0.044444444444444446,0.46885522123242246,0.4477777777777777,0.29606449005606844,0.5518518518518518,0.43031536532609793,1.0,0.0,0.6707665363108056,0.35229065161161566,0.7405681249989063,0.186386003150754,0.816640781761227,0.12622047160660796
B12_eigenvector,1397.5968208166066,710.6050451851977,-11.847725057053417,118.31417838545227,-0.06666666666666667,0.461952288413753,0.43253968253968256,0.2762050050605619,0.5555555555555556,0.4298476924465492,1.0,0.0,0.6576156237953371,0.3505134048101888,0.7380050265367253,0.18653038814351666,0.8143790690358047,0.12489937159998699
B1_random,1497.0295701538078,840.5640171664144,-9.087799807279586,100.09100741472439,-0.027654320987654323,0.5303214069652997,0.5068650793650793,0.34303908358337337,0.6222222222222222,0.3359448263362191,1.0,0.0,0.5721039180557093,0.3894256558792302,0.6805283519549467,0.21613371420898994,0.7527944025732899,0.17119881612631613
B2_severity,964.3025379886355,508.37164923950684,-33.557078151232,266.5247943355035,0.28567901234567905,0.3869928612636277,0.9722222222222222,0.11517234548078617,0.6814814814814815,0.28227323651510416,1.0,0.0,0.9999964233663257,1.482945441091834e-05,0.9964597458476493,0.016768542778091658,0.9950452950112726,0.017638311846448696
B3_itil,955.9487202232148,501.4750402231307,-38.46989790350802,311.1600470996986,0.2688888888888889,0.3912916675501637,0.9722222222222222,0.11517234548078617,0.6703703703703703,0.28484152215781267,1.0,0.0,0.9999964233663257,1.482945441091834e-05,0.9993291664656749,0.00287958785271409,0.9994123739981149,0.002592322536603215
B4_pagerank,1347.1098147537693,769.5329651378606,-9.54721625318793,89.07722102188427,-0.047407407407407405,0.32412927417642867,0.48013227513227513,0.2900162488300979,0.5296296296296296,0.4266246598131198,1.0,0.0,0.6255283230934964,0.3815049174757313,0.7696481884298548,0.1795599262313854,0.8225600290675986,0.13363062607430562
B5_betweenness,1431.6748388672172,737.8543321915255,-10.133427968807501,88.7281209360284,0.38148148148148153,0.3754906163151996,0.4131481481481481,0.2515432324284477,0.7814814814814814,0.2187303683995492,1.0,0.0,0.3612796347624473,0.36452267730990884,0.5776917215791504,0.2696804400957137,0.7205466122584077,0.17231133800014342
B6_ppr,1440.8824470623563,792.7566812219571,-6.44605047934719,58.40646874187623,-0.02370370370370369,0.4602531765719788,0.4442063492063492,0.2707664782047094,0.5296296296296296,0.42073131872718206,1.0,0.0,0.6185366083745348,0.3711663927266591,0.6910166161657383,0.19859273824840978,0.7623854108723702,0.1612970134856466
B7_classifier,995.8982540050864,532.6085731004034,-33.994325280385596,274.0343738375258,0.2325925925925926,0.35585505488331004,0.8275925925925927,0.25663676452977086,0.6481481481481481,0.3013126136819084,1.0,0.0,0.9866113966077241,0.03428664008233175,0.9811371120680298,0.02025837677683923,0.9928892287412368,0.007756767379312616
B9_independent,1124.9887834431963,642.846011139929,-30.670770744553092,269.14563699118895,-0.055555555555555546,0.41353504803711144,0.5851851851851851,0.28839870061190365,0.6555555555555556,0.28464665877112116,1.0,0.0,0.7492153141051405,0.21012442852625995,0.8948344856543553,0.0822135767704854,0.9155696887972122,0.07054889749991625
BLAST,1097.969464622095,633.3826003206545,-30.70739618565181,252.44366567422767,0.0925925925925926,0.34542769732152095,0.7055555555555556,0.26209803657034986,0.662962962962963,0.28484152215781255,1.0,0.0,0.9182104864810096,0.09441311027791544,0.9631337226264479,0.03692813171217695,0.953950067730232,0.049797662096455045
