metric,baseline,n_scenarios,blast_mean,baseline_mean,wilcoxon_stat,p_value_raw,cliffs_delta,higher_is_better,p_value_holm,statistically_significant_win,practically_significant,blast_significantly_better
ndcg_5,B1_random,90,0.9539500677302318,0.7527944025732899,40.0,3.2185359296957056e-15,0.7192592592592593,True,3.540389522665276e-14,True,True,True
ndcg_5,B2_severity,90,0.9539500677302318,0.9950452950112727,196.0,8.594793108021836e-11,-0.6808641975308642,True,2.578437932406551e-10,False,True,False
ndcg_5,B3_itil,90,0.9539500677302318,0.9994123739981149,51.0,4.002249572619041e-13,-0.7485185185185186,True,2.0011247863095205e-12,False,True,False
ndcg_5,B4_pagerank,90,0.9539500677302318,0.8225600290675987,150.0,3.059869531769737e-13,0.5727160493827161,True,1.8359217190618423e-12,True,True,True
ndcg_5,B5_betweenness,90,0.9539500677302318,0.7205466122584077,54.0,3.4833433910102544e-15,0.7328395061728394,True,3.540389522665276e-14,True,True,True
ndcg_5,B6_ppr,90,0.9539500677302318,0.7623854108723702,89.0,2.5824589069282297e-14,0.6770370370370371,True,2.324213016235407e-13,True,True,True
ndcg_5,B7_classifier,90,0.9539500677302318,0.9928892287412365,115.0,3.9194799832314433e-10,-0.48876543209876544,True,4.420212800818808e-10,False,True,False
ndcg_5,B9_independent,90,0.9539500677302318,0.9155696887972122,62.0,2.210106400409404e-10,0.2769135802469136,True,4.420212800818808e-10,True,True,True
ndcg_5,B10_pairwise,90,0.9539500677302318,0.9971012555069885,44.0,1.1938964369586111e-11,-0.6101234567901235,True,4.7755857478344445e-11,False,True,False
ndcg_5,B11_closeness,90,0.9539500677302318,0.816640781761227,176.0,1.219512500053932e-13,0.6609876543209876,True,8.536587500377523e-13,True,True,True
ndcg_5,B12_eigenvector,90,0.9539500677302318,0.8143790690358047,162.0,7.844841348835802e-14,0.6733333333333333,True,6.275873079068642e-13,True,True,True
cbl,B1_random,90,1097.969464622095,1497.0295701538073,27.0,3.0373003164551303e-15,-0.3118518518518518,False,3.341030348100643e-14,True,True,True
cbl,B2_severity,90,1097.969464622095,964.3025379886355,90.0,1.7949006736854052e-12,0.14456790123456797,False,7.179602694741621e-12,False,False,False
cbl,B3_itil,90,1097.969464622095,955.9487202232148,52.0,4.1610400935371783e-13,0.15074074074074084,False,2.080520046768589e-12,False,True,False
cbl,B4_pagerank,90,1097.969464622095,1347.1098147537691,118.0,1.0499771696147706e-13,-0.23086419753086418,False,6.299863017688624e-13,True,True,True
cbl,B5_betweenness,90,1097.969464622095,1431.674838867217,68.0,5.584653146656576e-15,-0.3055555555555556,False,5.5846531466565765e-14,True,True,True
cbl,B6_ppr,90,1097.969464622095,1440.8824470623563,68.0,1.2610210090507021e-14,-0.28222222222222226,False,8.827147063354915e-14,True,True,True
cbl,B7_classifier,90,1097.969464622095,995.8982540050864,141.0,1.1482425397221816e-09,0.11641975308641972,False,2.296485079444363e-09,False,False,False
cbl,B9_independent,90,1097.969464622095,1124.9887834431963,463.0,0.0008762870305733656,-0.023456790123456805,False,0.0008762870305733656,True,False,False
cbl,B10_pairwise,90,1097.969464622095,966.259252804956,31.0,6.6953561306548325e-12,0.13901234567901244,False,2.0086068391964497e-11,False,False,False
cbl,B11_closeness,90,1097.969464622095,1575.2413049902061,94.0,8.77525259950242e-15,-0.288395061728395,False,7.020202079601937e-14,True,True,True
cbl,B12_eigenvector,90,1097.969464622095,1397.5968208166066,87.0,6.973012319420707e-15,-0.2733333333333333,False,6.275711087478637e-14,True,True,True
