scenario_id,k,incident_ids,total_gt_loss
scenario_k3_001,3,re2ob_productcatalogservice_cpu_2;re2ob_productcatalogservice_socket_3;re2ob_recommendationservice_mem_3,467.0738169297523
scenario_k3_002,3,re2ob_checkoutservice_cpu_3;re2ob_productcatalogservice_cpu_2;re2ob_recommendationservice_delay_3,711.2354382378645
scenario_k3_003,3,re2ob_currencyservice_cpu_2;re2ob_recommendationservice_delay_2;re2ob_recommendationservice_mem_3,703.4547606248586
scenario_k3_004,3,re2ob_currencyservice_delay_2;re2ob_productcatalogservice_cpu_3;re2ob_recommendationservice_mem_3,713.8693058126557
scenario_k3_005,3,re2ob_checkoutservice_cpu_2;re2ob_currencyservice_cpu_3;re2ob_emailservice_disk_3,292.719893200372
scenario_k3_006,3,re2ob_currencyservice_delay_3;re2ob_emailservice_loss_1;re2ob_productcatalogservice_socket_2,417.931180810848
scenario_k3_007,3,re2ob_productcatalogservice_cpu_3;re2ob_recommendationservice_delay_2;re2ob_recommendationservice_mem_2,701.092743668484
scenario_k3_008,3,re2ob_checkoutservice_socket_3;re2ob_emailservice_disk_1;re2ob_recommendationservice_delay_3,341.7917971998646
scenario_k3_009,3,re2ob_currencyservice_cpu_3;re2ob_currencyservice_delay_2;re2ob_productcatalogservice_cpu_3,786.9736813692737
scenario_k3_010,3,re2ob_currencyservice_cpu_2;re2ob_emailservice_disk_3;re2ob_emailservice_loss_2,358.9784874890617
scenario_k3_011,3,re2ob_checkoutservice_socket_1;re2ob_emailservice_disk_3;re2ob_recommendationservice_mem_2,243.67728332390982
scenario_k3_012,3,re2ob_currencyservice_delay_3;re2ob_emailservice_disk_3;re2ob_productcatalogservice_socket_2,404.1678012564422
scenario_k3_013,3,re2ob_checkoutservice_socket_2;re2ob_currencyservice_cpu_1;re2ob_productcatalogservice_cpu_1,337.9090489563613
scenario_k3_014,3,re2ob_emailservice_disk_2;re2ob_recommendationservice_delay_3;re2ob_recommendationservice_mem_3,518.3703559221467
scenario_k3_015,3,re2ob_currencyservice_delay_1;re2ob_emailservice_disk_2;re2ob_productcatalogservice_socket_2,419.870228528343
scenario_k3_016,3,re2ob_checkoutservice_socket_1;re2ob_emailservice_loss_1;re2ob_productcatalogservice_socket_1,378.14500190703603
scenario_k3_017,3,re2ob_checkoutservice_socket_1;re2ob_currencyservice_cpu_1;re2ob_emailservice_disk_2,345.4110195881649
scenario_k3_018,3,re2ob_currencyservice_delay_2;re2ob_recommendationservice_delay_3;re2ob_recommendationservice_mem_1,710.4235836104336
scenario_k3_019,3,re2ob_emailservice_disk_2;re2ob_productcatalogservice_cpu_1;re2ob_recommendationservice_mem_2,283.13013636658866
scenario_k3_020,3,re2ob_checkoutservice_socket_1;re2ob_currencyservice_cpu_1;re2ob_productcatalogservice_socket_3,327.5442150376152
scenario_k3_021,3,re2ob_emailservice_disk_1;re2ob_emailservice_loss_2;re2ob_productcatalogservice_cpu_3,318.4056057500069
scenario_k3_022,3,re2ob_currencyservice_delay_1;re2ob_productcatalogservice_cpu_2;re2ob_recommendationservice_mem_3,705.0446515751256
scenario_k3_023,3,re2ob_checkoutservice_cpu_3;re2ob_checkoutservice_socket_3;re2ob_currencyservice_delay_3,519.3393204608287
scenario_k3_024,3,re2ob_currencyservice_delay_3;re2ob_productcatalogservice_cpu_1;re2ob_recommendationservice_mem_2,502.7368801390939
scenario_k3_025,3,re2ob_currencyservice_delay_3;re2ob_productcatalogservice_cpu_3;re2ob_productcatalogservice_socket_2,613.5638327942387
scenario_k3_026,3,re2ob_emailservice_disk_1;re2ob_productcatalogservice_socket_3;re2ob_recommendationservice_mem_3,216.95385404278662
scenario_k3_027,3,re2ob_checkoutservice_cpu_3;re2ob_currencyservice_cpu_2;re2ob_recommendationservice_delay_1,709.081042675162
scenario_k3_028,3,re2ob_checkoutservice_socket_3;re2ob_currencyservice_delay_3;re2ob_recommendationservice_delay_3,625.3232397675505
scenario_k3_029,3,re2ob_checkoutservice_cpu_3;re2ob_currencyservice_delay_3;re2ob_productcatalogservice_socket_2,533.0140214329324
scenario_k3_030,3,re2ob_checkoutservice_socket_2;re2ob_productcatalogservice_cpu_2;re2ob_recommendationservice_mem_3,453.19093875540204
scenario_k5_001,5,re2ob_checkoutservice_socket_3;re2ob_currencyservice_cpu_3;re2ob_currencyservice_delay_3;re2ob_emailservice_disk_2;re2ob_recommendationservice_delay_1,931.2449279649169
scenario_k5_002,5,re2ob_checkoutservice_cpu_3;re2ob_checkoutservice_socket_3;re2ob_currencyservice_cpu_2;re2ob_currencyservice_delay_3;re2ob_emailservice_loss_2,829.5982501042922
scenario_k5_003,5,re2ob_currencyservice_cpu_1;re2ob_currencyservice_delay_3;re2ob_emailservice_loss_2;re2ob_productcatalogservice_socket_3;re2ob_recommendationservice_delay_2,919.3851027786909
scenario_k5_004,5,re2ob_currencyservice_cpu_2;re2ob_emailservice_disk_1;re2ob_emailservice_loss_3;re2ob_recommendationservice_delay_2;re2ob_recommendationservice_mem_3,760.7838444139111
scenario_k5_005,5,re2ob_checkoutservice_cpu_1;re2ob_checkoutservice_socket_2;re2ob_productcatalogservice_cpu_1;re2ob_recommendationservice_delay_1;re2ob_recommendationservice_mem_3,543.4354980808289
scenario_k5_006,5,re2ob_currencyservice_delay_3;re2ob_emailservice_disk_3;re2ob_emailservice_loss_3;re2ob_productcatalogservice_cpu_2;re2ob_recommendationservice_delay_3,923.2497444181125
scenario_k5_007,5,re2ob_checkoutservice_cpu_1;re2ob_checkoutservice_socket_1;re2ob_currencyservice_cpu_2;re2ob_emailservice_disk_1;re2ob_recommendationservice_mem_2,444.9266387551629
scenario_k5_008,5,re2ob_currencyservice_cpu_2;re2ob_currencyservice_delay_1;re2ob_productcatalogservice_socket_3;re2ob_recommendationservice_delay_3;re2ob_recommendationservice_mem_2,1023.9925004755345
scenario_k5_009,5,re2ob_checkoutservice_cpu_2;re2ob_checkoutservice_socket_2;re2ob_currencyservice_cpu_2;re2ob_emailservice_loss_3;re2ob_productcatalogservice_socket_1,620.5646189001425
scenario_k5_010,5,re2ob_checkoutservice_cpu_1;re2ob_checkoutservice_socket_2;re2ob_emailservice_loss_1;re2ob_productcatalogservice_cpu_2;re2ob_recommendationservice_delay_3,628.3276136860607
scenario_k5_011,5,re2ob_checkoutservice_cpu_3;re2ob_currencyservice_delay_3;re2ob_emailservice_disk_2;re2ob_productcatalogservice_cpu_1;re2ob_recommendationservice_delay_1,865.3864415973477
scenario_k5_012,5,re2ob_checkoutservice_socket_3;re2ob_currencyservice_cpu_1;re2ob_currencyservice_delay_2;re2ob_recommendationservice_delay_3;re2ob_recommendationservice_mem_3,1044.4613756790359
scenario_k5_013,5,re2ob_checkoutservice_cpu_1;re2ob_emailservice_loss_2;re2ob_productcatalogservice_cpu_2;re2ob_recommendationservice_delay_2;re2ob_recommendationservice_mem_1,735.0159964539475
