heterogeneity,n_scenarios,cbl_blast_mean,cbl_b9_mean,cbl_p_raw,cbl_cliffs_delta,ndcg5_blast_mean,ndcg5_b9_mean,ndcg5_p_raw,ndcg5_cliffs_delta,cbl_p_holm,ndcg5_p_holm,cbl_blast_wins,ndcg5_blast_wins
0.0,600,1382.4640282241314,1381.625947442572,6.958410814804111e-13,0.0007999999999999119,0.999902792194611,1.0,1.1111647363502784e-11,-0.10166666666666668,6.958410814804111e-13,1.1111647363502784e-11,False,False
0.1,600,1340.0289718488475,1311.237367117612,6.108279503518403e-32,0.01968611111111107,0.987734361941901,1.0,8.201023960508285e-40,-0.3866666666666667,1.2216559007036806e-31,1.640204792101657e-39,False,False
0.2,600,1283.376455466486,1208.7708406384297,6.448368521157458e-51,0.049800000000000066,0.9741724249587507,1.0,2.2363244606406874e-54,-0.5349999999999999,3.224184260578729e-50,6.708973381922062e-54,False,False
0.3,600,1226.7433798815596,1127.1292064085585,4.979279595221377e-55,0.05591944444444441,0.9711238194602823,1.0,1.9099258657115452e-59,-0.5866666666666667,3.9834236761771015e-54,9.549629328557726e-59,False,False
0.4,600,1182.9086804852561,1073.6271249074641,4.397838595078469e-61,0.06657222222222225,0.9700824342522268,1.0,3.4754426447992123e-64,-0.635,4.837622454586316e-60,3.4754426447992125e-63,False,False
0.5,600,1073.5590810038093,995.2840167070694,2.1929694095724595e-57,0.05633888888888894,0.9784658559620304,1.0,3.1785598510813625e-62,-0.615,2.1929694095724594e-56,2.2249918957569537e-61,False,False
0.6,600,1048.207711214658,971.8819944158868,3.5041010974727344e-56,0.046111111111111214,0.9764555374477095,1.0,1.1239286346992073e-64,-0.64,3.153690987725461e-55,1.236321498169128e-63,False,False
0.7,600,907.2639653452051,854.0540282756651,3.3771761494346793e-53,0.035844444444444346,0.9769606186935802,1.0,4.8420428272568976e-63,-0.6233333333333333,2.3640233046042755e-52,3.873634261805518e-62,False,False
0.8,600,811.3679916661947,755.2574687019592,1.3644413252317883e-51,0.04066111111111104,0.97755561796565,1.0,2.2811753796752286e-63,-0.6266666666666667,8.18664795139073e-51,2.0530578417077057e-62,False,False
0.9,600,727.3483047646624,665.969347021513,2.7113539473335903e-50,0.04265555555555545,0.9735333869298999,1.0,3.040355827497834e-61,-0.605,1.0845415789334361e-49,1.8242134964987004e-60,False,False
1.0,600,625.7094074666261,563.3129493191652,6.893694339979557e-49,0.047938888888888975,0.9664153201905966,1.0,1.7490812062058477e-57,-0.5666666666666667,2.0681083019938672e-48,6.996324824823391e-57,False,False
