case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2ob_currencyservice_delay_3,delay,currencyservice,frontend::AddItem+GetProduct,Add To Cart,AddItem+GetProduct,982,856,8012.5,14926.849999999991,49277.25999999996,8026.5,11215.25,46289.75000000006,0.7513474041743574,1.3640063449908186,1.1888888888888889,0.010183299389002037,0.009345794392523364,-0.0008375049964786732,0.0,0.0,0.0,1.0,0.005443782477111414,0.005443782477111414,False,False,1.0,False
re2ob_currencyservice_delay_3,delay,currencyservice,frontend::Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Product Detail View,Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,4401,3641,39216.0,76415.0,212174.0,439740.0,477732.0,877411.7999999988,6.251809199764444,6.113026399495512,5.0569444444444445,0.009997727789138832,0.9967042021422686,0.9867064743531297,0.0,0.0,0.0,0.0,0.9918364537384796,0.9918364537384796,False,False,0.0,True
re2ob_currencyservice_delay_3,delay,currencyservice,frontend::Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,Home Page View,Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,1084,917,54780.5,121391.69999999998,767769.9200000016,2059270.0,2475676.8,2917867.2800000007,20.394119202548445,1.5056852117821258,1.273611111111111,0.01014760147601476,0.9956379498364231,0.9854903483604083,0.0,0.0,0.0,0.0,0.996963868221016,0.996963868221016,False,False,0.0,True
re2ob_currencyservice_delay_3,delay,currencyservice,frontend::Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,Cart View,Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,1988,1753,50810.5,115460.44999999995,353520.7799999999,848306.0,1676391.2,2030436.5600000017,14.519181243447438,2.7613488939325332,2.4347222222222222,0.01006036217303823,0.9982886480319453,0.9882282858589071,0.0,0.0,0.0,0.0,0.9940349455546742,0.9940349455546742,False,False,0.0,True
re2ob_currencyservice_delay_3,delay,currencyservice,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies,Convert+GetCart+GetProduct+GetSupportedCurrencies,0,3,,,,446073.0,447087.3,447177.46,,0.0,0.004166666666666667,,,,,0.0,,,,0.0,True,False,,False
re2ob_currencyservice_delay_3,delay,currencyservice,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,0,2,,,,439638.0,441664.8,441844.96,,0.0,0.002777777777777778,,,,,0.0,,,,0.0,True,False,,False
re2ob_currencyservice_delay_3,delay,currencyservice,frontend::Convert+GetCart+GetSupportedCurrencies+ListProducts,frontend::Convert+GetCart+GetSupportedCurrencies+ListProducts,Convert+GetCart+GetSupportedCurrencies+ListProducts,0,3,,,,2074965.0,2077705.5,2077949.1,,0.0,0.004166666666666667,,,,,0.0,,,,0.0,True,False,,False
re2ob_currencyservice_delay_3,delay,currencyservice,frontend::GetProduct+GetSupportedCurrencies,frontend::GetProduct+GetSupportedCurrencies,GetProduct+GetSupportedCurrencies,0,3,,,,445402.0,447781.6,447993.12,,0.0,0.004166666666666667,,,,,0.0,,,,0.0,True,False,,False
re2ob_currencyservice_delay_3,delay,currencyservice,frontend::GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,Place Order,GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,342,303,74163.5,117375.75,212137.83999999886,873690.0,1705029.5,1929815.7600000002,14.526250098508422,0.47504090630026474,0.42083333333333334,0.011695906432748537,0.9933993399339934,0.9817034335012449,0.0,0.0,0.0,8.923038099313002e-105,0.9923957308011504,0.9923957308011504,False,False,2.6769114297939006e-104,True
re2ob_currencyservice_delay_3,delay,currencyservice,frontend::empty,frontend::empty,,871,775,304.0,876.5,1689.5999999999985,307.0,973.5999999999999,1584.6199999999997,1.110781517398745,1.2098264017179257,1.0763888888888888,0.010332950631458095,0.007741935483870968,-0.002591015147587127,0.0,0.0,0.0,0.24770089838652837,0.043885782008073804,0.043885782008073804,False,False,0.49540179677305674,False
re2ob_currencyservice_delay_3,delay,currencyservice,direct::hipstershop.CurrencyService/Convert,hipstershop.CurrencyService/Convert (direct),Convert,1129,1058,4129.0,6396.6,14333.160000000009,204707.0,206883.45,390028.5600000006,32.34272113310196,1.5681905941900554,1.4694444444444446,0.010628875110717449,0.9914933837429112,0.9808645086321938,0.0,0.0,0.0,0.0,0.9884778506499052,0.9884778506499052,False,False,0.0,True
