case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2ob_currencyservice_loss_1,loss,currencyservice,frontend::AddItem+GetProduct,Add To Cart,AddItem+GetProduct,999,667,7512.0,9967.799999999992,21865.499999999985,7914.0,69764.99999999999,695546.3600000024,6.999036898814186,1.3876194894560365,0.9265240069732392,0.01001001001001001,0.095952023988006,0.08594201397799599,0.0,0.0,0.0,3.569026750517052e-25,0.3012322667495082,0.3012322667495082,False,False,7.138053501034104e-25,True
re2ob_currencyservice_loss_1,loss,currencyservice,frontend::Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Product Detail View,Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,4295,1682,149358.0,300842.7,727295.3800000004,1154884.0,7007245.249999995,16493761.420000026,23.29205677917395,5.965791498712389,2.3364518436716466,0.010011641443538999,0.6896551724137931,0.6796435309702542,0.0,0.0,0.0,0.0,0.9600319205336516,0.9600319205336516,False,False,0.0,True
re2ob_currencyservice_loss_1,loss,currencyservice,frontend::Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,Home Page View,Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,949,352,512709.0,1058366.3999999994,1527380.3999999994,5130324.5,16388780.649999993,24652784.93,15.484978217373493,1.318169064558337,0.48896019558407827,0.01053740779768177,0.9488636363636364,0.9383262285659546,0.0,0.0,0.0,2.76410106001974e-167,0.9945516811955168,0.9945516811955168,False,False,1.38205053000987e-166,True
re2ob_currencyservice_loss_1,loss,currencyservice,frontend::Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,Cart View,Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,1947,764,259932.0,592628.1999999995,912721.1399999991,2491576.5,15740435.05,53741455.36,26.560388199549084,2.7043995455164196,1.0612658790518061,0.01027221366204417,0.849476439790576,0.8392042261285318,0.0,0.0,0.0,0.0,0.9529279842528577,0.9529279842528577,False,False,0.0,True
re2ob_currencyservice_loss_1,loss,currencyservice,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies,Convert+GetCart+GetProduct+GetSupportedCurrencies,0,64,,,,4702789.0,51028494.849999994,51847501.599999994,,0.0,0.08890185374255968,,,,,0.0,,,,0.0,True,False,,False
re2ob_currencyservice_loss_1,loss,currencyservice,frontend::Convert+GetCart+GetSupportedCurrencies+ListProducts,frontend::Convert+GetCart+GetSupportedCurrencies+ListProducts,Convert+GetCart+GetSupportedCurrencies+ListProducts,0,38,,,,7457210.5,53501061.15,54490197.24,,0.0,0.05278547565964481,,,,,0.0,,,,0.0,True,False,,False
re2ob_currencyservice_loss_1,loss,currencyservice,frontend::GetProduct+GetSupportedCurrencies,frontend::GetProduct+GetSupportedCurrencies,GetProduct+GetSupportedCurrencies,0,1232,,,,4156.0,5455.300000000001,752620.610000002,,0.0,1.711360684544274,,,,,0.0,,,,0.0,True,False,,False
re2ob_currencyservice_loss_1,loss,currencyservice,frontend::GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,Place Order,GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,358,101,296297.5,692159.4,1124905.140000002,2321877.0,9889718.0,15509486.0,14.288208756537871,0.4972650422675286,0.140298237937477,0.0111731843575419,0.8712871287128713,0.8601139443553294,0.0,0.0,0.0,7.553960606615138e-51,0.9797002046573373,0.9797002046573373,False,False,3.0215842426460553e-50,True
re2ob_currencyservice_loss_1,loss,currencyservice,frontend::GetSupportedCurrencies,frontend::GetSupportedCurrencies,GetSupportedCurrencies,0,831,,,,1360.0,1980.5,408403.7000000261,,0.0,1.1543350071885483,,,,,0.0,,,,0.0,True,False,,False
re2ob_currencyservice_loss_1,loss,currencyservice,frontend::PlaceOrder,frontend::PlaceOrder,PlaceOrder,0,100,,,,11248.0,18765.6,2362347.870000005,,0.0,0.1389091464727495,,,,,0.0,,,,0.0,True,False,,False
re2ob_currencyservice_loss_1,loss,currencyservice,frontend::empty,frontend::empty,,783,573,284.0,730.6999999999995,1101.7599999999984,293.0,778.3999999999999,1266.4799999999968,1.065279868619133,1.0875936538979745,0.7959494092888546,0.010217113665389528,0.013961605584642234,0.003744491919252706,0.0,0.0,0.0,0.2648580198050441,0.04777570493403682,0.04777570493403682,False,False,0.2648580198050441,False
re2ob_currencyservice_loss_1,loss,currencyservice,direct::hipstershop.CurrencyService/Convert,hipstershop.CurrencyService/Convert (direct),Convert,1186,526,85448.0,99259.75,190345.0000000001,215349.5,1673331.25,3906095.75,16.858104619445445,1.6473640785734327,0.7306621104466624,0.01011804384485666,0.5304182509505704,0.5203002071057137,0.0,0.0,0.0,6.286151987003565e-34,0.3690729614834669,0.3690729614834669,False,False,1.8858455961010694e-33,True
