case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2ob_currencyservice_mem_1,mem,currencyservice,frontend::AddItem+GetProduct,Add To Cart,AddItem+GetProduct,983,845,8242.0,12005.199999999999,25480.859999999986,8964.0,49671.99999999996,784848.719999998,4.137540399160361,1.3654636325499858,1.1736241513794599,0.01017293997965412,0.0650887573964497,0.05491581741679558,0.0,0.0,0.0,1.718141034634904e-29,0.30714694179754054,0.30714694179754054,False,False,3.436282069269808e-29,True
re2ob_currencyservice_mem_1,mem,currencyservice,frontend::Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Product Detail View,Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,4472,3804,49756.5,131256.8,255315.24999999988,485119.0,1405985.2499999998,1740318.1099999987,10.711713602647633,6.211956627429844,5.283392037689308,0.010062611806797853,0.7000525762355415,0.6899899644287436,0.0,0.0,0.0,0.0,0.969306388718024,0.969306388718024,False,False,0.0,True
re2ob_currencyservice_mem_1,mem,currencyservice,frontend::Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,Home Page View,Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,1009,858,187649.0,404688.79999999993,649798.9999999998,1854157.0,3719584.5999999996,4238505.229999998,9.191221995765636,1.4015796594536478,1.1916799075545284,0.010901883052527254,0.9382284382284383,0.927326555175911,0.0,0.0,0.0,5.299310303328155e-301,0.9950191862976798,0.9950191862976798,False,False,2.649655151664078e-300,True
re2ob_currencyservice_mem_1,mem,currencyservice,frontend::Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,Cart View,Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,1933,1727,109604.0,275297.19999999995,458942.68000000046,584822.0,2042937.5999999996,2817460.68,7.4208440914037626,2.6850876924914777,2.3986377626418074,0.010346611484738748,0.5929357266936884,0.5825891152089497,0.0,0.0,0.0,0.0,0.9247498195933188,0.9247498195933188,False,False,0.0,True
re2ob_currencyservice_mem_1,mem,currencyservice,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies,Convert+GetCart+GetProduct+GetSupportedCurrencies,0,2,,,,1368980.0,1382453.0,1383650.6,,0.0,0.002777808642318248,,,,,0.0,,,,0.0,True,False,,False
re2ob_currencyservice_mem_1,mem,currencyservice,frontend::Convert+GetCart+GetSupportedCurrencies+ListProducts,frontend::Convert+GetCart+GetSupportedCurrencies+ListProducts,Convert+GetCart+GetSupportedCurrencies+ListProducts,0,3,,,,2165448.0,2197099.2,2199912.64,,0.0,0.004166712963477372,,,,,0.0,,,,0.0,True,False,,False
re2ob_currencyservice_mem_1,mem,currencyservice,frontend::GetProduct+GetSupportedCurrencies,frontend::GetProduct+GetSupportedCurrencies,GetProduct+GetSupportedCurrencies,0,3,,,,1348857.0,1370865.6,1372821.92,,0.0,0.004166712963477372,,,,,0.0,,,,0.0,True,False,,False
re2ob_currencyservice_mem_1,mem,currencyservice,frontend::GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,Place Order,GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,319,301,180510.0,301475.1999999997,491823.62,591448.0,2201730.0,3598062.0,7.303187791234576,0.44311586854877466,0.4180602006688963,0.012539184952978056,0.5681063122923588,0.5555671273393807,0.0,0.0,0.0,1.896139072662833e-88,0.9273685416427999,0.9273685416427999,False,False,5.688417217988499e-88,True
re2ob_currencyservice_mem_1,mem,currencyservice,frontend::GetSupportedCurrencies,frontend::GetSupportedCurrencies,GetSupportedCurrencies,0,2,,,,1804906.0,1807978.6,1808251.72,,0.0,0.002777808642318248,,,,,0.0,,,,0.0,True,False,,False
re2ob_currencyservice_mem_1,mem,currencyservice,frontend::empty,frontend::empty,,829,721,315.0,813.0,1338.920000000005,311.0,804.0,1286.7999999999943,0.988929889298893,1.1515456270436808,1.0014000155557286,0.010856453558504222,0.009708737864077669,-0.0011477156944265533,0.0,0.0,0.0,1.0,0.01698652688850255,0.01698652688850255,False,False,1.0,False
re2ob_currencyservice_mem_1,mem,currencyservice,orphaned::hipstershop.CurrencyService/Convert,hipstershop.CurrencyService/Convert (orphaned root),Convert,1100,1008,5561.5,82291.1,89312.41,95640.0,1101656.15,1196888.35,13.387306160690523,1.5279857536164643,1.400015555728397,0.01,0.6994047619047619,0.6894047619047619,0.0,0.0,0.0,9.533637383185244e-271,0.8857061688311689,0.8857061688311689,False,False,3.813454953274098e-270,True
