case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2ob_productcatalogservice_cpu_1,cpu,productcatalogservice,frontend::AddItem+GetProduct,Add To Cart,AddItem+GetProduct,989,987,7114.0,10794.799999999997,489369.20000000054,8010.0,94745.4,696867.9199999998,8.776948160225295,1.3736111111111111,1.3708333333333333,0.010111223458038422,0.017223910840932118,0.007112687382893695,0.0,0.0,0.0,1.5636221657146782e-54,0.4052141950513397,0.4052141950513397,False,False,9.381732994288069e-54,True
re2ob_productcatalogservice_cpu_1,cpu,productcatalogservice,frontend::Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Product Detail View,Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,4202,4139,164877.5,331359.24999999994,790675.0199999996,221958.0,456573.1,900924.8399999996,1.3778794465523447,5.836111111111111,5.748611111111111,0.010233222275107092,0.017153901908673594,0.006920679633566502,0.0,0.0,0.0,1.635614116875836e-225,0.40564255749083,0.40564255749083,False,False,1.1449298818130853e-224,True
re2ob_productcatalogservice_cpu_1,cpu,productcatalogservice,frontend::Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,Home Page View,Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,1008,947,585127.0,1179022.0,1527994.5999999996,557852.0,1228087.8999999987,1486346.3199999998,1.0416157628950085,1.4,1.3152777777777778,0.010912698412698412,0.009503695881731784,-0.0014090025309666278,0.0,0.0,0.0,0.026202979486415878,-0.06484135364811183,0.0,False,False,0.10481191794566351,False
re2ob_productcatalogservice_cpu_1,cpu,productcatalogservice,frontend::Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,Cart View,Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,1948,1947,276759.5,865335.1499999999,1263548.68,312551.0,743136.1999999997,1086851.8599999975,0.8587842525523202,2.7055555555555557,2.7041666666666666,0.01026694045174538,0.004622496147919877,-0.005644444303825502,0.0,0.0,0.0,0.5845610626538167,-0.019487675980210728,0.0,False,False,1.0,False
re2ob_productcatalogservice_cpu_1,cpu,productcatalogservice,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies,Convert+GetCart+GetProduct+GetSupportedCurrencies,0,1,,,,253757.0,253757.0,253757.0,,0.0,0.001388888888888889,,,,,0.0,,,,0.0,True,False,,False
re2ob_productcatalogservice_cpu_1,cpu,productcatalogservice,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,0,1,,,,296182.0,296182.0,296182.0,,0.0,0.001388888888888889,,,,,0.0,,,,0.0,True,False,,False
re2ob_productcatalogservice_cpu_1,cpu,productcatalogservice,frontend::Convert+GetCart+GetSupportedCurrencies+ListProducts,frontend::Convert+GetCart+GetSupportedCurrencies+ListProducts,Convert+GetCart+GetSupportedCurrencies+ListProducts,0,2,,,,719460.0,766880.1,771095.22,,0.0,0.002777777777777778,,,,,0.0,,,,0.0,True,False,,False
re2ob_productcatalogservice_cpu_1,cpu,productcatalogservice,frontend::GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,Place Order,GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,310,330,392227.0,896813.0,1228400.1600000006,392490.5,897141.8,1432423.249999996,1.0003666316166246,0.4305555555555556,0.4583333333333333,0.012903225806451613,0.01818181818181818,0.005278592375366568,0.0,0.0,0.0,0.8732277819742325,-0.03556207233626585,0.0,False,False,1.0,False
re2ob_productcatalogservice_cpu_1,cpu,productcatalogservice,frontend::PlaceOrder,frontend::PlaceOrder,PlaceOrder,0,1,,,,696222.0,696222.0,696222.0,,0.0,0.001388888888888889,,,,,0.0,,,,0.0,True,False,,False
re2ob_productcatalogservice_cpu_1,cpu,productcatalogservice,frontend::empty,frontend::empty,,804,783,317.5,803.0999999999995,1245.950000000001,320.0,785.4999999999999,1221.0599999999968,0.9780849209313914,1.1166666666666667,1.0875,0.011194029850746268,0.010217113665389528,-0.00097691618535674,0.0,0.0,0.0,1.0,0.008830369226663581,0.008830369226663581,False,False,1.0,False
re2ob_productcatalogservice_cpu_1,cpu,productcatalogservice,direct::hipstershop.CurrencyService/Convert,hipstershop.CurrencyService/Convert (direct),Convert,1209,1128,89580.0,101413.59999999998,196760.04,53573.0,99308.09999999999,191962.44,0.9792384847791619,1.6791666666666667,1.5666666666666667,0.010752688172043012,0.0070921985815602835,-0.003660489590482728,0.0,0.0,0.0,3.0662115592484264e-18,-0.21006165343845506,0.0,False,False,1.5331057796242133e-17,False
