case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2ob_productcatalogservice_delay_2,delay,productcatalogservice,frontend::AddItem+GetProduct,Add To Cart,AddItem+GetProduct,1009,828,8055.0,13607.799999999987,54474.35999999971,208483.0,210832.8,214201.82,15.49352577198373,1.401390835265049,1.1500031944533178,0.010901883052527254,0.998792270531401,0.9878903874788737,0.0,0.0,0.0,3.858541656229184e-292,0.9897229284267677,0.9897229284267677,False,False,1.929270828114592e-291,True
re2ob_productcatalogservice_delay_2,delay,productcatalogservice,frontend::Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Product Detail View,Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,4373,3489,39525.0,104296.39999999997,401382.4799999884,1443556.0,1479989.4,1512410.76,14.190225165969299,6.0736195466938145,4.845846794018872,0.010061742510862108,0.9988535396961881,0.988791797185326,0.0,0.0,0.0,0.0,0.9986132627996769,0.9986132627996769,False,False,0.0,True
re2ob_productcatalogservice_delay_2,delay,productcatalogservice,frontend::Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,Home Page View,Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,979,706,104243.0,205481.5999999998,492415.00000000035,273262.5,359039.5,427639.0500000003,1.74730730148101,1.3597241107279314,0.9805582793285537,0.010214504596527068,0.00424929178470255,-0.005965212811824518,0.0,0.0,0.0,5.167914859367307e-243,0.9498968421844571,0.9498968421844571,False,False,2.0671659437469226e-242,True
re2ob_productcatalogservice_delay_2,delay,productcatalogservice,frontend::Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,Cart View,Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,2061,1598,63945.0,167528.0,252588.40000000008,1650013.5,2085859.3499999999,2130896.09,12.450810312306002,2.862503975699966,2.2194506095850266,0.010189228529839884,1.0,0.9898107714701602,0.0,0.0,0.0,0.0,1.0,1.0,False,False,0.0,True
re2ob_productcatalogservice_delay_2,delay,productcatalogservice,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies,Convert+GetCart+GetProduct+GetSupportedCurrencies,0,1,,,,1722241.0,1722241.0,1722241.0,,0.0,0.001388892746924297,,,,,0.0,,,,0.0,True,False,,False
re2ob_productcatalogservice_delay_2,delay,productcatalogservice,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,0,8,,,,1447280.5,1599347.5,1610550.3,,0.0,0.011111141975394376,,,,,0.0,,,,0.0,True,False,,False
re2ob_productcatalogservice_delay_2,delay,productcatalogservice,frontend::GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,frontend::GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,0,2,,,,1350698.5,1435303.45,1442823.89,,0.0,0.002777785493848594,,,,,0.0,,,,0.0,True,False,,False
re2ob_productcatalogservice_delay_2,delay,productcatalogservice,frontend::GetCart+GetSupportedCurrencies+ListRecommendations,frontend::GetCart+GetSupportedCurrencies+ListRecommendations,GetCart+GetSupportedCurrencies+ListRecommendations,0,1,,,,1718525.0,1718525.0,1718525.0,,0.0,0.001388892746924297,,,,,0.0,,,,0.0,True,False,,False
re2ob_productcatalogservice_delay_2,delay,productcatalogservice,frontend::GetProduct,frontend::GetProduct,GetProduct,0,1,,,,1663866.0,1663866.0,1663866.0,,0.0,0.001388892746924297,,,,,0.0,,,,0.0,True,False,,False
re2ob_productcatalogservice_delay_2,delay,productcatalogservice,frontend::GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,Place Order,GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,344,291,122775.0,266053.39999999973,358031.98999999964,1676851.0,2370377.0,2746833.4,8.909403149893977,0.4777784413589463,0.4041677893549704,0.011627906976744186,1.0,0.9883720930232558,0.0,0.0,0.0,1.2676747823154e-103,0.9962439063374091,0.9962439063374091,False,False,3.8030243469462e-103,True
re2ob_productcatalogservice_delay_2,delay,productcatalogservice,frontend::PlaceOrder,frontend::PlaceOrder,PlaceOrder,0,1,,,,2079181.0,2079181.0,2079181.0,,0.0,0.001388892746924297,,,,,0.0,,,,0.0,True,False,,False
