case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2ob_productcatalogservice_disk_1,disk,productcatalogservice,frontend::AddItem+GetProduct,Add To Cart,AddItem+GetProduct,950,946,7732.5,11875.999999999995,31372.459999999905,88760.0,100776.0,630081.4999999977,8.485685415964975,1.3194444444444444,1.3139454615407051,0.010526315789473684,0.6405919661733616,0.6300656503838878,0.0,0.0,0.0,2.1214114120898243e-146,0.6841782574830311,0.6841782574830311,False,False,1.2728468472538946e-145,True
re2ob_productcatalogservice_disk_1,disk,productcatalogservice,frontend::Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Product Detail View,Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,4194,4093,165546.0,398548.74999999994,751306.9399999995,320909.0,602928.5999999992,974634.2399999998,1.5128101643776306,5.825,5.6849669916343615,0.010014306151645207,0.02540923527974591,0.015394929128100702,0.0,0.0,0.0,0.0,0.670256195341943,0.670256195341943,False,False,0.0,True
re2ob_productcatalogservice_disk_1,disk,productcatalogservice,frontend::Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,Home Page View,Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,930,956,575339.5,1170524.2,1585352.8700000006,562749.0,1140802.25,1639389.400000002,0.9746080004155404,1.2916666666666667,1.3278349484491692,0.010752688172043012,0.011506276150627616,0.000753587978584604,0.0,0.0,0.0,1.0,-0.003722949565843292,0.0,False,False,1.0,False
re2ob_productcatalogservice_disk_1,disk,productcatalogservice,frontend::Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,Cart View,Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,1909,1867,269941.0,748931.3999999997,1058574.76,447730.0,940501.2999999997,1222008.8399999999,1.2557909843278037,2.651388888888889,2.59316720581025,0.010476689366160294,0.02945902517407606,0.018982335807915765,0.0,0.0,0.0,4.043307685511713e-111,0.4215613297371035,0.4215613297371035,False,False,2.0216538427558567e-110,True
re2ob_productcatalogservice_disk_1,disk,productcatalogservice,frontend::Convert+GetCart+GetSupportedCurrencies+ListProducts,frontend::Convert+GetCart+GetSupportedCurrencies+ListProducts,Convert+GetCart+GetSupportedCurrencies+ListProducts,0,2,,,,754225.5,795605.25,799283.45,,0.0,0.002777897381692823,,,,,0.0,,,,0.0,True,False,,False
re2ob_productcatalogservice_disk_1,disk,productcatalogservice,frontend::GetProduct+GetSupportedCurrencies,frontend::GetProduct+GetSupportedCurrencies,GetProduct+GetSupportedCurrencies,0,5,,,,619771.0,631099.0,631106.2,,0.0,0.006944743454232057,,,,,0.0,,,,0.0,True,False,,False
re2ob_productcatalogservice_disk_1,disk,productcatalogservice,frontend::GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,Place Order,GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,314,319,314270.5,893841.3999999999,1392280.85,592605.0,1101255.7999999996,1463813.5199999993,1.2320483253516783,0.4361111111111111,0.4430746323800052,0.012738853503184714,0.012539184952978056,-0.00019966855020665808,0.0,0.0,0.0,7.25629597605574e-33,0.5511251322804145,0.5511251322804145,False,False,2.902518390422296e-32,True
re2ob_productcatalogservice_disk_1,disk,productcatalogservice,frontend::PlaceOrder,frontend::PlaceOrder,PlaceOrder,0,1,,,,800310.0,800310.0,800310.0,,0.0,0.0013889486908464114,,,,,0.0,,,,0.0,True,False,,False
re2ob_productcatalogservice_disk_1,disk,productcatalogservice,frontend::empty,frontend::empty,,771,788,311.0,724.5,1637.699999999996,315.0,771.4999999999998,1127.7099999999996,1.0648723257418906,1.0708333333333333,1.094491568386972,0.010376134889753566,0.005076142131979695,-0.005299992757773871,0.0,0.0,0.0,1.0,0.008792720904356566,0.008792720904356566,False,False,1.0,False
re2ob_productcatalogservice_disk_1,disk,productcatalogservice,direct::hipstershop.CurrencyService/Convert,hipstershop.CurrencyService/Convert (direct),Convert,1089,1096,88762.0,181227.99999999997,307721.7999999913,87783.0,184526.5,289468.29999999993,1.0182008298938356,1.5125,1.5222877651676667,0.010101010101010102,0.006386861313868613,-0.0037141487871414887,0.0,0.0,0.0,0.5953960654307033,-0.025731770257317654,0.0,False,False,1.0,False
