case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2ob_productcatalogservice_loss_1,loss,productcatalogservice,frontend::AddItem+GetProduct,Add To Cart,AddItem+GetProduct,922,373,7174.5,10435.149999999985,18044.359999999913,199934.0,1602356.5999999957,6973014.039999776,153.55376779442537,1.2805573341074084,0.5183737794590568,0.010845986984815618,0.739946380697051,0.7291003937122353,0.0,0.0,0.0,1.2595565107605905e-143,0.9053636749576919,0.9053636749576919,False,False,6.297782553802952e-143,True
re2ob_productcatalogservice_loss_1,loss,productcatalogservice,frontend::Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Product Detail View,Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,4227,1515,158916.0,329196.89999999997,709109.9199999997,5959483.0,26100820.7,35524594.699999966,79.28635020560644,5.870841487279844,2.105459184666142,0.010172699313934233,0.9696369636963696,0.9594642643824354,0.0,0.0,0.0,0.0,0.9908921197300709,0.9908921197300709,False,False,0.0,True
re2ob_productcatalogservice_loss_1,loss,productcatalogservice,frontend::Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,Home Page View,Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,999,359,593461.0,1187110.5999999994,1582929.2799999996,1556805.0,13634037.699999996,25251369.860000063,11.485061038120628,1.3875019270860098,0.49891739095389115,0.01001001001001001,0.49303621169916434,0.48302620168915433,0.0,0.0,0.0,2.2968722712428974e-75,0.6542001611639494,0.6542001611639494,False,False,9.18748908497159e-75,True
re2ob_productcatalogservice_loss_1,loss,productcatalogservice,frontend::Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,Cart View,Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,1856,739,265388.5,665143.0,967695.0000000003,4563492.0,23817783.6,33741158.54000001,35.808515762775826,2.577781358029664,1.0270193646655308,0.010237068965517241,0.9431664411366711,0.9329293721711539,0.0,0.0,0.0,0.0,0.9904431664411366,0.9904431664411366,False,False,0.0,True
re2ob_productcatalogservice_loss_1,loss,productcatalogservice,frontend::Convert+GetCart+GetQuote+GetSupportedCurrencies+ListRecommendations,frontend::Convert+GetCart+GetQuote+GetSupportedCurrencies+ListRecommendations,Convert+GetCart+GetQuote+GetSupportedCurrencies+ListRecommendations,0,12,,,,3119700.0,14405950.499999996,17331998.900000002,,0.0,0.016676904432999146,,,,,0.16666666666666666,,,,0.0,True,False,,False
re2ob_productcatalogservice_loss_1,loss,productcatalogservice,frontend::GetProduct,frontend::GetProduct,GetProduct,0,9,,,,1672.0,2181.7999999999997,2291.56,,0.0,0.01250767832474936,,,,,0.0,,,,0.0,True,False,,False
re2ob_productcatalogservice_loss_1,loss,productcatalogservice,frontend::GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,Place Order,GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,306,108,337358.5,891334.25,1105925.5499999998,4921276.5,19012225.55,30576024.259999998,21.330074043491543,0.4250005902785976,0.15009213989699233,0.013071895424836602,0.9166666666666666,0.9035947712418301,0.0,0.0,0.0,7.744548729873879e-52,0.9830549503752117,0.9830549503752117,False,False,2.3233646189621638e-51,True
re2ob_productcatalogservice_loss_1,loss,productcatalogservice,frontend::GetSupportedCurrencies+ListProducts,frontend::GetSupportedCurrencies+ListProducts,GetSupportedCurrencies+ListProducts,0,1,,,,23440.0,23440.0,23440.0,,0.0,0.0013897420360832623,,,,,0.0,,,,0.0,True,False,,False
re2ob_productcatalogservice_loss_1,loss,productcatalogservice,frontend::GetSupportedCurrencies+ListRecommendations+PlaceOrder,frontend::GetSupportedCurrencies+ListRecommendations+PlaceOrder,GetSupportedCurrencies+ListRecommendations+PlaceOrder,0,11,,,,677756.0,6658841.0,10982822.600000003,,0.0,0.015287162396915884,,,,,0.18181818181818182,,,,0.0,True,False,,False
re2ob_productcatalogservice_loss_1,loss,productcatalogservice,frontend::PlaceOrder,frontend::PlaceOrder,PlaceOrder,0,1,,,,10821.0,10821.0,10821.0,,0.0,0.0013897420360832623,,,,,0.0,,,,0.0,True,False,,False
re2ob_productcatalogservice_loss_1,loss,productcatalogservice,frontend::empty,frontend::empty,,812,384,306.5,735.4499999999999,1189.199999999999,363.0,789.0999999999998,1245.2000000000041,1.0729485349105987,1.127779344137978,0.5336609418559727,0.011083743842364532,0.013020833333333334,0.0019370894909688016,0.0,0.0,0.0,4.686805390186866e-06,0.16889239532019706,0.16889239532019706,False,False,4.686805390186866e-06,True
re2ob_productcatalogservice_loss_1,loss,productcatalogservice,direct::hipstershop.CurrencyService/Convert,hipstershop.CurrencyService/Convert (direct),Convert,1065,441,88978.0,101607.8,320189.71999998926,46722.0,136124.0,197695.60000000027,1.3397002985991233,1.479168721067668,0.6128762379127186,0.010328638497652582,0.009070294784580499,-0.0012583437130720826,0.0,0.0,0.0,6.484666759227675e-16,-0.26699668912948593,0.0,False,False,1.296933351845535e-15,False
