case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2ob_productcatalogservice_mem_1,mem,productcatalogservice,frontend::AddItem+GetProduct,Add To Cart,AddItem+GetProduct,953,626,8889.0,14639.199999999999,506143.04000000085,98173.0,2204073.25,2387811.0,150.55967880758513,1.3241094912112752,0.8694903342120834,0.01049317943336831,0.18370607028753994,0.17321289085417163,0.0,0.0,0.0,8.785502813835334e-233,0.9685556624615725,0.9685556624615725,False,False,4.392751406917667e-232,True
re2ob_productcatalogservice_mem_1,mem,productcatalogservice,frontend::Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Product Detail View,Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,4157,2665,175958.0,427899.9999999998,683000.679999994,3236924.0,5013846.8,6179620.160000009,11.717333021734055,5.775785052429455,3.701584250279876,0.010103439980755352,0.9669793621013133,0.9568759221205579,0.0,0.0,0.0,0.0,0.9945546312849187,0.9945546312849187,False,False,0.0,True
re2ob_productcatalogservice_mem_1,mem,productcatalogservice,frontend::Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,Home Page View,Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,984,588,656994.5,1253128.7499999995,1586225.7399999995,1879718.5,3167578.099999999,3756415.61,2.52773555789858,1.3671812585014638,0.8167097707934585,0.01016260162601626,0.6156462585034014,0.6054836568773851,0.0,0.0,0.0,2.69398370248362e-175,0.8504853160776507,0.8504853160776507,False,False,1.077593480993448e-174,True
re2ob_productcatalogservice_mem_1,mem,productcatalogservice,frontend::Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,Cart View,Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,1924,1198,301900.0,770206.7499999998,1061823.53,3126441.0,6072591.1,7806401.389999999,7.8843649448670785,2.673228395687821,1.6639767098819105,0.010395010395010396,0.9090150250417363,0.8986200146467258,0.0,0.0,0.0,0.0,0.9775101607321974,0.9775101607321974,False,False,0.0,True
re2ob_productcatalogservice_mem_1,mem,productcatalogservice,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,0,9,,,,3749965.0,4785420.2,4798451.24,,0.0,0.012500659757042733,,,,,0.0,,,,0.0,True,False,,False
re2ob_productcatalogservice_mem_1,mem,productcatalogservice,frontend::Convert+GetCart+GetQuote+GetSupportedCurrencies+ListRecommendations,frontend::Convert+GetCart+GetQuote+GetSupportedCurrencies+ListRecommendations,Convert+GetCart+GetQuote+GetSupportedCurrencies+ListRecommendations,0,1,,,,78227.0,78227.0,78227.0,,0.0,0.0013889621952269703,,,,,0.0,,,,0.0,True,False,,False
re2ob_productcatalogservice_mem_1,mem,productcatalogservice,frontend::GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,frontend::GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,0,1,,,,5319705.0,5319705.0,5319705.0,,0.0,0.0013889621952269703,,,,,0.0,,,,0.0,True,False,,False
re2ob_productcatalogservice_mem_1,mem,productcatalogservice,frontend::GetCart+GetSupportedCurrencies+ListRecommendations,frontend::GetCart+GetSupportedCurrencies+ListRecommendations,GetCart+GetSupportedCurrencies+ListRecommendations,0,2,,,,3969207.0,4196202.3,4216379.66,,0.0,0.0027779243904539406,,,,,0.0,,,,0.0,True,False,,False
re2ob_productcatalogservice_mem_1,mem,productcatalogservice,frontend::GetProduct,frontend::GetProduct,GetProduct,0,5,,,,3792397.0,4515313.8,4639161.96,,0.0,0.006944810976134852,,,,,0.0,,,,0.0,True,False,,False
re2ob_productcatalogservice_mem_1,mem,productcatalogservice,frontend::GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,Place Order,GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,318,202,392543.0,890126.95,1500581.13,3093307.5,5893235.299999999,7698866.280000001,6.620668321524249,0.44183296768644864,0.280570363435848,0.012578616352201259,0.9752475247524752,0.962668908400274,0.0,0.0,0.0,5.766418894567501e-81,0.9927766361541814,0.9927766361541814,False,False,1.7299256683702504e-80,True
