case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2ob_recommendationservice_cpu_1,cpu,recommendationservice,frontend::AddItem+GetProduct,Add To Cart,AddItem+GetProduct,990,984,6653.5,9625.25,554733.2100000001,6405.0,9540.099999999995,688590.839999999,0.9911534765330765,1.375,1.3666666666666667,0.010101010101010102,0.012195121951219513,0.0020941118502094107,0.0,0.0,0.0,2.6108468993753928e-12,-0.18441015849552433,0.0,False,False,1.3054234496876965e-11,False
re2ob_recommendationservice_cpu_1,cpu,recommendationservice,frontend::Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Product Detail View,Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,4208,4169,162696.5,380385.4999999998,770152.3300000011,219684.0,425210.8,809394.4799999996,1.1178417684165147,5.844444444444444,5.790277777777778,0.010218631178707225,0.014391940513312544,0.004173309334605319,0.0,0.0,0.0,2.3508410080310886e-161,0.3418381143821818,0.3418381143821818,False,False,1.645588705621762e-160,True
re2ob_recommendationservice_cpu_1,cpu,recommendationservice,frontend::Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,Home Page View,Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,981,956,615551.0,1289693.0,1677530.4000000013,565454.5,1154734.25,1659917.8000000066,0.8953559102825246,1.3625,1.3277777777777777,0.010193679918450561,0.010460251046025104,0.0002665711275745431,0.0,0.0,0.0,0.0003984811611648083,-0.0976332749009422,0.0,False,False,0.0011954434834944249,False
re2ob_recommendationservice_cpu_1,cpu,recommendationservice,frontend::Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,Cart View,Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,1924,1946,273497.5,769203.8999999997,1161104.98,365710.0,781564.0,1086421.75,1.0160686912793868,2.672222222222222,2.702777777777778,0.010395010395010396,0.008735868448098663,-0.0016591419469117324,0.0,0.0,0.0,1.8146490652438914e-19,0.16892586317046754,0.16892586317046754,False,False,1.0887894391463348e-18,True
re2ob_recommendationservice_cpu_1,cpu,recommendationservice,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies,Convert+GetCart+GetProduct+GetSupportedCurrencies,0,2,,,,276659.5,290344.45,291560.89,,0.0,0.002777777777777778,,,,,0.0,,,,0.0,True,False,,False
re2ob_recommendationservice_cpu_1,cpu,recommendationservice,frontend::Convert+GetCart+GetSupportedCurrencies+ListProducts,frontend::Convert+GetCart+GetSupportedCurrencies+ListProducts,Convert+GetCart+GetSupportedCurrencies+ListProducts,0,1,,,,791666.0,791666.0,791666.0,,0.0,0.001388888888888889,,,,,0.0,,,,0.0,True,False,,False
re2ob_recommendationservice_cpu_1,cpu,recommendationservice,frontend::GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,Place Order,GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,316,340,389718.0,896978.75,1370313.4000000046,401533.5,795379.95,1354303.6900000013,0.8867322107686497,0.4388888888888889,0.4722222222222222,0.012658227848101266,0.011764705882352941,-0.0008935219657483246,0.0,0.0,0.0,4.130408336077767e-06,0.21432427401340282,0.21432427401340282,False,False,1.6521633344311068e-05,True
re2ob_recommendationservice_cpu_1,cpu,recommendationservice,frontend::GetSupportedCurrencies,frontend::GetSupportedCurrencies,GetSupportedCurrencies,0,1,,,,276344.0,276344.0,276344.0,,0.0,0.001388888888888889,,,,,0.0,,,,0.0,True,False,,False
re2ob_recommendationservice_cpu_1,cpu,recommendationservice,frontend::empty,frontend::empty,,815,791,298.0,707.5999999999995,1321.3800000000006,300.0,738.5,1095.0000000000023,1.0436687394007922,1.1319444444444444,1.0986111111111112,0.011042944785276074,0.007585335018963337,-0.0034576097663127367,0.0,0.0,0.0,1.0,-0.01317273312495637,0.0,False,False,1.0,False
re2ob_recommendationservice_cpu_1,cpu,recommendationservice,direct::hipstershop.CurrencyService/Convert,hipstershop.CurrencyService/Convert (direct),Convert,1113,1148,89873.0,181217.59999999986,199740.9199999999,88618.0,101240.24999999996,194702.75999999998,0.5586667630517126,1.5458333333333334,1.5944444444444446,0.01078167115902965,0.004355400696864111,-0.006426270462165539,0.0,0.0,0.0,0.010965678716024066,-0.06746527419067028,0.0,False,False,0.021931357432048132,False
