case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2ob_recommendationservice_loss_1,loss,recommendationservice,frontend::AddItem+GetProduct,Add To Cart,AddItem+GetProduct,894,782,6556.0,9734.75,80516.66999999988,7671.0,97716.14999999998,752282.8199999963,10.037869488173808,1.2416666666666667,1.086123179146435,0.010067114093959731,0.0741687979539642,0.06410168386000446,0.0,0.0,0.0,1.2903420238304573e-57,0.45363520371673616,0.45363520371673616,False,False,6.451710119152287e-57,True
re2ob_recommendationservice_loss_1,loss,recommendationservice,frontend::Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Product Detail View,Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,4110,2777,161099.0,333446.29999999964,671463.1399999998,490734.0,9173922.199999992,16748702.199999915,27.51244263319162,5.708333333333333,3.8569872998588877,0.010218978102189781,0.44652502700756214,0.43630604890537233,0.0,0.0,0.0,0.0,0.553048021329184,0.553048021329184,False,False,0.0,True
re2ob_recommendationservice_loss_1,loss,recommendationservice,frontend::Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,Home Page View,Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,985,622,613464.0,1269602.0,1737284.3999999987,637572.5,1990853.0999999985,3644975.9799999977,1.5680922840386187,1.3680555555555556,0.8638984877609752,0.01015228426395939,0.07395498392282958,0.06380269965887019,0.0,0.0,0.0,0.12566352036712158,0.05502799223072774,0.05502799223072774,False,False,0.19888463649203145,False
re2ob_recommendationservice_loss_1,loss,recommendationservice,frontend::Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,Cart View,Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,1961,1177,268391.0,806668.0,1169537.4000000006,774925.0,5938055.4,15716154.600000001,7.36121353518424,2.723611111111111,1.634740386004289,0.010198878123406425,0.3644859813084112,0.3542871031850048,0.0,0.0,0.0,1.1008561496816661e-190,0.6276348004438288,0.6276348004438288,False,False,6.605136898089997e-190,True
re2ob_recommendationservice_loss_1,loss,recommendationservice,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies,Convert+GetCart+GetProduct+GetSupportedCurrencies,0,1,,,,113491.0,113491.0,113491.0,,0.0,0.001388904321159124,,,,,0.0,,,,0.0,True,False,,False
re2ob_recommendationservice_loss_1,loss,recommendationservice,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,0,9,,,,4375197.0,5196394.4,5238373.28,,0.0,0.012500138890432116,,,,,0.0,,,,0.0,True,False,,False
re2ob_recommendationservice_loss_1,loss,recommendationservice,frontend::Convert+GetCart+GetQuote+GetSupportedCurrencies+ListRecommendations,frontend::Convert+GetCart+GetQuote+GetSupportedCurrencies+ListRecommendations,Convert+GetCart+GetQuote+GetSupportedCurrencies+ListRecommendations,0,85,,,,156060.0,10412760.399999993,18497974.919999998,,0.0,0.11805686729852555,,,,,0.0,,,,0.0,True,False,,False
re2ob_recommendationservice_loss_1,loss,recommendationservice,frontend::GetCart+GetProduct+GetSupportedCurrencies,frontend::GetCart+GetProduct+GetSupportedCurrencies,GetCart+GetProduct+GetSupportedCurrencies,0,134,,,,9511.0,57678.24999999996,81897.37999999999,,0.0,0.18611317903532262,,,,,0.0,,,,0.0,True,False,,False
re2ob_recommendationservice_loss_1,loss,recommendationservice,frontend::GetCart+GetSupportedCurrencies,frontend::GetCart+GetSupportedCurrencies,GetCart+GetSupportedCurrencies,0,69,,,,6413.0,105827.1999999998,178827.0399999994,,0.0,0.09583439815997956,,,,,0.0,,,,0.0,True,False,,False
re2ob_recommendationservice_loss_1,loss,recommendationservice,frontend::GetCart+GetSupportedCurrencies+ListProducts,frontend::GetCart+GetSupportedCurrencies+ListProducts,GetCart+GetSupportedCurrencies+ListProducts,0,32,,,,10136.0,97509.3,121236.95000000004,,0.0,0.04444493827709197,,,,,0.0,,,,0.0,True,False,,False
re2ob_recommendationservice_loss_1,loss,recommendationservice,frontend::GetCart+GetSupportedCurrencies+ListRecommendations,frontend::GetCart+GetSupportedCurrencies+ListRecommendations,GetCart+GetSupportedCurrencies+ListRecommendations,0,6,,,,4405283.0,6328139.0,6752556.600000001,,0.0,0.008333425926954744,,,,,0.0,,,,0.0,True,False,,False
re2ob_recommendationservice_loss_1,loss,recommendationservice,frontend::GetProduct,frontend::GetProduct,GetProduct,0,223,,,,1409.0,1987.8999999999996,3889.8,,0.0,0.3097256636184847,,,,,0.0,,,,0.0,True,False,,False
re2ob_recommendationservice_loss_1,loss,recommendationservice,frontend::GetProduct+GetSupportedCurrencies,frontend::GetProduct+GetSupportedCurrencies,GetProduct+GetSupportedCurrencies,0,371,,,,4115.0,5305.0,7047.4000000000015,,0.0,0.515283503150035,,,,,0.0,,,,0.0,True,False,,False
re2ob_recommendationservice_loss_1,loss,recommendationservice,frontend::GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,Place Order,GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,302,93,390953.0,788071.6,986220.2700000008,992063.0,5445652.599999994,7193147.519999997,6.910098777826779,0.41944444444444445,0.12916810186779853,0.013245033112582781,0.5053763440860215,0.4921313109734387,0.0,0.0,0.0,2.908947255724153e-28,0.760093997009186,0.760093997009186,False,False,1.1635789022896612e-27,True
re2ob_recommendationservice_loss_1,loss,recommendationservice,frontend::GetSupportedCurrencies,frontend::GetSupportedCurrencies,GetSupportedCurrencies,0,255,,,,1359.0,2039.699999999999,2950.1200000000013,,0.0,0.35417060189557664,,,,,0.0,,,,0.0,True,False,,False
re2ob_recommendationservice_loss_1,loss,recommendationservice,frontend::GetSupportedCurrencies+ListProducts,frontend::GetSupportedCurrencies+ListProducts,GetSupportedCurrencies+ListProducts,0,57,,,,6117.0,63427.19999999952,239246.27999999968,,0.0,0.07916754630607008,,,,,0.0,,,,0.0,True,False,,False
re2ob_recommendationservice_loss_1,loss,recommendationservice,frontend::GetSupportedCurrencies+ListRecommendations+PlaceOrder,frontend::GetSupportedCurrencies+ListRecommendations+PlaceOrder,GetSupportedCurrencies+ListRecommendations+PlaceOrder,0,111,,,,485487.0,2079381.5,3776703.4000000013,,0.0,0.15416837964866278,,,,,0.0,,,,0.0,True,False,,False
re2ob_recommendationservice_loss_1,loss,recommendationservice,frontend::ListRecommendations+PlaceOrder,frontend::ListRecommendations+PlaceOrder,ListRecommendations+PlaceOrder,0,1,,,,5045739.0,5045739.0,5045739.0,,0.0,0.001388904321159124,,,,,0.0,,,,0.0,True,False,,False
re2ob_recommendationservice_loss_1,loss,recommendationservice,frontend::PlaceOrder,frontend::PlaceOrder,PlaceOrder,0,58,,,,9578.5,13497.999999999993,24385.959999999995,,0.0,0.0805564506272292,,,,,0.0,,,,0.0,True,False,,False
re2ob_recommendationservice_loss_1,loss,recommendationservice,frontend::empty,frontend::empty,,805,690,294.0,773.9999999999993,1415.960000000001,319.0,862.7499999999998,1251.9500000000007,1.1146640826873393,1.1180555555555556,0.9583439815997956,0.011180124223602485,0.008695652173913044,-0.0024844720496894415,0.0,0.0,0.0,0.09944231824601572,0.058799171842650155,0.058799171842650155,False,False,0.19888463649203145,False
re2ob_recommendationservice_loss_1,loss,recommendationservice,direct::hipstershop.CurrencyService/Convert,hipstershop.CurrencyService/Convert (direct),Convert,1052,808,89193.5,181370.65,245053.1500000008,91347.0,297630.14999999997,591463.16,1.641005035820294,1.461111111111111,1.1222346914965722,0.010456273764258554,0.08415841584158416,0.07370214207732562,0.0,0.0,0.0,4.094359016811912e-06,0.12828582050220239,0.12828582050220239,False,False,1.2283077050435736e-05,False
