case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2ob_recommendationservice_socket_1,socket,recommendationservice,frontend::AddItem+GetProduct,Add To Cart,AddItem+GetProduct,998,501,8055.0,10477.699999999999,16483.78999999909,8312.0,11060.0,302963.0,1.0555751739408459,1.386567522920739,0.695957059032717,0.01002004008016032,0.033932135728542916,0.023912095648382595,0.0,0.0,0.0,2.462486971911445e-07,0.16724866899467594,0.16724866899467594,False,False,9.84994788764578e-07,True
re2ob_recommendationservice_socket_1,socket,recommendationservice,frontend::Convert+GetAds,frontend::Convert+GetAds,Convert+GetAds,0,2,,,,186448.0,199863.4,201055.88,,0.0,0.0027782716927453772,,,,,0.0,,,,0.0,True,False,,False
re2ob_recommendationservice_socket_1,socket,recommendationservice,frontend::Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Product Detail View,Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,4367,2184,42485.0,117091.29999999999,459592.42000000284,239041.5,842847.3499999997,2805781.3100000108,7.198206442323211,6.067274922439747,3.0338726884779517,0.010075566750629723,0.16941391941391942,0.1593383526632897,0.0,0.0,0.0,0.0,0.94918484118736,0.94918484118736,False,False,0.0,True
re2ob_recommendationservice_socket_1,socket,recommendationservice,frontend::Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,Home Page View,Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,1048,507,152434.0,351724.4499999999,729035.9899999993,143616.0,328207.49999999994,621203.5199999999,0.9331381426568441,1.4560348336883113,0.7042918741109531,0.01049618320610687,0.005917159763313609,-0.004579023442793261,0.0,0.0,0.0,0.6202003501434235,-0.031714395410813445,0.0,False,False,0.6202003501434235,False
re2ob_recommendationservice_socket_1,socket,recommendationservice,frontend::Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,Cart View,Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,1941,974,89452.0,250157.0,388640.9999999994,260231.5,790551.8999999992,1565021.4099999985,3.1602229799685766,2.696721003997149,1.3530183143669987,0.010303967027305513,0.2731006160164271,0.2627966489891216,0.0,0.0,0.0,2.86097939775129e-307,0.8500344347152708,0.8500344347152708,False,False,1.7165876386507742e-306,True
re2ob_recommendationservice_socket_1,socket,recommendationservice,frontend::GetAds+GetProduct,frontend::GetAds+GetProduct,GetAds+GetProduct,0,3,,,,247552.0,255915.7,256659.14,,0.0,0.004167407539118066,,,,,0.0,,,,0.0,True,False,,False
re2ob_recommendationservice_socket_1,socket,recommendationservice,frontend::GetAds+GetProduct+ListRecommendations,frontend::GetAds+GetProduct+ListRecommendations,GetAds+GetProduct+ListRecommendations,0,2,,,,256515.0,290869.8,293923.56,,0.0,0.0027782716927453772,,,,,0.0,,,,0.0,True,False,,False
re2ob_recommendationservice_socket_1,socket,recommendationservice,frontend::GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,Place Order,GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,344,162,173256.5,289622.74999999994,1042103.9599999993,333245.0,841268.3499999993,1262004.8299999998,2.9047039640359724,0.47793509808089607,0.22504000711237554,0.011627906976744186,0.037037037037037035,0.02540913006029285,0.0,0.0,0.0,3.0735020439607976e-40,0.7341192937123169,0.7341192937123169,False,False,1.536751021980399e-39,True
re2ob_recommendationservice_socket_1,socket,recommendationservice,frontend::empty,frontend::empty,,828,422,317.0,753.7999999999997,1568.6900000000046,333.5,1277.1999999999998,316735.8600000007,1.694348633589812,1.150378666310994,0.5862153271692746,0.010869565217391304,0.04976303317535545,0.038893467957964147,0.0,0.0,0.0,0.010358587627492928,0.0965811525516862,0.0965811525516862,False,False,0.031075762882478784,False
re2ob_recommendationservice_socket_1,socket,recommendationservice,direct::hipstershop.CurrencyService/Convert,hipstershop.CurrencyService/Convert (direct),Convert,1180,598,4777.5,78763.25,83543.47,4496.5,78891.95,84355.87,1.0016340107854869,1.6394285341147015,0.8307032361308677,0.010169491525423728,0.015050167224080268,0.00488067569865654,0.0,0.0,0.0,0.11521612251658786,-0.055042231166033684,0.0,False,False,0.23043224503317572,False
