case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2ob_checkoutservice_delay_1,delay,checkoutservice,frontend::AddItem+GetProduct,Add To Cart,AddItem+GetProduct,1047,994,8401.0,13686.299999999987,54932.43999999997,8368.5,12995.59999999999,52711.789999999964,0.9495334750809205,1.4541666666666666,1.3805555555555555,0.010506208213944603,0.008048289738430584,-0.0024579184755140187,0.0,0.0,0.0,1.0,-0.01193695122021532,0.0,False,False,1.0,False
re2ob_checkoutservice_delay_1,delay,checkoutservice,frontend::Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Product Detail View,Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,4377,4294,44121.0,121757.59999999998,471683.4399999979,43931.5,115067.0,201293.5199999993,0.9450498367247714,6.079166666666667,5.963888888888889,0.010052547406899703,0.00535631113181183,-0.004696236275087873,0.0,0.0,0.0,1.0,-0.004072980038455243,0.0,False,False,1.0,False
re2ob_checkoutservice_delay_1,delay,checkoutservice,frontend::Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,Home Page View,Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,1005,980,137209.0,308009.9999999999,741626.1600000025,135068.5,289123.9,419920.59000000014,0.9386834843024582,1.3958333333333333,1.3611111111111112,0.010945273631840797,0.0020408163265306124,-0.008904457305310184,0.0,0.0,0.0,1.0,-0.011425525434054173,0.0,False,False,1.0,False
re2ob_checkoutservice_delay_1,delay,checkoutservice,frontend::Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,Cart View,Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,2042,1995,81125.5,230076.1999999999,437166.3299999989,77841.0,237311.8,354869.0799999998,1.0314487113399826,2.8361111111111112,2.7708333333333335,0.01028403525954946,0.007518796992481203,-0.002765238267068258,0.0,0.0,0.0,0.5059036496122442,-0.020780403506317158,0.0,False,False,1.0,False
re2ob_checkoutservice_delay_1,delay,checkoutservice,frontend::Convert+GetCart+GetSupportedCurrencies+ListProducts,frontend::Convert+GetCart+GetSupportedCurrencies+ListProducts,Convert+GetCart+GetSupportedCurrencies+ListProducts,0,1,,,,213289.0,213289.0,213289.0,,0.0,0.001388888888888889,,,,,0.0,,,,0.0,True,False,,False
re2ob_checkoutservice_delay_1,delay,checkoutservice,frontend::GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,Place Order,GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,359,354,135139.0,272634.8,502952.60000000015,2487416.5,4160783.3,4605346.129999998,15.261380058598535,0.4986111111111111,0.49166666666666664,0.011142061281337047,1.0,0.9888579387186629,0.0,0.0,0.0,7.745903461246271e-118,1.0,1.0,False,False,4.647542076747763e-117,True
re2ob_checkoutservice_delay_1,delay,checkoutservice,frontend::PlaceOrder,frontend::PlaceOrder,PlaceOrder,0,1,,,,1902559.0,1902559.0,1902559.0,,0.0,0.001388888888888889,,,,,0.0,,,,0.0,True,False,,False
re2ob_checkoutservice_delay_1,delay,checkoutservice,frontend::empty,frontend::empty,,836,834,347.5,1061.25,1914.3499999999972,355.0,1050.7999999999993,1835.0399999999995,0.9901531213191984,1.1611111111111112,1.1583333333333334,0.01076555023923445,0.007194244604316547,-0.0035713056349179033,0.0,0.0,0.0,0.6639122401686535,0.027423037646437942,0.027423037646437942,False,False,1.0,False
re2ob_checkoutservice_delay_1,delay,checkoutservice,direct::hipstershop.CurrencyService/Convert,hipstershop.CurrencyService/Convert (direct),Convert,1221,1189,5119.0,70901.0,81289.0,205186.0,258805.19999999998,275387.16,3.650233424070182,1.6958333333333333,1.6513888888888888,0.009828009828009828,1.0,0.9901719901719902,0.0,0.0,0.0,0.0,0.9983991943621884,0.9983991943621884,False,False,0.0,True
re2ob_checkoutservice_delay_2,delay,checkoutservice,frontend::AddItem+GetProduct,Add To Cart,AddItem+GetProduct,992,981,8125.0,12573.699999999999,53734.12000000005,8194.0,12497.0,52894.600000000035,0.9938999658016336,1.3777777777777778,1.3625018923637393,0.010080645161290322,0.009174311926605505,-0.0009063332346848172,0.0,0.0,0.0,0.05878199214409395,0.05664068922429388,0.05664068922429388,False,False,0.29390996072046977,False
