case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,frontend::AddItem+GetProduct,Add To Cart,AddItem+GetProduct,1008,982,7704.0,10403.85,52884.739999998594,7740.0,10422.9,19858.19999999989,1.001831052927522,1.400126400300027,1.3639457199605538,0.0109126984126984,0.0040733197556008,-0.0068393786570975,0.0,0.0,0.0,1.0,0.0130311883748748,0.0130311883748748,False,False,1.0,False
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,frontend::Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Product Detail View,Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,4244,4228,166398.0,387227.75,674710.8099999988,160847.5,391786.8999999994,642485.7099999983,1.0117738204454598,5.894976629834638,5.872466908343403,0.0101319509896324,0.0089877010406811,-0.0011442499489512,0.0,0.0,0.0,0.0079205320351695,-0.0361487573976104,0.0,False,False,0.0475231922110171,False
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,frontend::Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,Home Page View,Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,933,967,590747.0,1152618.8,1560697.96,578048.0,1246693.399999998,1525121.7200000016,1.0816181377572516,1.2959503288491323,1.3431115185354945,0.0107181136120042,0.0093071354705274,-0.0014109781414768,0.0,0.0,0.0,0.8655233545995558,-0.0207911453085808,0.0,False,False,1.0,False
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,frontend::Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,Cart View,Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,1908,1880,292091.0,769221.1999999998,1145822.29,266226.0,761595.9999999999,1126612.0600000017,0.9900871166837316,2.6502392577107656,2.611219911940775,0.010482180293501,0.0101063829787234,-0.0003757973147776,0.0,0.0,0.0,4.775767481151703e-05,-0.0792823609438422,0.0,False,False,0.0003343037236806,False
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies,Convert+GetCart+GetProduct+GetSupportedCurrencies,0,1,,,,146592.0,146592.0,146592.0,,0.0,0.0013889467616706,,,,,0.0,,,,0.0,True,False,,False
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,frontend::Convert+GetCart+GetSupportedCurrencies+ListProducts,frontend::Convert+GetCart+GetSupportedCurrencies+ListProducts,Convert+GetCart+GetSupportedCurrencies+ListProducts,0,1,,,,568719.0,568719.0,568719.0,,0.0,0.0013889467616706,,,,,0.0,,,,0.0,True,False,,False
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,frontend::GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,Place Order,GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,333,336,390111.0,994442.0,1199649.72,392491.0,895235.75,1264590.8999999978,0.9002392799177832,0.4625417572419733,0.46668611192133,0.012012012012012,0.0148809523809523,0.0028689403689403,0.0,0.0,0.0,0.3957002047508453,0.0575396825396825,0.0575396825396825,False,False,1.0,False
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,frontend::empty,frontend::empty,,766,787,300.5,708.0,1223.3000000000036,301.0,689.0999999999998,1012.3799999999998,0.9733050847457624,1.0639849430851398,1.093101101434782,0.010443864229765,0.0063532401524777,-0.0040906240772872,0.0,0.0,0.0,0.6519234641075773,0.0287952730566218,0.0287952730566218,False,False,1.0,False
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,direct::hipstershop.CurrencyService/Convert,hipstershop.CurrencyService/Convert (direct),Convert,1195,1129,89208.0,188625.1,292051.17999999993,75280.0,180432.2,392136.16,0.9565651655055452,1.6598720717842583,1.5681208939261355,0.0100418410041841,0.0150575730735163,0.0050157320693322,0.0,0.0,0.0,0.008744389092817,-0.0683071996916588,0.0,False,False,0.0475231922110171,False
re2ob_checkoutservice_cpu_2,cpu,checkoutservice,frontend::AddItem+GetProduct,Add To Cart,AddItem+GetProduct,953,55,8444.0,15247.799999999992,47628.08000000001,8094.0,16013.99999999996,47426.06000000002,1.050249872112696,1.323611111111111,1.4263115583102095,0.0104931794333683,0.0181818181818181,0.0076886387484498,0.0,0.0,0.0,0.0365705361708998,-0.1890489363731756,0.0,True,True,,False
