case,journey_type_id,journey_label,signature_str,n_traces
re2ob_checkoutservice_loss_2,frontend::AddItem+GetProduct,Add To Cart,AddItem+GetProduct,2046
re2ob_checkoutservice_loss_2,frontend::Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Product Detail View,Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,8691
re2ob_checkoutservice_loss_2,frontend::Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,Home Page View,Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,1974
re2ob_checkoutservice_loss_2,frontend::Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,Cart View,Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,4048
re2ob_checkoutservice_loss_2,frontend::Convert+GetCart+GetSupportedCurrencies+ListProducts,frontend::Convert+GetCart+GetSupportedCurrencies+ListProducts,Convert+GetCart+GetSupportedCurrencies+ListProducts,1
re2ob_checkoutservice_loss_2,frontend::GetCart+GetProduct+GetSupportedCurrencies,frontend::GetCart+GetProduct+GetSupportedCurrencies,GetCart+GetProduct+GetSupportedCurrencies,1
re2ob_checkoutservice_loss_2,frontend::GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,Place Order,GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,653
re2ob_checkoutservice_loss_2,frontend::PlaceOrder,frontend::PlaceOrder,PlaceOrder,1
re2ob_checkoutservice_loss_2,frontend::empty,frontend::empty,(empty),1569
re2ob_checkoutservice_loss_2,direct::hipstershop.CurrencyService/Convert,hipstershop.CurrencyService/Convert (direct),Convert,2336
