case,journey_type_id,journey_label,signature_str,n_traces
re2ob_currencyservice_disk_2,frontend::AddItem+GetProduct,Add To Cart,AddItem+GetProduct,1972
re2ob_currencyservice_disk_2,frontend::Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Product Detail View,Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,8596
re2ob_currencyservice_disk_2,frontend::Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,Home Page View,Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,1919
re2ob_currencyservice_disk_2,frontend::Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,Cart View,Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,3922
re2ob_currencyservice_disk_2,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies,Convert+GetCart+GetProduct+GetSupportedCurrencies,1
re2ob_currencyservice_disk_2,frontend::GetCart+GetProduct+GetSupportedCurrencies,frontend::GetCart+GetProduct+GetSupportedCurrencies,GetCart+GetProduct+GetSupportedCurrencies,1
re2ob_currencyservice_disk_2,frontend::GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,Place Order,GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,661
re2ob_currencyservice_disk_2,frontend::PlaceOrder,frontend::PlaceOrder,PlaceOrder,1
re2ob_currencyservice_disk_2,frontend::empty,frontend::empty,(empty),1581
re2ob_currencyservice_disk_2,direct::hipstershop.CurrencyService/Convert,hipstershop.CurrencyService/Convert (direct),Convert,2261
