case,journey_type_id,journey_label,signature_str,n_traces
re2ob_productcatalogservice_loss_1,frontend::AddItem+GetProduct,Add To Cart,AddItem+GetProduct,1295
re2ob_productcatalogservice_loss_1,frontend::Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Product Detail View,Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,5742
re2ob_productcatalogservice_loss_1,frontend::Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,Home Page View,Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,1358
re2ob_productcatalogservice_loss_1,frontend::Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,Cart View,Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,2595
re2ob_productcatalogservice_loss_1,frontend::Convert+GetCart+GetQuote+GetSupportedCurrencies+ListRecommendations,frontend::Convert+GetCart+GetQuote+GetSupportedCurrencies+ListRecommendations,Convert+GetCart+GetQuote+GetSupportedCurrencies+ListRecommendations,12
re2ob_productcatalogservice_loss_1,frontend::GetProduct,frontend::GetProduct,GetProduct,9
re2ob_productcatalogservice_loss_1,frontend::GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,Place Order,GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,414
re2ob_productcatalogservice_loss_1,frontend::GetSupportedCurrencies+ListProducts,frontend::GetSupportedCurrencies+ListProducts,GetSupportedCurrencies+ListProducts,1
re2ob_productcatalogservice_loss_1,frontend::GetSupportedCurrencies+ListRecommendations+PlaceOrder,frontend::GetSupportedCurrencies+ListRecommendations+PlaceOrder,GetSupportedCurrencies+ListRecommendations+PlaceOrder,11
re2ob_productcatalogservice_loss_1,frontend::PlaceOrder,frontend::PlaceOrder,PlaceOrder,1
re2ob_productcatalogservice_loss_1,frontend::empty,frontend::empty,(empty),1196
re2ob_productcatalogservice_loss_1,orphaned::hipstershop.CurrencyService/Convert,hipstershop.CurrencyService/Convert (orphaned root),Convert,1506
