case,journey_type_id,journey_label,signature_str,n_traces
re2ob_productcatalogservice_mem_3,frontend::AddItem+GetProduct,Add To Cart,AddItem+GetProduct,1339
re2ob_productcatalogservice_mem_3,frontend::Convert+GetAds,frontend::Convert+GetAds,Convert+GetAds,2
re2ob_productcatalogservice_mem_3,frontend::Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Product Detail View,Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,5781
re2ob_productcatalogservice_mem_3,frontend::Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,Home Page View,Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,1338
re2ob_productcatalogservice_mem_3,frontend::Convert+GetAds+GetCart+ListProducts,frontend::Convert+GetAds+GetCart+ListProducts,Convert+GetAds+GetCart+ListProducts,2
re2ob_productcatalogservice_mem_3,frontend::Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,Cart View,Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,2786
re2ob_productcatalogservice_mem_3,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies,Convert+GetCart+GetProduct+GetSupportedCurrencies,1
re2ob_productcatalogservice_mem_3,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,29
re2ob_productcatalogservice_mem_3,frontend::Convert+GetProduct+GetQuote,frontend::Convert+GetProduct+GetQuote,Convert+GetProduct+GetQuote,9
re2ob_productcatalogservice_mem_3,frontend::Convert+GetProduct+GetQuote+ListRecommendations,frontend::Convert+GetProduct+GetQuote+ListRecommendations,Convert+GetProduct+GetQuote+ListRecommendations,3
re2ob_productcatalogservice_mem_3,frontend::GetAds+GetProduct,frontend::GetAds+GetProduct,GetAds+GetProduct,11
re2ob_productcatalogservice_mem_3,frontend::GetAds+GetProduct+ListRecommendations,frontend::GetAds+GetProduct+ListRecommendations,GetAds+GetProduct+ListRecommendations,9
re2ob_productcatalogservice_mem_3,frontend::GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,Place Order,GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,439
re2ob_productcatalogservice_mem_3,frontend::ListRecommendations+PlaceOrder,frontend::ListRecommendations+PlaceOrder,ListRecommendations+PlaceOrder,1
re2ob_productcatalogservice_mem_3,frontend::PlaceOrder,frontend::PlaceOrder,PlaceOrder,1
re2ob_productcatalogservice_mem_3,frontend::empty,frontend::empty,(empty),1117
re2ob_productcatalogservice_mem_3,direct::hipstershop.CurrencyService/Convert,hipstershop.CurrencyService/Convert (direct),Convert,1543
