case,journey_type_id,journey_label,signature_str,n_traces
re2ob_recommendationservice_loss_1,frontend::AddItem+GetProduct,Add To Cart,AddItem+GetProduct,1676
re2ob_recommendationservice_loss_1,frontend::Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Product Detail View,Convert+GetAds+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,6887
re2ob_recommendationservice_loss_1,frontend::Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,Home Page View,Convert+GetAds+GetCart+GetSupportedCurrencies+ListProducts,1607
re2ob_recommendationservice_loss_1,frontend::Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,Cart View,Convert+GetCart+GetProduct+GetQuote+GetSupportedCurrencies+ListRecommendations,3138
re2ob_recommendationservice_loss_1,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies,Convert+GetCart+GetProduct+GetSupportedCurrencies,1
re2ob_recommendationservice_loss_1,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,frontend::Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,Convert+GetCart+GetProduct+GetSupportedCurrencies+ListRecommendations,9
re2ob_recommendationservice_loss_1,frontend::Convert+GetCart+GetQuote+GetSupportedCurrencies+ListRecommendations,frontend::Convert+GetCart+GetQuote+GetSupportedCurrencies+ListRecommendations,Convert+GetCart+GetQuote+GetSupportedCurrencies+ListRecommendations,85
re2ob_recommendationservice_loss_1,frontend::GetCart+GetProduct+GetSupportedCurrencies,frontend::GetCart+GetProduct+GetSupportedCurrencies,GetCart+GetProduct+GetSupportedCurrencies,134
re2ob_recommendationservice_loss_1,frontend::GetCart+GetSupportedCurrencies,frontend::GetCart+GetSupportedCurrencies,GetCart+GetSupportedCurrencies,69
re2ob_recommendationservice_loss_1,frontend::GetCart+GetSupportedCurrencies+ListProducts,frontend::GetCart+GetSupportedCurrencies+ListProducts,GetCart+GetSupportedCurrencies+ListProducts,32
re2ob_recommendationservice_loss_1,frontend::GetCart+GetSupportedCurrencies+ListRecommendations,frontend::GetCart+GetSupportedCurrencies+ListRecommendations,GetCart+GetSupportedCurrencies+ListRecommendations,6
re2ob_recommendationservice_loss_1,frontend::GetProduct,frontend::GetProduct,GetProduct,223
re2ob_recommendationservice_loss_1,frontend::GetProduct+GetSupportedCurrencies,frontend::GetProduct+GetSupportedCurrencies,GetProduct+GetSupportedCurrencies,371
re2ob_recommendationservice_loss_1,frontend::GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,Place Order,GetProduct+GetSupportedCurrencies+ListRecommendations+PlaceOrder,395
re2ob_recommendationservice_loss_1,frontend::GetSupportedCurrencies,frontend::GetSupportedCurrencies,GetSupportedCurrencies,255
re2ob_recommendationservice_loss_1,frontend::GetSupportedCurrencies+ListProducts,frontend::GetSupportedCurrencies+ListProducts,GetSupportedCurrencies+ListProducts,57
re2ob_recommendationservice_loss_1,frontend::GetSupportedCurrencies+ListRecommendations+PlaceOrder,frontend::GetSupportedCurrencies+ListRecommendations+PlaceOrder,GetSupportedCurrencies+ListRecommendations+PlaceOrder,111
re2ob_recommendationservice_loss_1,frontend::ListRecommendations+PlaceOrder,frontend::ListRecommendations+PlaceOrder,ListRecommendations+PlaceOrder,1
re2ob_recommendationservice_loss_1,frontend::PlaceOrder,frontend::PlaceOrder,PlaceOrder,58
re2ob_recommendationservice_loss_1,frontend::empty,frontend::empty,(empty),1495
re2ob_recommendationservice_loss_1,direct::hipstershop.CurrencyService/Convert,hipstershop.CurrencyService/Convert (direct),Convert,1860
