case,fault_type,source,target,graph_distance,direct_edge,path_count,edge_calls,source_impaired,target_impaired,target_median_ratio,target_p95_ratio,target_impairment_score
re2ob_checkoutservice_delay_1,delay,checkoutservice,emailservice,1,True,1,713,True,False,1.0268948655256724,0.9669714900484132,0.2689486552567244
re2ob_checkoutservice_delay_1,delay,checkoutservice,currencyservice,1,True,1,2409,True,False,1.0425531914893618,1.2076730608840691,0.6922435362802304
re2ob_checkoutservice_delay_1,delay,checkoutservice,paymentservice,1,True,1,713,True,False,1.0364145658263306,0.426771949614589,0.36414565826330625
re2ob_checkoutservice_delay_1,delay,checkoutservice,productcatalogservice,1,True,1,1697,True,False,1.0833333333333333,1.1304347826086956,0.8333333333333326
re2ob_checkoutservice_delay_2,delay,checkoutservice,emailservice,1,True,1,713,True,False,0.230392156862745,0.8301617507136063,0.0
re2ob_checkoutservice_delay_2,delay,checkoutservice,currencyservice,1,True,1,2409,True,False,1.0142857142857142,0.9944099378881988,0.14285714285714235
re2ob_checkoutservice_delay_2,delay,checkoutservice,paymentservice,1,True,1,713,True,False,0.3428571428571428,0.9978308026030368,0.0
re2ob_checkoutservice_delay_2,delay,checkoutservice,productcatalogservice,1,True,1,1697,True,False,1.0,0.9777777777777776,0.0
re2ob_checkoutservice_delay_3,delay,checkoutservice,emailservice,1,True,1,713,True,True,3.8867924528301887,1.7802085113655783,28.867924528301884
re2ob_checkoutservice_delay_3,delay,checkoutservice,currencyservice,1,True,1,2409,True,False,1.006993006993007,1.11624003357113,0.3874667785704333
re2ob_checkoutservice_delay_3,delay,checkoutservice,paymentservice,1,True,1,713,True,False,1.0056179775280898,0.745886654478975,0.0561797752808979
re2ob_checkoutservice_delay_3,delay,checkoutservice,productcatalogservice,1,True,1,1697,True,False,1.0,0.96,0.0
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,emailservice,1,True,1,713,True,False,1.0833333333333333,0.8401116427432217,0.8333333333333326
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,currencyservice,1,True,1,2409,True,False,0.9690721649484536,0.9304300191728292,0.0
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,paymentservice,1,True,1,713,True,True,1.041899441340782,2.4381701215153697,4.793900405051232
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,productcatalogservice,1,True,1,1697,True,False,1.0,1.173913043478261,0.5797101449275366
re2ob_checkoutservice_cpu_2,cpu,checkoutservice,emailservice,1,True,1,713,True,True,4.255813953488372,1.708327462308015,32.558139534883715
re2ob_checkoutservice_cpu_2,cpu,checkoutservice,currencyservice,1,True,1,2409,True,False,1.0491803278688523,1.1411795407098124,0.4918032786885229
re2ob_checkoutservice_cpu_2,cpu,checkoutservice,paymentservice,1,True,1,713,True,True,1.2227722772277227,2.350783182192892,4.502610607309641
re2ob_checkoutservice_cpu_2,cpu,checkoutservice,productcatalogservice,1,True,1,1697,True,False,1.0,1.0833333333333333,0.27777777777777757
re2ob_checkoutservice_cpu_3,cpu,checkoutservice,emailservice,1,True,1,713,True,False,1.0047732696897376,1.1849832214765104,0.6166107382550345
re2ob_checkoutservice_cpu_3,cpu,checkoutservice,currencyservice,1,True,1,2409,True,False,1.0148148148148148,1.0415887850467294,0.14814814814814836
re2ob_checkoutservice_cpu_3,cpu,checkoutservice,paymentservice,1,True,1,713,True,False,1.0103896103896104,0.4383918079570265,0.10389610389610393
re2ob_checkoutservice_cpu_3,cpu,checkoutservice,productcatalogservice,1,True,1,1697,True,False,1.0,1.0357142857142858,0.11904761904761937
