case,fault_type,source,target,graph_distance,direct_edge,n_baseline,n_fault,p_value_raw,effect_size,fail_rate_delta,insufficient_data,p_value,propagated
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,currencyservice,1,True,27525,27507,1.313606989362909e-05,-0.02218502386330068,0.0,False,5.254427957451636e-05,False
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,emailservice,1,True,621,624,0.0002622673767083013,0.12519612700772131,0.0,False,0.0007868021301249038,False
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,paymentservice,1,True,477,480,0.14264836116143687,-0.06735237596086652,0.0,False,0.14264836116143687,False
re2ob_checkoutservice_cpu_1,cpu,checkoutservice,productcatalogservice,1,True,50036,49536,0.0007063914685765336,-0.01303761590427499,0.0,False,0.0014127829371530672,False
re2ob_checkoutservice_cpu_2,cpu,checkoutservice,currencyservice,1,True,26000,1575,0.00014588338214217026,0.0594242246642247,0.0,True,,False
re2ob_checkoutservice_cpu_2,cpu,checkoutservice,emailservice,1,True,622,30,1.0,5.3590568060091215e-05,0.0,True,,False
re2ob_checkoutservice_cpu_2,cpu,checkoutservice,paymentservice,1,True,489,24,0.7192376010821224,-0.11077027948193596,0.0,True,,False
re2ob_checkoutservice_cpu_2,cpu,checkoutservice,productcatalogservice,1,True,48178,2761,1.0,-0.004486456410008777,0.0,True,,False
re2ob_checkoutservice_cpu_3,cpu,checkoutservice,currencyservice,1,True,28694,28725,2.586040753787556e-59,0.07846518435909955,0.0,False,1.0344163015150223e-58,False
re2ob_checkoutservice_cpu_3,cpu,checkoutservice,emailservice,1,True,607,601,1.0,-0.011554054609697717,0.0,False,1.0,False
re2ob_checkoutservice_cpu_3,cpu,checkoutservice,paymentservice,1,True,463,457,0.6104751063772995,0.03905648160838604,0.0,False,1.0,False
re2ob_checkoutservice_cpu_3,cpu,checkoutservice,productcatalogservice,1,True,51270,52440,8.49339376560834e-18,0.031010726851473658,0.0,False,2.548018129682502e-17,False
re2ob_checkoutservice_delay_1,delay,checkoutservice,currencyservice,1,True,28562,28099,2.238353345161968e-05,0.021309091504093214,0.0,False,8.953413380647871e-05,False
re2ob_checkoutservice_delay_1,delay,checkoutservice,emailservice,1,True,647,642,1.0,0.019149007882053315,0.0,False,1.0,False
re2ob_checkoutservice_delay_1,delay,checkoutservice,paymentservice,1,True,503,498,1.0,0.0001876292446125749,0.0,False,1.0,False
re2ob_checkoutservice_delay_1,delay,checkoutservice,productcatalogservice,1,True,51948,50963,0.0031130907046715848,0.011357732704592172,0.0,False,0.009339272114014755,False
re2ob_checkoutservice_delay_2,delay,checkoutservice,currencyservice,1,True,28806,28193,0.020204061147623797,0.012441416253479831,0.0,False,0.06061218344287139,False
re2ob_checkoutservice_delay_2,delay,checkoutservice,emailservice,1,True,602,592,1.0,-0.0011504444643979372,0.0,False,1.0,False
re2ob_checkoutservice_delay_2,delay,checkoutservice,paymentservice,1,True,458,449,0.05754284517450588,0.08388850526643399,0.0,False,0.11508569034901175,False
re2ob_checkoutservice_delay_2,delay,checkoutservice,productcatalogservice,1,True,51951,50169,1.4387697674239824e-40,0.048245418100149484,0.0,False,5.7550790696959295e-40,False
re2ob_checkoutservice_delay_3,delay,checkoutservice,currencyservice,1,True,29071,28110,0.001074211804779354,0.016716986311840154,0.0,False,0.004296847219117416,False
re2ob_checkoutservice_delay_3,delay,checkoutservice,emailservice,1,True,601,633,0.1298913475606257,0.06070977018292312,0.0,False,0.3896740426818771,False
re2ob_checkoutservice_delay_3,delay,checkoutservice,paymentservice,1,True,457,489,1.0,-0.021635723331230206,0.0,False,1.0,False
re2ob_checkoutservice_delay_3,delay,checkoutservice,productcatalogservice,1,True,51779,50884,0.541668133840415,0.003957370258840465,0.0,False,1.0,False
