window,serviceName,spans
-720.0,checkoutservice,66
-720.0,currencyservice,448
-720.0,emailservice,8
-720.0,frontendservice,1476
-720.0,paymentservice,6
-720.0,productcatalogservice,718
-720.0,recommendationservice,184
-710.0,checkoutservice,62
-710.0,currencyservice,422
-710.0,emailservice,8
-710.0,frontendservice,1335
-710.0,paymentservice,6
-710.0,productcatalogservice,631
-710.0,recommendationservice,160
-700.0,checkoutservice,84
-700.0,currencyservice,393
-700.0,emailservice,8
-700.0,frontendservice,1204
-700.0,paymentservice,6
-700.0,productcatalogservice,577
-700.0,recommendationservice,146
-690.0,checkoutservice,62
-690.0,currencyservice,390
-690.0,emailservice,8
-690.0,frontendservice,1591
-690.0,paymentservice,6
-690.0,productcatalogservice,840
-690.0,recommendationservice,218
-680.0,checkoutservice,4
-680.0,currencyservice,302
-680.0,emailservice,4
-680.0,frontendservice,1145
-680.0,paymentservice,2
-680.0,productcatalogservice,563
-680.0,recommendationservice,154
-670.0,checkoutservice,94
-670.0,currencyservice,381
-670.0,emailservice,11
-670.0,frontendservice,1333
-670.0,paymentservice,9
-670.0,productcatalogservice,674
-670.0,recommendationservice,176
-660.0,checkoutservice,48
-660.0,currencyservice,389
-660.0,emailservice,7
-660.0,frontendservice,1456
-660.0,paymentservice,5
-660.0,productcatalogservice,729
-660.0,recommendationservice,192
-650.0,checkoutservice,110
-650.0,currencyservice,420
-650.0,emailservice,12
-650.0,frontendservice,1539
-650.0,paymentservice,10
-650.0,productcatalogservice,801
-650.0,recommendationservice,210
-640.0,checkoutservice,28
-640.0,currencyservice,361
-640.0,emailservice,5
-640.0,frontendservice,1328
-640.0,paymentservice,3
-640.0,productcatalogservice,650
-640.0,recommendationservice,174
-630.0,checkoutservice,100
-630.0,currencyservice,416
-630.0,emailservice,10
-630.0,frontendservice,1495
-630.0,paymentservice,8
-630.0,productcatalogservice,780
-630.0,recommendationservice,202
-620.0,checkoutservice,86
-620.0,currencyservice,391
-620.0,emailservice,11
-620.0,frontendservice,1478
-620.0,paymentservice,9
-620.0,productcatalogservice,759
-620.0,recommendationservice,200
-610.0,checkoutservice,50
-610.0,currencyservice,331
-610.0,emailservice,8
-610.0,frontendservice,1280
-610.0,paymentservice,6
-610.0,productcatalogservice,657
-610.0,recommendationservice,176
-600.0,checkoutservice,112
-600.0,currencyservice,443
-600.0,emailservice,12
-600.0,frontendservice,1569
-600.0,paymentservice,10
-600.0,productcatalogservice,794
-600.0,recommendationservice,206
-590.0,checkoutservice,46
-590.0,currencyservice,358
-590.0,emailservice,8
-590.0,frontendservice,1329
-590.0,paymentservice,6
-590.0,productcatalogservice,647
-590.0,recommendationservice,174
-580.0,checkoutservice,66
-580.0,currencyservice,388
-580.0,emailservice,8
-580.0,frontendservice,1356
-580.0,paymentservice,6
-580.0,productcatalogservice,676
-580.0,recommendationservice,178
-570.0,checkoutservice,64
-570.0,currencyservice,397
-570.0,emailservice,8
-570.0,frontendservice,1539
-570.0,paymentservice,6
-570.0,productcatalogservice,799
-570.0,recommendationservice,208
-560.0,checkoutservice,28
-560.0,currencyservice,363
-560.0,emailservice,6
-560.0,frontendservice,1283
-560.0,paymentservice,4
-560.0,productcatalogservice,612
-560.0,recommendationservice,162
-550.0,checkoutservice,106
-550.0,currencyservice,473
-550.0,emailservice,12
-550.0,frontendservice,1663
-550.0,paymentservice,10
-550.0,productcatalogservice,841
-550.0,recommendationservice,216
-540.0,checkoutservice,82
-540.0,currencyservice,352
-540.0,emailservice,10
-540.0,frontendservice,1283
-540.0,paymentservice,8
-540.0,productcatalogservice,658
-540.0,recommendationservice,178
-530.0,checkoutservice,68
-530.0,currencyservice,395
-530.0,emailservice,9
-530.0,frontendservice,1308
-530.0,paymentservice,7
-530.0,productcatalogservice,618
-530.0,recommendationservice,164
-520.0,checkoutservice,22
-520.0,currencyservice,350
-520.0,emailservice,5
-520.0,frontendservice,1261
-520.0,paymentservice,3
-520.0,productcatalogservice,612
-520.0,recommendationservice,164
-510.0,checkoutservice,70
-510.0,currencyservice,349
-510.0,emailservice,10
-510.0,frontendservice,1406
-510.0,paymentservice,8
-510.0,productcatalogservice,734
-510.0,recommendationservice,198
-500.0,checkoutservice,16
-500.0,currencyservice,335
-500.0,emailservice,5
-500.0,frontendservice,1282
-500.0,paymentservice,3
-500.0,productcatalogservice,650
-500.0,recommendationservice,172
-490.0,checkoutservice,38
-490.0,currencyservice,341
-490.0,emailservice,6
-490.0,frontendservice,1235
-490.0,paymentservice,4
-490.0,productcatalogservice,603
-490.0,recommendationservice,160
-480.0,checkoutservice,102
