case,service,fault_type,capability_id,capability,magnitude,value_per_min,weighted_magnitude
re2tt_ts-auth-service_cpu_1,ts-auth-service,cpu,ticket_reservation,Ticket Reservation,0.0,100.0,0.0
re2tt_ts-auth-service_cpu_1,ts-auth-service,cpu,payment_processing,Payment Processing,0.0,100.0,0.0
re2tt_ts-auth-service_cpu_1,ts-auth-service,cpu,user_authentication,User Authentication,0.9347536657591824,70.0,65.43275660314276
re2tt_ts-auth-service_cpu_1,ts-auth-service,cpu,trip_search,Trip Search,0.0,60.0,0.0
re2tt_ts-auth-service_cpu_1,ts-auth-service,cpu,order_management,Order Management,0.0,40.0,0.0
re2tt_ts-auth-service_cpu_1,ts-auth-service,cpu,baggage_consignment,Baggage Consignment,0.0,30.0,0.0
re2tt_ts-auth-service_cpu_1,ts-auth-service,cpu,travel_insurance,Travel Insurance / Assurance,0.0,25.0,0.0
re2tt_ts-auth-service_cpu_1,ts-auth-service,cpu,contact_management,Contact Management,0.0,20.0,0.0
re2tt_ts-auth-service_cpu_1,ts-auth-service,cpu,food_ordering,Food Ordering,0.0,15.0,0.0
re2tt_ts-auth-service_cpu_1,ts-auth-service,cpu,admin_configuration,Admin Configuration,0.0,5.0,0.0
re2tt_ts-auth-service_cpu_2,ts-auth-service,cpu,ticket_reservation,Ticket Reservation,0.0,100.0,0.0
re2tt_ts-auth-service_cpu_2,ts-auth-service,cpu,payment_processing,Payment Processing,0.0,100.0,0.0
re2tt_ts-auth-service_cpu_2,ts-auth-service,cpu,user_authentication,User Authentication,0.921606488551224,70.0,64.51245419858567
re2tt_ts-auth-service_cpu_2,ts-auth-service,cpu,trip_search,Trip Search,0.2880819050851293,60.0,17.28491430510776
re2tt_ts-auth-service_cpu_2,ts-auth-service,cpu,order_management,Order Management,0.8766872569206132,40.0,35.06749027682453
re2tt_ts-auth-service_cpu_2,ts-auth-service,cpu,baggage_consignment,Baggage Consignment,0.0,30.0,0.0
re2tt_ts-auth-service_cpu_2,ts-auth-service,cpu,travel_insurance,Travel Insurance / Assurance,0.0,25.0,0.0
re2tt_ts-auth-service_cpu_2,ts-auth-service,cpu,contact_management,Contact Management,0.0,20.0,0.0
re2tt_ts-auth-service_cpu_2,ts-auth-service,cpu,food_ordering,Food Ordering,0.0,15.0,0.0
re2tt_ts-auth-service_cpu_2,ts-auth-service,cpu,admin_configuration,Admin Configuration,0.2574592941565419,5.0,1.2872964707827095
re2tt_ts-auth-service_cpu_3,ts-auth-service,cpu,ticket_reservation,Ticket Reservation,0.0,100.0,0.0
re2tt_ts-auth-service_cpu_3,ts-auth-service,cpu,payment_processing,Payment Processing,0.0,100.0,0.0
re2tt_ts-auth-service_cpu_3,ts-auth-service,cpu,user_authentication,User Authentication,0.8764185611958892,70.0,61.34929928371225
re2tt_ts-auth-service_cpu_3,ts-auth-service,cpu,trip_search,Trip Search,0.0,60.0,0.0
re2tt_ts-auth-service_cpu_3,ts-auth-service,cpu,order_management,Order Management,0.8821594957522609,40.0,35.28637983009044
re2tt_ts-auth-service_cpu_3,ts-auth-service,cpu,baggage_consignment,Baggage Consignment,0.0,30.0,0.0
re2tt_ts-auth-service_cpu_3,ts-auth-service,cpu,travel_insurance,Travel Insurance / Assurance,0.0,25.0,0.0
re2tt_ts-auth-service_cpu_3,ts-auth-service,cpu,contact_management,Contact Management,0.0,20.0,0.0
re2tt_ts-auth-service_cpu_3,ts-auth-service,cpu,food_ordering,Food Ordering,0.0,15.0,0.0
re2tt_ts-auth-service_cpu_3,ts-auth-service,cpu,admin_configuration,Admin Configuration,0.2810359231411863,5.0,1.4051796157059315
re2tt_ts-auth-service_delay_1,ts-auth-service,delay,ticket_reservation,Ticket Reservation,0.0,100.0,0.0
re2tt_ts-auth-service_delay_1,ts-auth-service,delay,payment_processing,Payment Processing,0.0,100.0,0.0
re2tt_ts-auth-service_delay_1,ts-auth-service,delay,user_authentication,User Authentication,1.0,70.0,70.0
re2tt_ts-auth-service_delay_1,ts-auth-service,delay,trip_search,Trip Search,0.0,60.0,0.0
re2tt_ts-auth-service_delay_1,ts-auth-service,delay,order_management,Order Management,0.0,40.0,0.0
re2tt_ts-auth-service_delay_1,ts-auth-service,delay,baggage_consignment,Baggage Consignment,0.0,30.0,0.0
re2tt_ts-auth-service_delay_1,ts-auth-service,delay,travel_insurance,Travel Insurance / Assurance,0.0,25.0,0.0
re2tt_ts-auth-service_delay_1,ts-auth-service,delay,contact_management,Contact Management,0.0,20.0,0.0
re2tt_ts-auth-service_delay_1,ts-auth-service,delay,food_ordering,Food Ordering,0.0,15.0,0.0
re2tt_ts-auth-service_delay_1,ts-auth-service,delay,admin_configuration,Admin Configuration,0.0,5.0,0.0
re2tt_ts-auth-service_delay_2,ts-auth-service,delay,ticket_reservation,Ticket Reservation,0.0,100.0,0.0
re2tt_ts-auth-service_delay_2,ts-auth-service,delay,payment_processing,Payment Processing,0.0,100.0,0.0
re2tt_ts-auth-service_delay_2,ts-auth-service,delay,user_authentication,User Authentication,0.8425966627019013,70.0,58.981766389133085
re2tt_ts-auth-service_delay_2,ts-auth-service,delay,trip_search,Trip Search,0.0,60.0,0.0
re2tt_ts-auth-service_delay_2,ts-auth-service,delay,order_management,Order Management,0.9540045766590388,40.0,38.160183066361554
re2tt_ts-auth-service_delay_2,ts-auth-service,delay,baggage_consignment,Baggage Consignment,0.0,30.0,0.0
re2tt_ts-auth-service_delay_2,ts-auth-service,delay,travel_insurance,Travel Insurance / Assurance,0.0,25.0,0.0
re2tt_ts-auth-service_delay_2,ts-auth-service,delay,contact_management,Contact Management,0.0,20.0,0.0
re2tt_ts-auth-service_delay_2,ts-auth-service,delay,food_ordering,Food Ordering,0.0,15.0,0.0
re2tt_ts-auth-service_delay_2,ts-auth-service,delay,admin_configuration,Admin Configuration,0.0,5.0,0.0
re2tt_ts-auth-service_delay_3,ts-auth-service,delay,ticket_reservation,Ticket Reservation,0.0,100.0,0.0
re2tt_ts-auth-service_delay_3,ts-auth-service,delay,payment_processing,Payment Processing,0.0,100.0,0.0
re2tt_ts-auth-service_delay_3,ts-auth-service,delay,user_authentication,User Authentication,0.8056271740104435,70.0,56.39390218073105
re2tt_ts-auth-service_delay_3,ts-auth-service,delay,trip_search,Trip Search,0.0,60.0,0.0
re2tt_ts-auth-service_delay_3,ts-auth-service,delay,order_management,Order Management,0.96003996003996,40.0,38.4015984015984
re2tt_ts-auth-service_delay_3,ts-auth-service,delay,baggage_consignment,Baggage Consignment,0.0,30.0,0.0
re2tt_ts-auth-service_delay_3,ts-auth-service,delay,travel_insurance,Travel Insurance / Assurance,0.0,25.0,0.0
re2tt_ts-auth-service_delay_3,ts-auth-service,delay,contact_management,Contact Management,0.0,20.0,0.0
re2tt_ts-auth-service_delay_3,ts-auth-service,delay,food_ordering,Food Ordering,0.0,15.0,0.0
re2tt_ts-auth-service_delay_3,ts-auth-service,delay,admin_configuration,Admin Configuration,0.0,5.0,0.0
re2tt_ts-auth-service_disk_1,ts-auth-service,disk,ticket_reservation,Ticket Reservation,0.0,100.0,0.0
re2tt_ts-auth-service_disk_1,ts-auth-service,disk,payment_processing,Payment Processing,0.0,100.0,0.0
re2tt_ts-auth-service_disk_1,ts-auth-service,disk,user_authentication,User Authentication,0.7155228700810896,70.0,50.08660090567627
re2tt_ts-auth-service_disk_1,ts-auth-service,disk,trip_search,Trip Search,0.0,60.0,0.0
re2tt_ts-auth-service_disk_1,ts-auth-service,disk,order_management,Order Management,0.952136752136752,40.0,38.08547008547008
re2tt_ts-auth-service_disk_1,ts-auth-service,disk,baggage_consignment,Baggage Consignment,0.0,30.0,0.0
re2tt_ts-auth-service_disk_1,ts-auth-service,disk,travel_insurance,Travel Insurance / Assurance,0.0,25.0,0.0
re2tt_ts-auth-service_disk_1,ts-auth-service,disk,contact_management,Contact Management,0.0,20.0,0.0
re2tt_ts-auth-service_disk_1,ts-auth-service,disk,food_ordering,Food Ordering,0.0,15.0,0.0
re2tt_ts-auth-service_disk_1,ts-auth-service,disk,admin_configuration,Admin Configuration,0.0,5.0,0.0
re2tt_ts-auth-service_disk_2,ts-auth-service,disk,ticket_reservation,Ticket Reservation,0.0,100.0,0.0
re2tt_ts-auth-service_disk_2,ts-auth-service,disk,payment_processing,Payment Processing,0.0,100.0,0.0
re2tt_ts-auth-service_disk_2,ts-auth-service,disk,user_authentication,User Authentication,0.8266441468149046,70.0,57.86509027704332
re2tt_ts-auth-service_disk_2,ts-auth-service,disk,trip_search,Trip Search,0.0,60.0,0.0
re2tt_ts-auth-service_disk_2,ts-auth-service,disk,order_management,Order Management,0.915946348733234,40.0,36.63785394932936
re2tt_ts-auth-service_disk_2,ts-auth-service,disk,baggage_consignment,Baggage Consignment,0.0,30.0,0.0
re2tt_ts-auth-service_disk_2,ts-auth-service,disk,travel_insurance,Travel Insurance / Assurance,0.0,25.0,0.0
re2tt_ts-auth-service_disk_2,ts-auth-service,disk,contact_management,Contact Management,0.0,20.0,0.0
re2tt_ts-auth-service_disk_2,ts-auth-service,disk,food_ordering,Food Ordering,0.0,15.0,0.0
re2tt_ts-auth-service_disk_2,ts-auth-service,disk,admin_configuration,Admin Configuration,0.0,5.0,0.0
re2tt_ts-auth-service_disk_3,ts-auth-service,disk,ticket_reservation,Ticket Reservation,0.0,100.0,0.0
re2tt_ts-auth-service_disk_3,ts-auth-service,disk,payment_processing,Payment Processing,0.0,100.0,0.0
re2tt_ts-auth-service_disk_3,ts-auth-service,disk,user_authentication,User Authentication,0.857243420054292,70.0,60.00703940380044
re2tt_ts-auth-service_disk_3,ts-auth-service,disk,trip_search,Trip Search,0.0,60.0,0.0
re2tt_ts-auth-service_disk_3,ts-auth-service,disk,order_management,Order Management,0.8411468423091826,40.0,33.6458736923673
re2tt_ts-auth-service_disk_3,ts-auth-service,disk,baggage_consignment,Baggage Consignment,0.0,30.0,0.0
re2tt_ts-auth-service_disk_3,ts-auth-service,disk,travel_insurance,Travel Insurance / Assurance,0.0,25.0,0.0
re2tt_ts-auth-service_disk_3,ts-auth-service,disk,contact_management,Contact Management,0.0,20.0,0.0
re2tt_ts-auth-service_disk_3,ts-auth-service,disk,food_ordering,Food Ordering,0.0,15.0,0.0
re2tt_ts-auth-service_disk_3,ts-auth-service,disk,admin_configuration,Admin Configuration,0.0,5.0,0.0
re2tt_ts-auth-service_loss_1,ts-auth-service,loss,ticket_reservation,Ticket Reservation,0.0,100.0,0.0
re2tt_ts-auth-service_loss_1,ts-auth-service,loss,payment_processing,Payment Processing,0.0,100.0,0.0
re2tt_ts-auth-service_loss_1,ts-auth-service,loss,user_authentication,User Authentication,0.161030146188535,70.0,11.27211023319745
re2tt_ts-auth-service_loss_1,ts-auth-service,loss,trip_search,Trip Search,0.0,60.0,0.0
re2tt_ts-auth-service_loss_1,ts-auth-service,loss,order_management,Order Management,0.8745181578413472,40.0,34.98072631365389
re2tt_ts-auth-service_loss_1,ts-auth-service,loss,baggage_consignment,Baggage Consignment,0.0,30.0,0.0
re2tt_ts-auth-service_loss_1,ts-auth-service,loss,travel_insurance,Travel Insurance / Assurance,0.0,25.0,0.0
re2tt_ts-auth-service_loss_1,ts-auth-service,loss,contact_management,Contact Management,0.0,20.0,0.0
re2tt_ts-auth-service_loss_1,ts-auth-service,loss,food_ordering,Food Ordering,0.0,15.0,0.0
re2tt_ts-auth-service_loss_1,ts-auth-service,loss,admin_configuration,Admin Configuration,0.0,5.0,0.0
re2tt_ts-auth-service_loss_2,ts-auth-service,loss,ticket_reservation,Ticket Reservation,0.0,100.0,0.0
re2tt_ts-auth-service_loss_2,ts-auth-service,loss,payment_processing,Payment Processing,0.0,100.0,0.0
re2tt_ts-auth-service_loss_2,ts-auth-service,loss,user_authentication,User Authentication,0.0,70.0,0.0
re2tt_ts-auth-service_loss_2,ts-auth-service,loss,trip_search,Trip Search,0.0,60.0,0.0
re2tt_ts-auth-service_loss_2,ts-auth-service,loss,order_management,Order Management,0.911293525751357,40.0,36.45174103005428
re2tt_ts-auth-service_loss_2,ts-auth-service,loss,baggage_consignment,Baggage Consignment,0.0,30.0,0.0
re2tt_ts-auth-service_loss_2,ts-auth-service,loss,travel_insurance,Travel Insurance / Assurance,0.0,25.0,0.0
re2tt_ts-auth-service_loss_2,ts-auth-service,loss,contact_management,Contact Management,0.0,20.0,0.0
re2tt_ts-auth-service_loss_2,ts-auth-service,loss,food_ordering,Food Ordering,0.0,15.0,0.0
re2tt_ts-auth-service_loss_2,ts-auth-service,loss,admin_configuration,Admin Configuration,0.0,5.0,0.0
