scenario_id,k,incident_ids,total_gt_loss
re2tt_scenario_k3_001,3,re2tt_ts-train-service_cpu_2;re2tt_ts-train-service_socket_3;re2tt_ts-travel-service_mem_3,424.9154499256816
re2tt_scenario_k3_002,3,re2tt_ts-auth-service_cpu_3;re2tt_ts-train-service_cpu_2;re2tt_ts-travel-service_delay_3,517.1097635017215
re2tt_scenario_k3_003,3,re2tt_ts-order-service_cpu_2;re2tt_ts-travel-service_delay_2;re2tt_ts-travel-service_mem_3,544.5736251858224
re2tt_scenario_k3_004,3,re2tt_ts-order-service_delay_2;re2tt_ts-train-service_cpu_3;re2tt_ts-travel-service_mem_3,428.87254619939165
re2tt_scenario_k3_005,3,re2tt_ts-auth-service_cpu_2;re2tt_ts-order-service_cpu_3;re2tt_ts-route-service_disk_3,364.1652565971566
re2tt_scenario_k3_006,3,re2tt_ts-order-service_delay_3;re2tt_ts-route-service_loss_1;re2tt_ts-train-service_socket_2,382.34398986306877
re2tt_scenario_k3_007,3,re2tt_ts-train-service_cpu_3;re2tt_ts-travel-service_delay_2;re2tt_ts-travel-service_mem_2,600.8792358124778
re2tt_scenario_k3_008,3,re2tt_ts-auth-service_socket_3;re2tt_ts-route-service_disk_1;re2tt_ts-travel-service_delay_3,452.1689610360586
re2tt_scenario_k3_009,3,re2tt_ts-order-service_cpu_3;re2tt_ts-order-service_delay_2;re2tt_ts-train-service_cpu_3,496.2107815621599
re2tt_scenario_k3_010,3,re2tt_ts-order-service_cpu_2;re2tt_ts-route-service_disk_3;re2tt_ts-route-service_loss_2,392.7968060586279
re2tt_scenario_k3_011,3,re2tt_ts-auth-service_socket_1;re2tt_ts-route-service_disk_3;re2tt_ts-travel-service_mem_2,383.0120107066997
re2tt_scenario_k3_012,3,re2tt_ts-order-service_delay_3;re2tt_ts-route-service_disk_3;re2tt_ts-train-service_socket_2,308.49248933153723
re2tt_scenario_k3_013,3,re2tt_ts-auth-service_socket_2;re2tt_ts-order-service_cpu_1;re2tt_ts-train-service_cpu_1,330.588738115074
re2tt_scenario_k3_014,3,re2tt_ts-route-service_disk_2;re2tt_ts-travel-service_delay_3;re2tt_ts-travel-service_mem_3,471.31215018933807
re2tt_scenario_k3_015,3,re2tt_ts-order-service_delay_1;re2tt_ts-route-service_disk_2;re2tt_ts-train-service_socket_2,515.3705594357514
re2tt_scenario_k3_016,3,re2tt_ts-auth-service_socket_1;re2tt_ts-route-service_loss_1;re2tt_ts-train-service_socket_1,255.47318688490628
re2tt_scenario_k3_017,3,re2tt_ts-auth-service_socket_1;re2tt_ts-order-service_cpu_1;re2tt_ts-route-service_disk_2,275.19516765208544
re2tt_scenario_k3_018,3,re2tt_ts-order-service_delay_2;re2tt_ts-travel-service_delay_3;re2tt_ts-travel-service_mem_1,539.865633310784
re2tt_scenario_k3_019,3,re2tt_ts-route-service_disk_2;re2tt_ts-train-service_cpu_1;re2tt_ts-travel-service_mem_2,468.0410513401017
re2tt_scenario_k3_020,3,re2tt_ts-auth-service_socket_1;re2tt_ts-order-service_cpu_1;re2tt_ts-train-service_socket_3,285.0571684312955
re2tt_scenario_k3_021,3,re2tt_ts-route-service_disk_1;re2tt_ts-route-service_loss_2;re2tt_ts-train-service_cpu_3,484.498363500236
re2tt_scenario_k3_022,3,re2tt_ts-order-service_delay_1;re2tt_ts-train-service_cpu_2;re2tt_ts-travel-service_mem_3,576.5841485985169
re2tt_scenario_k3_023,3,re2tt_ts-auth-service_cpu_3;re2tt_ts-auth-service_socket_3;re2tt_ts-order-service_delay_3,285.5383843688462
re2tt_scenario_k3_024,3,re2tt_ts-order-service_delay_3;re2tt_ts-train-service_cpu_1;re2tt_ts-travel-service_mem_2,477.66716198664363
re2tt_scenario_k3_025,3,re2tt_ts-order-service_delay_3;re2tt_ts-train-service_cpu_3;re2tt_ts-train-service_socket_2,460.68692279459447
re2tt_scenario_k3_026,3,re2tt_ts-route-service_disk_1;re2tt_ts-train-service_socket_3;re2tt_ts-travel-service_mem_3,368.6133917446862
re2tt_scenario_k3_027,3,re2tt_ts-auth-service_cpu_3;re2tt_ts-order-service_cpu_2;re2tt_ts-travel-service_delay_1,489.8971770838408
re2tt_scenario_k3_028,3,re2tt_ts-auth-service_socket_3;re2tt_ts-order-service_delay_3;re2tt_ts-travel-service_delay_3,425.1613285468773
re2tt_scenario_k3_029,3,re2tt_ts-auth-service_cpu_3;re2tt_ts-order-service_delay_3;re2tt_ts-train-service_socket_2,373.0375288118019
re2tt_scenario_k3_030,3,re2tt_ts-auth-service_socket_2;re2tt_ts-train-service_cpu_2;re2tt_ts-travel-service_mem_3,440.3914602747688
re2tt_scenario_k5_001,5,re2tt_ts-auth-service_socket_3;re2tt_ts-order-service_cpu_3;re2tt_ts-order-service_delay_3;re2tt_ts-route-service_disk_2;re2tt_ts-travel-service_delay_1,694.7445069331095
re2tt_scenario_k5_002,5,re2tt_ts-auth-service_cpu_3;re2tt_ts-auth-service_socket_3;re2tt_ts-order-service_cpu_2;re2tt_ts-order-service_delay_3;re2tt_ts-route-service_loss_2,644.8393711782303
re2tt_scenario_k5_003,5,re2tt_ts-order-service_cpu_1;re2tt_ts-order-service_delay_3;re2tt_ts-route-service_loss_2;re2tt_ts-train-service_socket_3;re2tt_ts-travel-service_delay_2,622.5304383727699
re2tt_scenario_k5_004,5,re2tt_ts-order-service_cpu_2;re2tt_ts-route-service_disk_1;re2tt_ts-route-service_loss_3;re2tt_ts-travel-service_delay_2;re2tt_ts-travel-service_mem_3,721.8918601178117
