service,fault_type,capability_id,capability,n_reps,max_magnitude,value_per_min,weighted_max_magnitude
ts-auth-service,cpu,ticket_reservation,Ticket Reservation,3,0.0,100.0,0.0
ts-auth-service,cpu,payment_processing,Payment Processing,3,0.0,100.0,0.0
ts-auth-service,cpu,user_authentication,User Authentication,3,0.9347536657591824,70.0,65.43275660314276
ts-auth-service,cpu,trip_search,Trip Search,3,0.2880819050851293,60.0,17.28491430510776
ts-auth-service,cpu,order_management,Order Management,3,0.8821594957522609,40.0,35.28637983009044
ts-auth-service,cpu,baggage_consignment,Baggage Consignment,3,0.0,30.0,0.0
ts-auth-service,cpu,travel_insurance,Travel Insurance / Assurance,3,0.0,25.0,0.0
ts-auth-service,cpu,contact_management,Contact Management,3,0.0,20.0,0.0
ts-auth-service,cpu,food_ordering,Food Ordering,3,0.0,15.0,0.0
ts-auth-service,cpu,admin_configuration,Admin Configuration,3,0.2810359231411863,5.0,1.4051796157059315
ts-auth-service,delay,ticket_reservation,Ticket Reservation,3,0.0,100.0,0.0
ts-auth-service,delay,payment_processing,Payment Processing,3,0.0,100.0,0.0
ts-auth-service,delay,user_authentication,User Authentication,3,1.0,70.0,70.0
ts-auth-service,delay,trip_search,Trip Search,3,0.0,60.0,0.0
ts-auth-service,delay,order_management,Order Management,3,0.96003996003996,40.0,38.4015984015984
ts-auth-service,delay,baggage_consignment,Baggage Consignment,3,0.0,30.0,0.0
ts-auth-service,delay,travel_insurance,Travel Insurance / Assurance,3,0.0,25.0,0.0
ts-auth-service,delay,contact_management,Contact Management,3,0.0,20.0,0.0
ts-auth-service,delay,food_ordering,Food Ordering,3,0.0,15.0,0.0
ts-auth-service,delay,admin_configuration,Admin Configuration,3,0.0,5.0,0.0
ts-auth-service,disk,ticket_reservation,Ticket Reservation,3,0.0,100.0,0.0
ts-auth-service,disk,payment_processing,Payment Processing,3,0.0,100.0,0.0
ts-auth-service,disk,user_authentication,User Authentication,3,0.857243420054292,70.0,60.00703940380044
ts-auth-service,disk,trip_search,Trip Search,3,0.0,60.0,0.0
ts-auth-service,disk,order_management,Order Management,3,0.952136752136752,40.0,38.08547008547008
ts-auth-service,disk,baggage_consignment,Baggage Consignment,3,0.0,30.0,0.0
ts-auth-service,disk,travel_insurance,Travel Insurance / Assurance,3,0.0,25.0,0.0
ts-auth-service,disk,contact_management,Contact Management,3,0.0,20.0,0.0
ts-auth-service,disk,food_ordering,Food Ordering,3,0.0,15.0,0.0
ts-auth-service,disk,admin_configuration,Admin Configuration,3,0.0,5.0,0.0
ts-auth-service,loss,ticket_reservation,Ticket Reservation,3,0.0,100.0,0.0
ts-auth-service,loss,payment_processing,Payment Processing,3,0.0,100.0,0.0
ts-auth-service,loss,user_authentication,User Authentication,3,0.1653049736641068,70.0,11.571348156487476
ts-auth-service,loss,trip_search,Trip Search,3,0.2364828608587306,60.0,14.188971651523836
ts-auth-service,loss,order_management,Order Management,3,0.911293525751357,40.0,36.45174103005428
ts-auth-service,loss,baggage_consignment,Baggage Consignment,3,0.0,30.0,0.0
ts-auth-service,loss,travel_insurance,Travel Insurance / Assurance,3,0.0,25.0,0.0
