service,fault_type,capability_id,capability,n_reps,n_impaired_reps,raw_probability,posterior_alpha,posterior_beta,p_smoothed
ts-auth-service,cpu,ticket_reservation,Ticket Reservation,3,0,0.0,1.0,4.0,0.2
ts-auth-service,cpu,payment_processing,Payment Processing,3,0,0.0,1.0,4.0,0.2
ts-auth-service,cpu,user_authentication,User Authentication,3,3,1.0,4.0,1.0,0.8
ts-auth-service,cpu,trip_search,Trip Search,3,1,0.3333333333333333,2.0,3.0,0.4
ts-auth-service,cpu,order_management,Order Management,3,2,0.6666666666666666,3.0,2.0,0.6
ts-auth-service,cpu,baggage_consignment,Baggage Consignment,3,0,0.0,1.0,4.0,0.2
ts-auth-service,cpu,travel_insurance,Travel Insurance / Assurance,3,0,0.0,1.0,4.0,0.2
ts-auth-service,cpu,contact_management,Contact Management,3,0,0.0,1.0,4.0,0.2
ts-auth-service,cpu,food_ordering,Food Ordering,3,0,0.0,1.0,4.0,0.2
ts-auth-service,cpu,admin_configuration,Admin Configuration,3,2,0.6666666666666666,3.0,2.0,0.6
ts-auth-service,delay,ticket_reservation,Ticket Reservation,3,0,0.0,1.0,4.0,0.2
ts-auth-service,delay,payment_processing,Payment Processing,3,0,0.0,1.0,4.0,0.2
ts-auth-service,delay,user_authentication,User Authentication,3,3,1.0,4.0,1.0,0.8
ts-auth-service,delay,trip_search,Trip Search,3,0,0.0,1.0,4.0,0.2
ts-auth-service,delay,order_management,Order Management,3,2,0.6666666666666666,3.0,2.0,0.6
ts-auth-service,delay,baggage_consignment,Baggage Consignment,3,0,0.0,1.0,4.0,0.2
ts-auth-service,delay,travel_insurance,Travel Insurance / Assurance,3,0,0.0,1.0,4.0,0.2
ts-auth-service,delay,contact_management,Contact Management,3,0,0.0,1.0,4.0,0.2
ts-auth-service,delay,food_ordering,Food Ordering,3,0,0.0,1.0,4.0,0.2
ts-auth-service,delay,admin_configuration,Admin Configuration,3,0,0.0,1.0,4.0,0.2
ts-auth-service,disk,ticket_reservation,Ticket Reservation,3,0,0.0,1.0,4.0,0.2
ts-auth-service,disk,payment_processing,Payment Processing,3,0,0.0,1.0,4.0,0.2
ts-auth-service,disk,user_authentication,User Authentication,3,3,1.0,4.0,1.0,0.8
ts-auth-service,disk,trip_search,Trip Search,3,0,0.0,1.0,4.0,0.2
ts-auth-service,disk,order_management,Order Management,3,3,1.0,4.0,1.0,0.8
ts-auth-service,disk,baggage_consignment,Baggage Consignment,3,0,0.0,1.0,4.0,0.2
ts-auth-service,disk,travel_insurance,Travel Insurance / Assurance,3,0,0.0,1.0,4.0,0.2
ts-auth-service,disk,contact_management,Contact Management,3,0,0.0,1.0,4.0,0.2
ts-auth-service,disk,food_ordering,Food Ordering,3,0,0.0,1.0,4.0,0.2
ts-auth-service,disk,admin_configuration,Admin Configuration,3,0,0.0,1.0,4.0,0.2
ts-auth-service,loss,ticket_reservation,Ticket Reservation,3,0,0.0,1.0,4.0,0.2
ts-auth-service,loss,payment_processing,Payment Processing,3,0,0.0,1.0,4.0,0.2
ts-auth-service,loss,user_authentication,User Authentication,3,2,0.6666666666666666,3.0,2.0,0.6
ts-auth-service,loss,trip_search,Trip Search,3,1,0.3333333333333333,2.0,3.0,0.4
ts-auth-service,loss,order_management,Order Management,3,3,1.0,4.0,1.0,0.8
ts-auth-service,loss,baggage_consignment,Baggage Consignment,3,0,0.0,1.0,4.0,0.2
ts-auth-service,loss,travel_insurance,Travel Insurance / Assurance,3,0,0.0,1.0,4.0,0.2
