case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2tt_ts-auth-service_cpu_2,cpu,ts-auth-service,direct::GET /api/v1/adminbasicservice/adminbasic/configs,GET /api/v1/adminbasicservice/adminbasic/configs (direct),GET /api/v1/adminbasicservice/adminbasic/configs,111,108,9501.0,11258.0,17120.00000000003,9443.0,11834.649999999996,16198.579999999984,1.0512213537040322,0.15421764416571035,0.15000020833362268,0.018018018018018018,0.0,-0.018018018018018018,0.0,0.0,0.0,1.0,0.019269269269269307,0.019269269269269307,False,False,1.0,False
re2tt_ts-auth-service_cpu_2,cpu,ts-auth-service,direct::GET /api/v1/adminbasicservice/adminbasic/prices,GET /api/v1/adminbasicservice/adminbasic/prices (direct),GET /api/v1/adminbasicservice/adminbasic/prices,112,108,9737.5,12805.65,17824.27,9645.0,11430.299999999997,16193.449999999975,0.892598189080601,0.15560699231134736,0.15000020833362268,0.017857142857142856,0.0,-0.017857142857142856,0.0,0.0,0.0,0.5788700192572489,-0.08275462962962965,0.0,False,False,1.0,False
re2tt_ts-auth-service_cpu_2,cpu,ts-auth-service,direct::GET /api/v1/admintravelservice/admintravel,GET /api/v1/admintravelservice/admintravel (direct),GET /api/v1/admintravelservice/admintravel,111,109,121239.0,135229.0,139421.4,123452.0,153036.39999999997,208867.92,1.1316832927848315,0.15421764416571035,0.1513890991515266,0.018018018018018018,0.11009174311926606,0.09207372510124805,0.0,0.0,0.0,0.0019444786725720368,0.2574592941565419,0.2574592941565419,False,False,0.019444786725720368,True
re2tt_ts-auth-service_cpu_2,cpu,ts-auth-service,direct::GET /api/v1/assuranceservice/assurances/types,GET /api/v1/assuranceservice/assurances/types (direct),GET /api/v1/assuranceservice/assurances/types,78,72,3547.0,4370.499999999998,5572.400000000005,3433.0,4256.150000000001,5003.700000000008,0.9738359455439887,0.10836915535968834,0.10000013888908178,0.01282051282051282,0.013888888888888888,0.001068376068376068,0.0,0.0,0.0,0.6486786474853603,-0.09348290598290598,0.0,False,False,1.0,False
re2tt_ts-auth-service_cpu_2,cpu,ts-auth-service,direct::GET /api/v1/contactservice/contacts/account/{accountId},GET /api/v1/contactservice/contacts/account/{accountId} (direct),GET /api/v1/contactservice/contacts/account/{accountId},78,72,6251.5,8007.549999999998,10433.020000000033,6139.0,7589.400000000001,10858.830000000053,0.9477805321228093,0.10836915535968834,0.10000013888908178,0.01282051282051282,0.013888888888888888,0.001068376068376068,0.0,0.0,0.0,0.6413139986212057,-0.09419515669515666,0.0,False,False,1.0,False
re2tt_ts-auth-service_cpu_2,cpu,ts-auth-service,direct::GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId} (direct),GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},248,240,40048.0,49634.09999999999,81665.31000000004,40609.0,73480.45,109422.39999999994,1.4804428810031816,0.3445583401179835,0.33333379629693927,0.012096774193548387,0.0375,0.025403225806451612,0.0,0.0,0.0,0.08911245046982631,0.10514112903225814,0.10514112903225814,False,False,0.6825531838040376,False
re2tt_ts-auth-service_cpu_2,cpu,ts-auth-service,direct::POST /api/v1/inside_pay_service/inside_payment,POST /api/v1/inside_pay_service/inside_payment (direct),POST /api/v1/inside_pay_service/inside_payment,71,76,16574.0,48361.0,58771.39999999999,39724.0,54068.25,59453.5,1.1180134819379253,0.09864371834022914,0.10555570216069744,0.014084507042253521,0.013157894736842105,-0.0009266123054114169,0.0,0.0,0.0,0.7431785748677429,0.08561897702001486,0.08561897702001486,False,False,1.0,False
re2tt_ts-auth-service_cpu_2,cpu,ts-auth-service,direct::POST /api/v1/orderOtherService/orderOther/refresh,POST /api/v1/orderOtherService/orderOther/refresh (direct),POST /api/v1/orderOtherService/orderOther/refresh,60,59,238657.0,288377.55,307539.79,297659.0,339400.89999999997,359607.76,1.1769324623223965,0.08336088873822181,0.08194455825633092,0.016666666666666666,0.3728813559322034,0.35621468926553673,0.0,0.0,0.0,3.908063232001933e-16,0.8745762711864407,0.8745762711864407,False,False,4.689675878402319e-15,True
re2tt_ts-auth-service_cpu_2,cpu,ts-auth-service,direct::POST /api/v1/orderservice/order/refresh,POST /api/v1/orderservice/order/refresh (direct),POST /api/v1/orderservice/order/refresh,93,94,380718.0,443319.19999999995,487748.16,460456.5,532159.9999999999,843204.7099999996,1.200399170620176,0.1292093775442438,0.1305557368829679,0.010752688172043012,0.20212765957446807,0.19137497140242507,0.0,0.0,0.0,8.093496490383142e-25,0.8766872569206132,0.8766872569206132,False,False,1.1330895086536398e-23,True
re2tt_ts-auth-service_cpu_2,cpu,ts-auth-service,direct::POST /api/v1/preserveotherservice/preserveOther,POST /api/v1/preserveotherservice/preserveOther (direct),POST /api/v1/preserveotherservice/preserveOther,25,30,464125.0,494457.8,507861.51999999996,483160.0,728537.95,751983.31,1.473407740761699,0.034733703640925755,0.04166672453711741,0.04,0.3333333333333333,0.29333333333333333,0.0,0.0,0.0,0.0070959621575301494,0.4613333333333334,0.4613333333333334,False,False,0.06386365941777135,False
re2tt_ts-auth-service_cpu_2,cpu,ts-auth-service,direct::POST /api/v1/preserveservice/preserve,POST /api/v1/preserveservice/preserve (direct),POST /api/v1/preserveservice/preserve,53,42,448722.0,499638.4,542549.9199999997,456761.0,526245.35,1194758.63,1.0532524121444629,0.0736354517187626,0.058333414351964374,0.018867924528301886,0.047619047619047616,0.02875112309074573,0.0,0.0,0.0,0.0853191479755047,0.24348607367475283,0.24348607367475283,False,False,0.6825531838040376,False
re2tt_ts-auth-service_cpu_2,cpu,ts-auth-service,direct::POST /api/v1/travel2service/trips/left,POST /api/v1/travel2service/trips/left (direct),POST /api/v1/travel2service/trips/left,917,866,277442.0,306525.4,326180.32,285651.0,473934.0,726074.9500000011,1.5461491935089229,1.2740322495491567,1.2027794483047893,0.010905125408942203,0.09468822170900693,0.08378309630006472,0.0,0.0,0.0,4.9249765589671625e-21,0.25951176267626375,0.25951176267626375,False,False,6.402469526657312e-20,True
re2tt_ts-auth-service_cpu_2,cpu,ts-auth-service,direct::POST /api/v1/travelservice/trips/left,POST /api/v1/travelservice/trips/left (direct),POST /api/v1/travelservice/trips/left,284,249,588958.5,653703.3999999998,672909.0200000003,616835.0,1089689.9999999998,1647056.8,1.666948649800506,0.39457487336091657,0.34583381365807453,0.01056338028169014,0.1285140562248996,0.11795067594320945,0.0,0.0,0.0,1.8741727324707194e-08,0.2880819050851293,0.2880819050851293,False,False,2.0615900057177912e-07,True
re2tt_ts-auth-service_cpu_2,cpu,ts-auth-service,direct::POST /api/v1/users/login,POST /api/v1/users/login (direct),POST /api/v1/users/login,1003,948,220037.0,616182.5999999999,890985.1200000001,747786.5,1688956.95,2201995.2199999997,2.741000719591888,1.3935161900739412,1.3166684953729102,0.010967098703888335,0.35548523206751054,0.3445181333636222,0.0,0.0,0.0,1.358826633140984e-271,0.9216064885512241,0.9216064885512241,False,False,2.038239949711476e-270,True
