case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2tt_ts-auth-service_delay_3,delay,ts-auth-service,direct::GET /api/v1/adminbasicservice/adminbasic/configs,GET /api/v1/adminbasicservice/adminbasic/configs (direct),GET /api/v1/adminbasicservice/adminbasic/configs,156,161,12898.5,18647.75,44030.04999999978,10493.0,16333.0,23529.200000000044,0.8758697429984851,0.21666666666666667,0.22363316382587728,0.01282051282051282,0.0,-0.01282051282051282,0.0,0.0,0.0,4.753335267246124e-26,-0.6900382226469183,0.0,False,False,4.278001740521512e-25,False
re2tt_ts-auth-service_delay_3,delay,ts-auth-service,direct::GET /api/v1/adminbasicservice/adminbasic/prices,GET /api/v1/adminbasicservice/adminbasic/prices (direct),GET /api/v1/adminbasicservice/adminbasic/prices,158,160,13964.5,22689.100000000002,79251.26000000005,11143.0,14485.999999999989,38856.479999999836,0.6384563512876221,0.21944444444444444,0.22224413796360476,0.012658227848101266,0.0,-0.012658227848101266,0.0,0.0,0.0,8.587783628869513e-30,-0.7392405063291139,0.0,False,False,9.446561991756464e-29,False
re2tt_ts-auth-service_delay_3,delay,ts-auth-service,direct::GET /api/v1/admintravelservice/admintravel,GET /api/v1/admintravelservice/admintravel (direct),GET /api/v1/admintravelservice/admintravel,156,161,172699.5,529044.75,798564.4999999987,138103.0,192289.0,338634.80000000005,0.3634645273391334,0.21666666666666667,0.22363316382587728,0.01282051282051282,0.0,-0.01282051282051282,0.0,0.0,0.0,8.8262589616649e-28,-0.7138079311992356,0.0,False,False,8.826258961664899e-27,False
re2tt_ts-auth-service_delay_3,delay,ts-auth-service,direct::GET /api/v1/assuranceservice/assurances/types,GET /api/v1/assuranceservice/assurances/types (direct),GET /api/v1/assuranceservice/assurances/types,94,73,6248.5,13147.949999999979,67792.57999999991,4586.0,5759.999999999999,13671.2,0.43809110926037964,0.13055555555555556,0.10139888794589468,0.010638297872340425,0.0,-0.010638297872340425,0.0,0.0,0.0,1.1343884827019092e-18,-0.8039930049548236,0.0,False,False,9.075107861615274e-18,False
re2tt_ts-auth-service_delay_3,delay,ts-auth-service,direct::GET /api/v1/contactservice/contacts/account/{accountId},GET /api/v1/contactservice/contacts/account/{accountId} (direct),GET /api/v1/contactservice/contacts/account/{accountId},94,73,10254.5,15305.15,24044.62999999963,7701.0,9490.999999999996,29891.88000000004,0.6201180648343856,0.13055555555555556,0.10139888794589468,0.010638297872340425,0.0136986301369863,0.0030603322646458753,0.0,0.0,0.0,2.7567638366803032e-17,-0.771349460798601,0.0,False,False,1.9297346856762123e-16,False
re2tt_ts-auth-service_delay_3,delay,ts-auth-service,direct::GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId} (direct),GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},248,250,60217.0,164668.54999999993,293755.15,46215.0,76524.14999999995,114855.26999999997,0.46471624363000696,0.34444444444444444,0.34725646556813244,0.012096774193548387,0.0,-0.012096774193548387,0.0,0.0,0.0,3.5051884483942566e-43,-0.7161935483870967,0.0,False,False,4.5567449829125337e-42,False
re2tt_ts-auth-service_delay_3,delay,ts-auth-service,direct::POST /api/v1/inside_pay_service/inside_payment,POST /api/v1/inside_pay_service/inside_payment (direct),POST /api/v1/inside_pay_service/inside_payment,83,75,51081.0,175166.6,204793.69999999992,46651.0,107112.69999999998,127245.54000000005,0.6114904325367962,0.11527777777777778,0.10417693967043973,0.012048192771084338,0.0,-0.012048192771084338,0.0,0.0,0.0,0.000394979408316072,-0.34361445783132527,0.0,False,False,0.000394979408316072,False
re2tt_ts-auth-service_delay_3,delay,ts-auth-service,direct::POST /api/v1/orderOtherService/orderOther/refresh,POST /api/v1/orderOtherService/orderOther/refresh (direct),POST /api/v1/orderOtherService/orderOther/refresh,65,57,61742.0,93196.2,106309.12,106434.0,133867.8,148094.47999999998,1.4364083514134696,0.09027777777777778,0.0791744741495342,0.015384615384615385,0.5087719298245614,0.49338731443994605,0.0,0.0,0.0,3.098351115121318e-17,0.8968960863697706,0.8968960863697706,False,False,1.9297346856762123e-16,True
re2tt_ts-auth-service_delay_3,delay,ts-auth-service,direct::POST /api/v1/orderservice/order/refresh,POST /api/v1/orderservice/order/refresh (direct),POST /api/v1/orderservice/order/refresh,91,110,69823.0,116230.0,127394.29999999996,142460.0,178768.9,209565.13999999998,1.5380616019960422,0.12638888888888888,0.15279284484997827,0.01098901098901099,0.7090909090909091,0.6981018981018982,0.0,0.0,0.0,2.4225962600082653e-31,0.9600399600399601,0.9600399600399601,False,False,2.9071155120099182e-30,True
re2tt_ts-auth-service_delay_3,delay,ts-auth-service,direct::POST /api/v1/preserveotherservice/preserveOther,POST /api/v1/preserveotherservice/preserveOther (direct),POST /api/v1/preserveotherservice/preserveOther,43,25,663576.0,2017434.999999999,2108883.34,498411.0,764273.9999999995,849552.6399999999,0.3788345101577002,0.059722222222222225,0.03472564655681324,0.023255813953488372,0.0,-0.023255813953488372,0.0,0.0,0.0,4.0711571387643706e-05,-0.6241860465116279,0.0,False,False,8.142314277528741e-05,False
