case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2tt_ts-auth-service_disk_3,disk,ts-auth-service,direct::GET /api/v1/adminbasicservice/adminbasic/configs,GET /api/v1/adminbasicservice/adminbasic/configs (direct),GET /api/v1/adminbasicservice/adminbasic/configs,119,108,10213.0,12466.0,32677.619999999904,10013.5,12251.599999999995,19148.299999999985,0.9828012193165406,0.16527961421793577,0.1500006250026042,0.01680672268907563,0.0,-0.01680672268907563,0.0,0.0,0.0,0.2754277939002491,-0.1142234671646436,0.0,False,False,1.0,False
re2tt_ts-auth-service_disk_3,disk,ts-auth-service,direct::GET /api/v1/adminbasicservice/adminbasic/prices,GET /api/v1/adminbasicservice/adminbasic/prices (direct),GET /api/v1/adminbasicservice/adminbasic/prices,120,107,11139.0,16435.35,20791.530000000002,10677.0,13485.599999999999,19980.13999999999,0.8205240533362539,0.1666685185390949,0.14861173032665415,0.016666666666666666,0.0,-0.016666666666666666,0.0,0.0,0.0,0.0008973618641520577,-0.27009345794392525,0.0,False,False,0.008973618641520577,False
re2tt_ts-auth-service_disk_3,disk,ts-auth-service,direct::GET /api/v1/admintravelservice/admintravel,GET /api/v1/admintravelservice/admintravel (direct),GET /api/v1/admintravelservice/admintravel,120,108,141249.0,168329.59999999998,206462.02000000005,141605.5,169847.55,259025.95999999976,1.009017724749539,0.1666685185390949,0.1500006250026042,0.016666666666666666,0.027777777777777776,0.01111111111111111,0.0,0.0,0.0,1.0,0.0008487654320987748,0.0008487654320987748,False,False,1.0,False
re2tt_ts-auth-service_disk_3,disk,ts-auth-service,direct::GET /api/v1/assuranceservice/assurances/types,GET /api/v1/assuranceservice/assurances/types (direct),GET /api/v1/assuranceservice/assurances/types,77,85,4345.0,5318.0,6015.7999999999965,3870.0,5944.2,13057.959999999997,1.1177510342233923,0.10694563272925255,0.1180560474557533,0.012987012987012988,0.03529411764705882,0.022307104660045835,0.0,0.0,0.0,9.165368851495994e-06,-0.41772345301757063,0.0,False,False,0.00010998442621795192,False
re2tt_ts-auth-service_disk_3,disk,ts-auth-service,direct::GET /api/v1/contactservice/contacts/account/{accountId},GET /api/v1/contactservice/contacts/account/{accountId} (direct),GET /api/v1/contactservice/contacts/account/{accountId},77,85,7333.0,9443.800000000001,32806.19999999992,6825.0,8432.4,10877.799999999996,0.892903280459137,0.10694563272925255,0.1180560474557533,0.012987012987012988,0.0,-0.012987012987012988,0.0,0.0,0.0,3.395988666898632e-05,-0.3920550038197097,0.0,False,False,0.0003735587533588495,False
re2tt_ts-auth-service_disk_3,disk,ts-auth-service,direct::GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId} (direct),GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},245,273,45589.0,57748.99999999999,94338.76000000001,44458.0,79476.79999999973,119154.35999999994,1.3762454761121359,0.3402815586839854,0.3791682465343606,0.012244897959183673,0.03663003663003663,0.024385138670852957,0.0,0.0,0.0,0.0015219136943908037,-0.17123420796890187,0.0,False,False,0.013697223249517233,False
re2tt_ts-auth-service_disk_3,disk,ts-auth-service,direct::POST /api/v1/inside_pay_service/inside_payment,POST /api/v1/inside_pay_service/inside_payment (direct),POST /api/v1/inside_pay_service/inside_payment,74,83,29353.5,110087.49999999999,156349.2399999997,42374.0,69761.89999999997,97505.35999999997,0.6336950153287155,0.10277891976577518,0.11527825810385321,0.013513513513513514,0.0,-0.013513513513513514,0.0,0.0,0.0,1.0,-0.051123412569195725,0.0,False,False,1.0,False
re2tt_ts-auth-service_disk_3,disk,ts-auth-service,direct::POST /api/v1/orderOtherService/orderOther/refresh,POST /api/v1/orderOtherService/orderOther/refresh (direct),POST /api/v1/orderOtherService/orderOther/refresh,67,64,174261.0,223624.19999999998,257031.24000000002,228101.5,304134.7999999999,348787.6,1.3600263298873732,0.09305658951766131,0.08888925926080248,0.014925373134328358,0.21875,0.20382462686567165,0.0,0.0,0.0,3.607017307240986e-15,0.8059701492537314,0.8059701492537314,False,False,4.689122499413282e-14,True
re2tt_ts-auth-service_disk_3,disk,ts-auth-service,direct::POST /api/v1/orderservice/order/refresh,POST /api/v1/orderservice/order/refresh (direct),POST /api/v1/orderservice/order/refresh,89,87,217799.0,275102.6,298047.28,278088.0,356797.4,397004.38,1.2969612064735123,0.12361248458316204,0.12083383680765337,0.011235955056179775,0.27586206896551724,0.26462611390933743,0.0,0.0,0.0,1.1422633605387606e-21,0.8411468423091826,0.8411468423091826,False,False,1.5991687047542647e-20,True
re2tt_ts-auth-service_disk_3,disk,ts-auth-service,direct::POST /api/v1/preserveotherservice/preserveOther,POST /api/v1/preserveotherservice/preserveOther (direct),POST /api/v1/preserveotherservice/preserveOther,38,39,496422.5,647578.35,696883.5400000002,487851.0,561111.0,662876.6999999997,0.8664758480576135,0.05277836420404671,0.054166892362051515,0.02631578947368421,0.02564102564102564,-0.0006747638326585689,0.0,0.0,0.0,0.2657633044291907,-0.19973009446693657,0.0,False,False,1.0,False
