case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2tt_ts-auth-service_loss_2,loss,ts-auth-service,direct::GET /api/v1/adminbasicservice/adminbasic/configs,GET /api/v1/adminbasicservice/adminbasic/configs (direct),GET /api/v1/adminbasicservice/adminbasic/configs,116,115,10557.0,13687.0,19645.849999999984,10109.0,12440.0,15749.74,0.9088916490100095,0.1611220763635303,0.159984864040689,0.017241379310344827,0.008695652173913044,-0.008545727136431784,0.0,0.0,0.0,0.00026365052743055446,-0.2911544227886057,0.0,False,False,0.0021092042194444357,False
re2tt_ts-auth-service_loss_2,loss,ts-auth-service,direct::GET /api/v1/adminbasicservice/adminbasic/prices,GET /api/v1/adminbasicservice/adminbasic/prices (direct),GET /api/v1/adminbasicservice/adminbasic/prices,116,115,11578.0,14708.5,19868.45,10519.0,13978.4,20590.219999999998,0.9503620355576707,0.1611220763635303,0.159984864040689,0.017241379310344827,0.017391304347826087,0.00014992503748125982,0.0,0.0,0.0,8.505240665873139e-08,-0.4173163418290855,0.0,False,False,1.105681286563508e-06,False
re2tt_ts-auth-service_loss_2,loss,ts-auth-service,direct::GET /api/v1/admintravelservice/admintravel,GET /api/v1/admintravelservice/admintravel (direct),GET /api/v1/admintravelservice/admintravel,116,114,133028.0,164830.5,198805.34999999992,127686.5,148639.94999999998,157704.85,0.9017745502197712,0.1611220763635303,0.15859369130990042,0.017241379310344827,0.0,-0.017241379310344827,0.0,0.0,0.0,0.0019888427337671987,-0.2512855414398064,0.0,False,False,0.01392189913637039,False
re2tt_ts-auth-service_loss_2,loss,ts-auth-service,direct::GET /api/v1/assuranceservice/assurances/types,GET /api/v1/assuranceservice/assurances/types (direct),GET /api/v1/assuranceservice/assurances/types,102,70,4053.5,4925.799999999999,5676.059999999999,3588.5,4990.3499999999985,10227.840000000015,1.013104470339843,0.1416763085265525,0.09738209115520201,0.0196078431372549,0.04285714285714286,0.023249299719887956,0.0,0.0,0.0,5.191807314750832e-07,-0.46302521008403363,0.0,False,False,6.230168777700999e-06,False
re2tt_ts-auth-service_loss_2,loss,ts-auth-service,direct::GET /api/v1/contactservice/contacts/account/{accountId},GET /api/v1/contactservice/contacts/account/{accountId} (direct),GET /api/v1/contactservice/contacts/account/{accountId},102,70,7292.5,9059.449999999999,9915.359999999999,6735.0,8306.3,42659.32000000009,0.9168658141498657,0.1416763085265525,0.09738209115520201,0.0196078431372549,0.02857142857142857,0.008963585434173669,0.0,0.0,0.0,3.617644867609608e-05,-0.38543417366946775,0.0,False,False,0.0003617644867609608,False
re2tt_ts-auth-service_loss_2,loss,ts-auth-service,direct::GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId} (direct),GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},239,262,42930.0,57155.89999999999,119552.8,41670.5,54906.799999999996,94343.36999999998,0.9606497316987399,0.3319670366455495,0.36448725546661326,0.012552301255230125,0.0,-0.012552301255230125,0.0,0.0,0.0,7.370682306523378e-05,-0.21332524194321123,0.0,False,False,0.000663361407587104,False
re2tt_ts-auth-service_loss_2,loss,ts-auth-service,direct::POST /api/v1/inside_pay_service/inside_payment,POST /api/v1/inside_pay_service/inside_payment (direct),POST /api/v1/inside_pay_service/inside_payment,76,71,20777.0,112498.0,143328.25,20498.0,71155.0,100627.29999999992,0.6325001333357038,0.10556273968645088,0.09877326388599061,0.013157894736842105,0.0,-0.013157894736842105,0.0,0.0,0.0,0.6708192969237898,-0.09229058561897707,0.0,False,False,1.0,False
re2tt_ts-auth-service_loss_2,loss,ts-auth-service,direct::POST /api/v1/orderOtherService/orderOther/refresh,POST /api/v1/orderOtherService/orderOther/refresh (direct),POST /api/v1/orderOtherService/orderOther/refresh,64,62,123021.0,155001.49999999997,162620.18999999997,156245.5,187313.0,194194.95,1.2084592729747778,0.08889493868332705,0.08625270930889321,0.015625,0.3870967741935484,0.3714717741935484,0.0,0.0,0.0,6.106387185325541e-17,0.8724798387096775,0.8724798387096775,False,False,8.548942059455758e-16,True
re2tt_ts-auth-service_loss_2,loss,ts-auth-service,direct::POST /api/v1/orderservice/order/refresh,POST /api/v1/orderservice/order/refresh (direct),POST /api/v1/orderservice/order/refresh,91,83,176726.0,222065.5,251611.19999999992,239248.0,274294.6,289751.8599999999,1.2351968225591097,0.12639749094035566,0.11546733665545382,0.01098901098901099,0.26506024096385544,0.25407122997484444,0.0,0.0,0.0,6.931432875163094e-25,0.911293525751357,0.911293525751357,False,False,1.039714931274464e-23,True
re2tt_ts-auth-service_loss_2,loss,ts-auth-service,direct::POST /api/v1/preserveotherservice/preserveOther,POST /api/v1/preserveotherservice/preserveOther (direct),POST /api/v1/preserveotherservice/preserveOther,38,23,470107.5,633618.7999999998,730809.03,476375.0,540170.5,563775.6,0.852516528865621,0.05278136984322544,0.031996972808137805,0.02631578947368421,0.0,-0.02631578947368421,0.0,0.0,0.0,0.8177117610904656,0.12814645308924488,0.12814645308924488,False,False,1.0,False
