case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2tt_ts-auth-service_mem_2,mem,ts-auth-service,direct::GET /api/v1/adminbasicservice/adminbasic/configs,GET /api/v1/adminbasicservice/adminbasic/configs (direct),GET /api/v1/adminbasicservice/adminbasic/configs,114,106,8669.5,11484.949999999999,16063.190000000002,8833.0,17609.5,53761.45000000007,1.5332674500106662,0.15835598703703446,0.14725412728313356,0.017543859649122806,0.0660377358490566,0.0484938761999338,0.0,0.0,0.0,0.359309130947578,0.1048493876199934,0.1048493876199934,False,False,1.0,False
re2tt_ts-auth-service_mem_2,mem,ts-auth-service,direct::GET /api/v1/adminbasicservice/adminbasic/prices,GET /api/v1/adminbasicservice/adminbasic/prices (direct),GET /api/v1/adminbasicservice/adminbasic/prices,114,106,9073.5,11283.849999999997,15019.210000000001,8929.0,14620.5,63775.85000000008,1.295701378518857,0.15835598703703446,0.14725412728313356,0.017543859649122806,0.04716981132075472,0.029625951671631914,0.0,0.0,0.0,1.0,-0.011171797418073504,0.0,False,False,1.0,False
re2tt_ts-auth-service_mem_2,mem,ts-auth-service,direct::GET /api/v1/admintravelservice/admintravel,GET /api/v1/admintravelservice/admintravel (direct),GET /api/v1/admintravelservice/admintravel,114,105,124408.5,143713.15,170346.85000000006,130571.0,304422.2,513061.11999999936,2.118262664202963,0.15835598703703446,0.145864937403104,0.017543859649122806,0.13333333333333333,0.11578947368421053,0.0,0.0,0.0,1.0965975287131593e-07,0.4254803675856307,0.4254803675856307,False,False,1.0965975287131593e-06,True
re2tt_ts-auth-service_mem_2,mem,ts-auth-service,direct::GET /api/v1/assuranceservice/assurances/types,GET /api/v1/assuranceservice/assurances/types (direct),GET /api/v1/assuranceservice/assurances/types,82,55,2978.0,3692.4500000000007,4049.98,2995.0,3806.6999999999994,27013.24000000004,1.030941515795745,0.11390518365821777,0.0764054434016259,0.012195121951219513,0.03636363636363636,0.02416851441241685,0.0,0.0,0.0,1.0,-0.00421286031042134,0.0,False,False,1.0,False
re2tt_ts-auth-service_mem_2,mem,ts-auth-service,direct::GET /api/v1/contactservice/contacts/account/{accountId},GET /api/v1/contactservice/contacts/account/{accountId} (direct),GET /api/v1/contactservice/contacts/account/{accountId},82,55,5162.0,6978.7,8995.42999999999,4956.0,6137.4,6526.18,0.8794474615616089,0.11390518365821777,0.0764054434016259,0.012195121951219513,0.0,-0.012195121951219513,0.0,0.0,0.0,0.10036745770753812,-0.19800443458980044,0.0,False,False,0.6022047462452287,False
re2tt_ts-auth-service_mem_2,mem,ts-auth-service,direct::GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId} (direct),GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},251,219,39160.0,51036.0,80399.0,39787.0,142756.9999999999,214186.49999999997,2.7971823810643452,0.3486609890025934,0.30423258372647405,0.01195219123505976,0.0867579908675799,0.07480579963252014,0.0,0.0,0.0,0.04984983761169072,0.11986756171660384,0.11986756171660384,False,False,0.39879870089352576,False
re2tt_ts-auth-service_mem_2,mem,ts-auth-service,direct::POST /api/v1/inside_pay_service/inside_payment,POST /api/v1/inside_pay_service/inside_payment (direct),POST /api/v1/inside_pay_service/inside_payment,76,71,40486.0,50465.0,64298.25,39129.0,149773.0,265046.8999999998,2.967858912117309,0.10557065802468964,0.0986324814820989,0.013157894736842105,0.14084507042253522,0.1276871756856931,0.0,0.0,0.0,1.0,0.018532246108228234,0.018532246108228234,False,False,1.0,False
re2tt_ts-auth-service_mem_2,mem,ts-auth-service,direct::POST /api/v1/orderOtherService/orderOther/refresh,POST /api/v1/orderOtherService/orderOther/refresh (direct),POST /api/v1/orderOtherService/orderOther/refresh,63,52,622725.0,705368.2999999999,725640.8600000001,678522.0,775926.8999999999,853615.2800000001,1.100030863309281,0.08751251915204536,0.07223787376153722,0.015873015873015872,0.23076923076923078,0.2148962148962149,0.0,0.0,0.0,9.870679939073765e-08,0.5927960927960927,0.5927960927960927,False,False,1.085774793298114e-06,True
re2tt_ts-auth-service_mem_2,mem,ts-auth-service,direct::POST /api/v1/orderservice/order/refresh,POST /api/v1/orderservice/order/refresh (direct),POST /api/v1/orderservice/order/refresh,88,100,876254.0,947278.4,977440.94,940099.5,1209251.5499999996,1408326.49,1.2765534926163202,0.1222397092917459,0.13891898800295618,0.011363636363636364,0.35,0.3386363636363636,0.0,0.0,0.0,5.898453107813325e-15,0.6679545454545455,0.6679545454545455,False,False,7.667989040157323e-14,True
re2tt_ts-auth-service_mem_2,mem,ts-auth-service,direct::POST /api/v1/preserveotherservice/preserveOther,POST /api/v1/preserveotherservice/preserveOther (direct),POST /api/v1/preserveotherservice/preserveOther,31,19,509663.0,582781.0,736298.6999999998,528807.0,820600.7,839023.34,1.408077305196978,0.04306171577322867,0.026394607720561677,0.03225806451612903,0.21052631578947367,0.17826825127334464,0.0,0.0,0.0,0.07904372304951683,0.35144312393887955,0.35144312393887955,False,False,0.5533060613466179,False
