case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2tt_ts-order-service_delay_3,delay,ts-order-service,direct::GET /api/v1/adminbasicservice/adminbasic/configs,GET /api/v1/adminbasicservice/adminbasic/configs (direct),GET /api/v1/adminbasicservice/adminbasic/configs,114,114,14142.5,17734.399999999998,22755.81,13766.5,17054.149999999998,20119.900000000005,0.9616423448213641,0.15833817144412746,0.15835818677097935,0.017543859649122806,0.008771929824561403,-0.008771929824561403,0.0,0.0,0.0,0.013221071350508753,-0.2082179132040628,0.0,False,False,0.11898964215457877,False
re2tt_ts-order-service_delay_3,delay,ts-order-service,direct::GET /api/v1/adminbasicservice/adminbasic/prices,GET /api/v1/adminbasicservice/adminbasic/prices (direct),GET /api/v1/adminbasicservice/adminbasic/prices,113,114,13238.0,15755.599999999997,17180.119999999995,13189.0,16281.449999999997,22658.09,1.0333754347660515,0.1569492401156702,0.15835818677097935,0.017699115044247787,0.043859649122807015,0.026160534078559228,0.0,0.0,0.0,0.7508659409577358,-0.0681571184598665,0.0,False,False,1.0,False
re2tt_ts-order-service_delay_3,delay,ts-order-service,direct::GET /api/v1/admintravelservice/admintravel,GET /api/v1/admintravelservice/admintravel (direct),GET /api/v1/admintravelservice/admintravel,115,112,154488.0,212525.09999999998,309830.24,159455.0,214547.49999999997,296431.35,1.0095160524568627,0.15972710277258473,0.1555799729679797,0.017391304347826087,0.0,-0.017391304347826087,0.0,0.0,0.0,0.3525219898817864,0.1039596273291925,0.1039596273291925,False,False,1.0,False
re2tt_ts-order-service_delay_3,delay,ts-order-service,direct::GET /api/v1/assuranceservice/assurances/types,GET /api/v1/assuranceservice/assurances/types (direct),GET /api/v1/assuranceservice/assurances/types,90,79,4481.0,5548.9,7044.179999999995,4094.0,5519.399999999998,8230.419999999995,0.9946836309899256,0.12500381956115328,0.10973944521848569,0.011111111111111112,0.0379746835443038,0.026863572433192685,0.0,0.0,0.0,2.217527918861536e-06,-0.43502109704641345,0.0,False,False,2.217527918861536e-05,False
re2tt_ts-order-service_delay_3,delay,ts-order-service,direct::GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId} (direct),GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},228,209,44947.5,52580.09999999999,87848.48999999974,43889.0,57419.39999999999,85700.87999999999,1.0920367211169244,0.3166763428882549,0.29032334241346214,0.013157894736842105,0.004784688995215311,-0.008373205741626793,0.0,0.0,0.0,0.01384656120811749,-0.14950054562242931,0.0,False,False,0.11898964215457877,False
re2tt_ts-order-service_delay_3,delay,ts-order-service,direct::POST /api/v1/inside_pay_service/inside_payment,POST /api/v1/inside_pay_service/inside_payment (direct),POST /api/v1/inside_pay_service/inside_payment,75,82,15543.0,22621.199999999975,43383.240000000114,414205.5,417228.65,420613.77999999997,18.44414310469827,0.10416984963429439,0.11390676592298514,0.013333333333333334,0.573170731707317,0.5598373983739837,0.0,0.0,0.0,5.222462165433375e-10,0.585040650406504,0.585040650406504,False,False,5.744708381976712e-09,True
re2tt_ts-order-service_delay_3,delay,ts-order-service,direct::POST /api/v1/orderOtherService/orderOther/refresh,POST /api/v1/orderOtherService/orderOther/refresh (direct),POST /api/v1/orderOtherService/orderOther/refresh,53,67,16409.0,21788.999999999993,26160.079999999998,16497.0,20899.6,22994.90000000001,0.9591812382394789,0.0736133604082347,0.09307016240048786,0.018867924528301886,0.0,-0.018867924528301886,0.0,0.0,0.0,1.0,0.023092086736130613,0.023092086736130613,False,False,1.0,False
re2tt_ts-order-service_delay_3,delay,ts-order-service,direct::POST /api/v1/orderservice/order/refresh,POST /api/v1/orderservice/order/refresh (direct),POST /api/v1/orderservice/order/refresh,104,96,19071.5,23612.199999999997,26871.09,420150.5,621882.5,831969.1999999994,26.33733832510313,0.14444885815955488,0.1333542625439826,0.019230769230769232,0.9895833333333334,0.9703525641025641,0.0,0.0,0.0,2.654334178789289e-33,0.9897836538461537,0.9897836538461537,False,False,3.1852010145471467e-32,True
re2tt_ts-order-service_delay_3,delay,ts-order-service,direct::POST /api/v1/travel2service/trips/left,POST /api/v1/travel2service/trips/left (direct),POST /api/v1/travel2service/trips/left,1010,989,44476.0,53823.44999999999,66343.20999999995,44195.0,54911.19999999999,81920.68000000002,1.0202095926589618,1.4028206417418312,1.3738267255833208,0.01089108910891089,0.015166835187057633,0.004275746078146743,0.0,0.0,0.0,0.7063952689629089,-0.023985624042687337,0.0,False,False,1.0,False
re2tt_ts-order-service_delay_3,delay,ts-order-service,direct::POST /api/v1/travelservice/trips/left,POST /api/v1/travelservice/trips/left (direct),POST /api/v1/travelservice/trips/left,265,251,49204.0,68796.59999999999,77550.32000000007,47918.0,67901.5,73240.5,0.9869891826049544,0.3680668020411735,0.34866583227645453,0.011320754716981131,0.00398406374501992,-0.007336690971961211,0.0,0.0,0.0,0.7284392282030006,-0.04620010523941964,0.0,False,False,1.0,False
