case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2tt_ts-order-service_disk_1,disk,ts-order-service,direct::GET /api/v1/adminbasicservice/adminbasic/configs,GET /api/v1/adminbasicservice/adminbasic/configs (direct),GET /api/v1/adminbasicservice/adminbasic/configs,111,113,10250.0,12251.5,13461.300000000001,10282.0,12494.4,14822.759999999997,1.0198261437375016,0.1541985772055606,0.15694466242314226,0.018018018018018018,0.02654867256637168,0.008530654548353663,0.0,0.0,0.0,1.0,0.006457785218847212,0.006457785218847212,False,False,1.0,False
re2tt_ts-order-service_disk_1,disk,ts-order-service,direct::GET /api/v1/adminbasicservice/adminbasic/prices,GET /api/v1/adminbasicservice/adminbasic/prices (direct),GET /api/v1/adminbasicservice/adminbasic/prices,111,113,10775.0,13254.0,17292.800000000003,10694.0,13439.799999999996,20654.75999999999,1.0140184095367433,0.1541985772055606,0.15694466242314226,0.018018018018018018,0.035398230088495575,0.017380212070477557,0.0,0.0,0.0,1.0,0.005899705014749346,0.005899705014749346,False,False,1.0,False
re2tt_ts-order-service_disk_1,disk,ts-order-service,direct::GET /api/v1/admintravelservice/admintravel,GET /api/v1/admintravelservice/admintravel (direct),GET /api/v1/admintravelservice/admintravel,112,113,158359.0,177551.84999999998,212350.88,162878.0,188666.59999999998,214518.55999999994,1.0626000235987403,0.15558775357678187,0.15694466242314226,0.017857142857142856,0.017699115044247787,-0.0001580278128950688,0.0,0.0,0.0,0.00024249677184193184,0.29661820480404555,0.29661820480404555,False,False,0.0024249677184193185,True
re2tt_ts-order-service_disk_1,disk,ts-order-service,direct::GET /api/v1/assuranceservice/assurances/types,GET /api/v1/assuranceservice/assurances/types (direct),GET /api/v1/assuranceservice/assurances/types,75,80,3430.0,4036.4,8645.820000000049,3412.5,4210.799999999998,7141.789999999994,1.0432068179565945,0.104188227841595,0.1111112654323131,0.013333333333333334,0.0,-0.013333333333333334,0.0,0.0,0.0,1.0,-0.037666666666666626,0.0,False,False,1.0,False
re2tt_ts-order-service_disk_1,disk,ts-order-service,direct::GET /api/v1/contactservice/contacts/account/{accountId},GET /api/v1/contactservice/contacts/account/{accountId} (direct),GET /api/v1/contactservice/contacts/account/{accountId},73,80,6321.0,7836.599999999998,9916.08,6138.5,7499.299999999999,10850.359999999966,0.9569583748054005,0.10140987509915246,0.1111112654323131,0.0136986301369863,0.0125,-0.0011986301369863,0.0,0.0,0.0,0.19670662072743914,-0.15513698630136985,0.0,False,False,1.0,False
re2tt_ts-order-service_disk_1,disk,ts-order-service,direct::GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId} (direct),GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},228,268,45108.5,63681.39999999997,104060.06999999998,45055.5,58250.54999999995,76332.18999999997,0.9147184264165044,0.3167322126384488,0.3722227391982489,0.013157894736842105,0.0037313432835820895,-0.009426551453260015,0.0,0.0,0.0,1.0,-0.019491358994501162,0.0,False,False,1.0,False
re2tt_ts-order-service_disk_1,disk,ts-order-service,direct::OrderRepository.findById,OrderRepository.findById (direct),OrderRepository.findById,3,0,94064.0,905061.2,977149.84,,,,,0.0041675291136638,0.0,0.3333333333333333,,,0.0,,,,,0.0,True,False,,False
re2tt_ts-order-service_disk_1,disk,ts-order-service,direct::POST /api/v1/inside_pay_service/inside_payment,POST /api/v1/inside_pay_service/inside_payment (direct),POST /api/v1/inside_pay_service/inside_payment,69,70,54059.0,151578.59999999995,485937.91999999795,59466.5,197299.7,257056.8200000004,1.3016329481866178,0.0958531696142674,0.09722235725327397,0.014492753623188406,0.0,-0.014492753623188406,0.0,0.0,0.0,0.09685036730700552,0.1942028985507247,0.1942028985507247,False,False,0.6779525711490386,False
re2tt_ts-order-service_disk_1,disk,ts-order-service,direct::POST /api/v1/orderOtherService/orderOther/refresh,POST /api/v1/orderOtherService/orderOther/refresh (direct),POST /api/v1/orderOtherService/orderOther/refresh,51,50,565504.0,661006.0,732447.0,649286.0,733521.9,758259.7999999999,1.109705358196446,0.0708479949322846,0.06944454089519568,0.0196078431372549,0.06,0.040392156862745096,0.0,0.0,0.0,3.780874643568381e-11,0.7756862745098039,0.7756862745098039,False,False,5.293224500995734e-10,True
re2tt_ts-order-service_disk_1,disk,ts-order-service,direct::POST /api/v1/orderservice/order/refresh,POST /api/v1/orderservice/order/refresh (direct),POST /api/v1/orderservice/order/refresh,93,100,880078.0,1023866.3999999998,1564103.4799999907,1010837.5,1187551.3,1224748.480000001,1.1598693931161335,0.1291934025235778,0.13888908179039136,0.010752688172043012,0.0,-0.010752688172043012,0.0,0.0,0.0,1.206132630160073e-19,0.7625806451612904,0.7625806451612904,False,False,1.8091989452401095e-18,True
