case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2tt_ts-order-service_loss_1,loss,ts-order-service,direct::GET /api/v1/adminbasicservice/adminbasic/configs,GET /api/v1/adminbasicservice/adminbasic/configs (direct),GET /api/v1/adminbasicservice/adminbasic/configs,113,113,9481.0,11899.8,14790.839999999993,9500.0,11941.6,15943.56,1.003512664078388,0.15694444444444444,0.15694444444444444,0.017699115044247787,0.02654867256637168,0.008849557522123894,0.0,0.0,0.0,0.914138149231841,-0.057326337222961876,0.0,False,False,1.0,False
re2tt_ts-order-service_loss_1,loss,ts-order-service,direct::GET /api/v1/adminbasicservice/adminbasic/prices,GET /api/v1/adminbasicservice/adminbasic/prices (direct),GET /api/v1/adminbasicservice/adminbasic/prices,114,112,9954.5,12014.699999999999,17182.020000000004,9941.5,12217.249999999998,18837.280000000002,1.016858514985809,0.15833333333333333,0.15555555555555556,0.017543859649122806,0.017857142857142856,0.0003132832080200501,0.0,0.0,0.0,1.0,0.007518796992481258,0.007518796992481258,False,False,1.0,False
re2tt_ts-order-service_loss_1,loss,ts-order-service,direct::GET /api/v1/admintravelservice/admintravel,GET /api/v1/admintravelservice/admintravel (direct),GET /api/v1/admintravelservice/admintravel,114,112,161693.5,184324.75,199041.5,159592.0,233987.4499999999,315705.57,1.2694304481628207,0.15833333333333333,0.15555555555555556,0.017543859649122806,0.0625,0.044956140350877194,0.0,0.0,0.0,0.1793924661635871,-0.13071741854636587,0.0,False,False,1.0,False
re2tt_ts-order-service_loss_1,loss,ts-order-service,direct::GET /api/v1/assuranceservice/assurances/types,GET /api/v1/assuranceservice/assurances/types (direct),GET /api/v1/assuranceservice/assurances/types,75,82,3117.0,3859.6999999999994,11080.540000000012,3068.5,4113.950000000001,11696.979999999998,1.0658729953105168,0.10416666666666667,0.11388888888888889,0.013333333333333334,0.024390243902439025,0.011056910569105691,0.0,0.0,0.0,0.4980951505994369,-0.10682926829268291,0.0,False,False,1.0,False
re2tt_ts-order-service_loss_1,loss,ts-order-service,direct::GET /api/v1/contactservice/contacts/account/{accountId},GET /api/v1/contactservice/contacts/account/{accountId} (direct),GET /api/v1/contactservice/contacts/account/{accountId},75,82,5401.0,6779.399999999998,10130.140000000012,5369.0,6170.3,7812.769999999999,0.9101542909402015,0.10416666666666667,0.11388888888888889,0.013333333333333334,0.0,-0.013333333333333334,0.0,0.0,0.0,0.7960379153270569,-0.0783739837398374,0.0,False,False,1.0,False
re2tt_ts-order-service_loss_1,loss,ts-order-service,direct::GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId} (direct),GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},246,236,43164.0,52474.75,64951.85000000005,42913.0,57244.5,100243.40000000007,1.0908960976469635,0.3416666666666667,0.3277777777777778,0.012195121951219513,0.01694915254237288,0.004754030591153369,0.0,0.0,0.0,1.0,-0.03276147168251342,0.0,False,False,1.0,False
re2tt_ts-order-service_loss_1,loss,ts-order-service,direct::POST /api/v1/inside_pay_service/inside_payment,POST /api/v1/inside_pay_service/inside_payment (direct),POST /api/v1/inside_pay_service/inside_payment,87,66,18835.0,63780.4,79077.50000000001,47424.0,273263.75,464201.85,4.284447102871728,0.12083333333333333,0.09166666666666666,0.011494252873563218,0.15151515151515152,0.1400208986415883,0.0,0.0,0.0,1.0,0.041100661790316906,0.041100661790316906,False,False,1.0,False
re2tt_ts-order-service_loss_1,loss,ts-order-service,direct::POST /api/v1/orderOtherService/orderOther/refresh,POST /api/v1/orderOtherService/orderOther/refresh (direct),POST /api/v1/orderOtherService/orderOther/refresh,63,46,834879.0,949659.9,1084354.02,911526.0,993264.25,1018478.25,1.045915753629273,0.0875,0.06388888888888888,0.015873015873015872,0.0,-0.015873015873015872,0.0,0.0,0.0,4.1243791608121957e-07,0.5845410628019323,0.5845410628019323,False,False,4.949254992974635e-06,True
re2tt_ts-order-service_loss_1,loss,ts-order-service,direct::POST /api/v1/orderservice/order/refresh,POST /api/v1/orderservice/order/refresh (direct),POST /api/v1/orderservice/order/refresh,100,101,1183530.5,1347566.95,1423432.6300000001,1343317.0,1867162.0,2263849.0,1.38558013759539,0.1388888888888889,0.14027777777777778,0.01,0.32673267326732675,0.31673267326732674,0.0,0.0,0.0,5.948981323138912e-24,0.8297029702970298,0.8297029702970298,False,False,8.328573852394476e-23,True
re2tt_ts-order-service_loss_1,loss,ts-order-service,direct::POST /api/v1/preserveotherservice/preserveOther,POST /api/v1/preserveotherservice/preserveOther (direct),POST /api/v1/preserveotherservice/preserveOther,33,36,582941.0,621564.4,632196.76,621236.0,1218353.75,1442196.8999999994,1.9601408156580395,0.04583333333333333,0.05,0.030303030303030304,0.4444444444444444,0.41414141414141414,0.0,0.0,0.0,0.00048544530460616607,0.5151515151515151,0.5151515151515151,False,False,0.0048544530460616605,True
